qid	theme	question	score	confidence	source	justification
1	Économie	Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques.	3	3	https://www.udr.fr/priorites	Accord fort : codage fondé sur les documents officiels retenus pour le thème « Économie ». Niveau de preuve : position ou mesure explicitement documentée.
2	Économie	Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque.	3	2	https://www.assemblee-nationale.fr/dyn/17/amendements/2247/CION_FIN/CF912	Accord fort : codage fondé sur les documents officiels retenus pour le thème « Économie ». Niveau de preuve : orientation cohérente étayée par plusieurs éléments.
3	Économie	L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités.	-3	3	https://www.assemblee-nationale.fr/dyn/17/amendements/2247/CION_FIN/CF912	Désaccord fort : codage fondé sur les documents officiels retenus pour le thème « Économie ». Niveau de preuve : position ou mesure explicitement documentée.
5	Économie	Le salaire minimum devrait être augmenté significativement.	-2	2	https://www.assemblee-nationale.fr/dyn/17/amendements/2247/CION_FIN/CF912	Désaccord net : codage fondé sur les documents officiels retenus pour le thème « Économie ». Niveau de preuve : orientation cohérente étayée par plusieurs éléments.
6	Économie	Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels.	2	2	https://www.assemblee-nationale.fr/dyn/17/amendements/2247/CION_FIN/CF912	Accord fort : codage fondé sur les documents officiels retenus pour le thème « Économie ». Niveau de preuve : orientation cohérente étayée par plusieurs éléments.
7	Économie	L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays.	-2	2	https://www.assemblee-nationale.fr/dyn/17/amendements/2247/CION_FIN/CF912	Désaccord net : codage fondé sur les documents officiels retenus pour le thème « Économie ». Niveau de preuve : orientation cohérente étayée par plusieurs éléments.
8	Économie	La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation.	3	2	https://www.assemblee-nationale.fr/dyn/17/amendements/2247/CION_FIN/CF912	Accord fort : codage fondé sur les documents officiels retenus pour le thème « Économie ». Niveau de preuve : orientation cohérente étayée par plusieurs éléments.
9	État	La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire.	3	3	https://www.assemblee-nationale.fr/dyn/17/amendements/2247/CION_FIN/CF912	Accord fort : codage fondé sur les documents officiels retenus pour le thème « État ». Niveau de preuve : position ou mesure explicitement documentée.
10	État	L'État devrait garantir un niveau élevé de protection sociale, même si cela implique une fiscalité importante.	-1	2	https://www.assemblee-nationale.fr/dyn/17/amendements/2247/CION_FIN/CF912	Réserve : codage fondé sur les documents officiels retenus pour le thème « État ». Niveau de preuve : orientation cohérente étayée par plusieurs éléments.
12	État	L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables.	-2	2	https://www.assemblee-nationale.fr/dyn/17/amendements/2247/CION_FIN/CF912	Désaccord net : codage fondé sur les documents officiels retenus pour le thème « État ». Niveau de preuve : orientation cohérente étayée par plusieurs éléments.
13	État	Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics obligatoires.	3	2	https://www.assemblee-nationale.fr/dyn/17/amendements/2247/CION_FIN/CF912	Accord fort : codage fondé sur les documents officiels retenus pour le thème « État ». Niveau de preuve : orientation cohérente étayée par plusieurs éléments.
14	Social / société	La société devrait accepter beaucoup plus largement les différents modes de vie, même lorsqu'ils s'éloignent des normes traditionnelles.	-2	1	https://www.udr.fr/	Désaccord net : codage fondé sur les documents officiels retenus pour le thème « Social / société ». Niveau de preuve : analogie prudente, sans proposition parfaitement équivalente.
16	Social / société	Réduire les inégalités peut parfois justifier de restreindre certaines libertés individuelles.	-2	1	https://www.udr.fr/	Désaccord net : codage fondé sur les documents officiels retenus pour le thème « Social / société ». Niveau de preuve : analogie prudente, sans proposition parfaitement équivalente.
17	Social / société	Les politiques publiques devraient chercher à corriger activement les discriminations historiques ou structurelles entre groupes sociaux.	-2	1	https://www.udr.fr/	Désaccord net : codage fondé sur les documents officiels retenus pour le thème « Social / société ». Niveau de preuve : analogie prudente, sans proposition parfaitement équivalente.
19	Social / société	Certaines traditions et valeurs culturelles méritent d'être préservées même si elles évoluent moins vite que la société.	3	2	https://www.udr.fr/	Accord fort : codage fondé sur les documents officiels retenus pour le thème « Social / société ». Niveau de preuve : orientation cohérente étayée par plusieurs éléments.
20	Immigration	La France devrait réduire le nombre d'immigrants qu'elle accueille chaque année.	3	3	https://www.udr.fr/priorites	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
21	Immigration	L'immigration économique est globalement bénéfique pour l'économie française.	-2	2	https://www.assemblee-nationale.fr/dyn/opendata/PNREANR5L17B1609.html	Désaccord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
23	Immigration	L'accès à la nationalité française devrait être rendu plus exigeant.	3	3	https://www.udr.fr/priorites	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
24	Immigration	La France devrait être beaucoup plus stricte concernant l'expulsion des étrangers condamnés pour des crimes graves.	3	3	https://www.udr.fr/priorites	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
25	Immigration	Même lorsque l'immigration est économiquement bénéfique, elle peut être légitimement limitée pour préserver la cohésion culturelle du pays.	3	2	https://www.assemblee-nationale.fr/dyn/opendata/PNREANR5L17B1609.html	Accord fort : codage fondé sur les documents officiels retenus pour le thème « Immigration ». Niveau de preuve : orientation cohérente étayée par plusieurs éléments.
27	Sécurité / justice	Les peines de prison effectives devraient être plus sévères, même si cela augmente fortement la population carcérale.	3	3	https://www.udr.fr/priorites	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
28	Sécurité / justice	Il vaut mieux investir dans la prévention et la réinsertion que dans l'augmentation des sanctions.	-2	2	https://www.udr.fr/	Désaccord net : codage fondé sur les documents officiels retenus pour le thème « Sécurité / justice ». Niveau de preuve : orientation cohérente étayée par plusieurs éléments.
29	Sécurité / justice	La police devrait disposer de pouvoirs plus importants pour lutter contre la criminalité, quitte à accepter davantage de contrôles sur certaines libertés individuelles.	2	2	https://www.udr.fr/priorites	Accord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
32	Écologie	La lutte contre le changement climatique doit rester prioritaire même lorsqu'elle réduit la croissance économique à court terme.	0	1	https://www.udr.fr/	Position neutre, partagée ou non arrêtée : codage fondé sur les documents officiels retenus pour le thème « Écologie ». Niveau de preuve : analogie prudente, sans proposition parfaitement équivalente.
