category	id	name	qid	theme	question	score	confidence	source	justification	hits	length
government	allemagne	Allemagne — gouvernement Merz (CDU/CSU–SPD)	2	Économie	Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque.	1	2	https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970	Accord modéré : L’accord CDU/CSU–SPD combine compétitivité, allègement administratif, investissement public et maintien de l’État social. Transposition ou inférence prudente.	inférence	174
government	allemagne	Allemagne — gouvernement Merz (CDU/CSU–SPD)	3	Économie	L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités.	-1	2	https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970	Réserve : L’accord CDU/CSU–SPD combine compétitivité, allègement administratif, investissement public et maintien de l’État social. Transposition ou inférence prudente.	inférence	168
government	allemagne	Allemagne — gouvernement Merz (CDU/CSU–SPD)	6	Économie	Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels.	1	2	https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970	Accord modéré : L’accord CDU/CSU–SPD combine compétitivité, allègement administratif, investissement public et maintien de l’État social. Transposition ou inférence prudente.	inférence	174
government	allemagne	Allemagne — gouvernement Merz (CDU/CSU–SPD)	8	Économie	La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation.	2	2	https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970	Accord net : L’accord CDU/CSU–SPD combine compétitivité, allègement administratif, investissement public et maintien de l’État social. Transposition ou inférence prudente.	inférence	171
government	allemagne	Allemagne — gouvernement Merz (CDU/CSU–SPD)	12	État	L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables.	1	2	https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970	Accord modéré : L’accord CDU/CSU–SPD combine compétitivité, allègement administratif, investissement public et maintien de l’État social. Transposition ou inférence prudente.	inférence	174
government	allemagne	Allemagne — gouvernement Merz (CDU/CSU–SPD)	13	État	Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics obligatoires.	1	2	https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970	Accord modéré : L’accord CDU/CSU–SPD combine compétitivité, allègement administratif, investissement public et maintien de l’État social. Transposition ou inférence prudente.	inférence	174
government	allemagne	Allemagne — gouvernement Merz (CDU/CSU–SPD)	14	Social / société	La société devrait accepter beaucoup plus largement les différents modes de vie, même lorsqu'ils s'éloignent des normes traditionnelles.	2	2	https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970	Accord net : La coalition est socialement modérée : protection des libertés et lutte contre les discriminations, avec une place maintenue pour les traditions. Transposition ou inférence prudente.	inférence	195
government	allemagne	Allemagne — gouvernement Merz (CDU/CSU–SPD)	17	Social / société	Les politiques publiques devraient chercher à corriger activement les discriminations historiques ou structurelles entre groupes sociaux.	2	2	https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970	Accord net : La coalition est socialement modérée : protection des libertés et lutte contre les discriminations, avec une place maintenue pour les traditions. Transposition ou inférence prudente.	inférence	195
government	allemagne	Allemagne — gouvernement Merz (CDU/CSU–SPD)	19	Social / société	Certaines traditions et valeurs culturelles méritent d'être préservées même si elles évoluent moins vite que la société.	1	2	https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970	Accord modéré : La coalition est socialement modérée : protection des libertés et lutte contre les discriminations, avec une place maintenue pour les traditions. Transposition ou inférence prudente.	inférence	198
government	allemagne	Allemagne — gouvernement Merz (CDU/CSU–SPD)	23	Immigration	L'accès à la nationalité française devrait être rendu plus exigeant.	2	2	https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970	Accord net : Le gouvernement veut réduire l’immigration irrégulière tout en facilitant l’immigration qualifiée et l’intégration. Transposition ou inférence prudente.	inférence	165
