qid	theme	question	score	confidence	source	justification	fetch_paragraphs	best_score	evidence_1	evidence_2	evidence_3
1	Économie	Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques.	3	3	https://www.unenouvelleenergie.fr/notre-programme/reussir-une-nouvelle-ambition-francaise/	Accord très fort : Nouvelle Énergie veut réduire fortement les charges sur le capital et le travail, les impôts de production et les rigidités du droit du travail, tout en privilégiant l’investissement, le mérite et la prise de risque. Pour Nouvelle Énergie, sur Q1 (« Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques. »), cette orientation reprend presque entièrement le choix proposé : +3.	75	0.1522	Supprimer les surcharges sur le capital et le travail et mener l’assouplissement des règles du Code du Travail permettront de reconquérir des parts de marché, de renationaliser des productions et de réindustrialiser la France dans des secteurs d’avenir.	Bien sûr, la réforme de l’Etat , proposée plus haut, génèrera aussi sur les forces de police et la justice ses effets positifs en termes de productivité et de transformation des dépenses de surcharge administrative en plan Capex au profit du matériel des agents. L’organisation du travail et les protocoles d’interventions seront revus pour mieux coller à la réalité de la délinquance actuelle et mettre les forces de l’ordre au service d’objectifs concrets pour la protection des habitants et l’ordre public.	David Lisnard veut-il baisser les impôts ? Lesquels ?
2	Économie	Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque.	2	2	https://www.unenouvelleenergie.fr/notre-programme/reussir-une-nouvelle-ambition-francaise/	Accord net : Nouvelle Énergie veut réduire fortement les charges sur le capital et le travail, les impôts de production et les rigidités du droit du travail, tout en privilégiant l’investissement, le mérite et la prise de risque. Pour Nouvelle Énergie, sur Q2 (« Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	75	0.2031	Le « mal français » du chômage structurel, également qualifiable de « préférence française », est clairement le résultat d’un esprit général hostile à la prise de risque entrepreneurial comme au progrès scientifique et technique, d’un manque de compétitivité lié à l’excès de charges fiscales et sociales, et des rigidités du droit du travail.	La léthargie économique française est également liée à la moindre quantité de travail par Français par rapport à nos concurrents étrangers, notamment l’Allemagne. En même temps que la simplification et l’assouplissement des règles du code du Travail, les incitations à travailler davantage doivent stimuler la capacité de croissance française, et donc le retour à de meilleurs équilibres économiques et financiers. C’est à cette condition que de nouveaux mécanismes favorables aux jeunes et aux travailleurs les plus âgés pourront être déployés.	Une mesure essentielle sera l’instauration d’un contrat de travail unique pour les nouveaux emplois, fusionnant CDI et CDD avec des indemnités de licenciement qui seraient progressives. La dualité actuelle du marché du travail est source de sclérose et d’injustice, et entraîne une judiciarisation pénalisante. Les réformes précédentes du marché du travail n’ont pas réglé ces problèmes.
3	Économie	L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités.	-3	2	https://www.unenouvelleenergie.fr/notre-programme/reussir-une-nouvelle-ambition-francaise/	Désaccord très fort : Nouvelle Énergie veut réduire fortement les charges sur le capital et le travail, les impôts de production et les rigidités du droit du travail, tout en privilégiant l’investissement, le mérite et la prise de risque. Pour Nouvelle Énergie, sur Q3 (« L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités. »), elle contredit presque entièrement le choix proposé : -3.	75	0.0720	Un tel dispositif permettra de garantir des revenus supérieurs aux retraités (toutes les études sur les pays ayant fait ce choix et les projections l’attestent), de capitaliser les entreprises françaises notamment les ETI, de participer de façon déterminante à l’assainissement des comptes publics.	– Parallèlement les structures actuelles de la sécurité publique , qui datent de 1941, doivent être profondément réformées. Un Secrétariat d’Etat à la Sécurité Intérieure pilotera à la fois les agences nationales et la police territoriale. Cette dernière aura pour mission de réduire l’insécurité et l’incivisme sur le terrain en mobilisant les forces, dans un souci de coproduction de sécurité. La police territoriale sera décentralisée avec les structures de contrôle voulues.	La léthargie économique française est également liée à la moindre quantité de travail par Français par rapport à nos concurrents étrangers, notamment l’Allemagne. En même temps que la simplification et l’assouplissement des règles du code du Travail, les incitations à travailler davantage doivent stimuler la capacité de croissance française, et donc le retour à de meilleurs équilibres économiques et financiers. C’est à cette condition que de nouveaux mécanismes favorables aux jeunes et aux travailleurs les plus âgés pourront être déployés.
5	Économie	Le salaire minimum devrait être augmenté significativement.	-2	2	https://www.unenouvelleenergie.fr/notre-programme/reussir-une-nouvelle-ambition-francaise/	Désaccord net : Nouvelle Énergie veut réduire fortement les charges sur le capital et le travail, les impôts de production et les rigidités du droit du travail, tout en privilégiant l’investissement, le mérite et la prise de risque. Pour Nouvelle Énergie, sur Q5 (« Le salaire minimum devrait être augmenté significativement. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.	75	0.1395	– conserver un socle de pension minimale par répartition pour tous les retraités, attribué à tous sans condition dès l’âge de 65 ans, complété par un minimum-vieillesse à hauteur de 1000 euros par mois. – faire évoluer tous les autres régimes vers la capitalisation , à partir des cotisations obligatoires des salariés et des employeurs.	L’Etat régalien est en crise majeure. Plus l’Etat a augmenté ses prélèvements sur les entreprises et les particuliers, plus il a dépensé dans l’Etat providence, moins il a consacré de moyens à ses missions de base, essentielles, notamment le régalien civil (tout ce qui concerne la sécurité intérieure et la justice). L’Etat régalien souffre aussi de la bureaucratie et de la perte de son autorité. Redonner la force régalienne à l’Etat en réhabilitant la vertu d’autorité légitime dans les esprits et dans la vie sociale est la condition sine qua non d’une meilleure cohésion nationale.	
6	Économie	Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels.	2	2	https://www.unenouvelleenergie.fr/notre-programme/	Accord net : Nouvelle Énergie revendique une doctrine ordo-libérale fondée sur la liberté et la responsabilité individuelles, un État recentré sur ses missions essentielles et une confiance prioritaire dans l’initiative privée. Pour Nouvelle Énergie, sur Q6 (« Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	38	0.0904	« Nous devons passer de l’État-providence à l’État-performance »	Cette approche est souvent couplée à une vision étatiste de la politique, qui considère que l’Etat doit être omniprésent dans nos vies et doit intervenir dans tous les pans de l’activité économique et de la société . A Nouvelle Énergie, nous défendons une doctrine ordo-libérale, fondée sur la liberté et la responsabilité individuelles, dans laquelle l’État conserve une place forte, mais réduite à ses prérogatives premières : l’instruction, la sécurité, la justice, la diplomatie, la santé. C’est la confiance en l’individu, qui sait mieux que quiconque ce qui est bon pour lui-même, plutôt que la régulation excessive par l’État, qui est source de prospérité.	Il s’agit là de trois grands principes et finalités du projet porté par David Lisnard , qui répondent à des besoins prioritaires, exprimés par une majorité de Français. La Liberté en opposition à une tutelle excessive de l’État dit « providence » sur la société, qu’elle soit fiscale ou réglementaire.
7	Économie	L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays.	-2	2	https://www.unenouvelleenergie.fr/notre-programme/	Désaccord net : Nouvelle Énergie revendique une doctrine ordo-libérale fondée sur la liberté et la responsabilité individuelles, un État recentré sur ses missions essentielles et une confiance prioritaire dans l’initiative privée. Pour Nouvelle Énergie, sur Q7 (« L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.	38	0.0967	Cette approche est souvent couplée à une vision étatiste de la politique, qui considère que l’Etat doit être omniprésent dans nos vies et doit intervenir dans tous les pans de l’activité économique et de la société . A Nouvelle Énergie, nous défendons une doctrine ordo-libérale, fondée sur la liberté et la responsabilité individuelles, dans laquelle l’État conserve une place forte, mais réduite à ses prérogatives premières : l’instruction, la sécurité, la justice, la diplomatie, la santé. C’est la confiance en l’individu, qui sait mieux que quiconque ce qui est bon pour lui-même, plutôt que la régulation excessive par l’État, qui est source de prospérité.	« Une révolution de la liberté pour une France forte, juste et rayonnante Notre pays a besoin d’un sursaut. Je veux rompre avec l’étatisme et la bureaucratie qui paralysent la France. Mon projet repose sur trois principes fondamentaux : un État recentré sur ses missions régaliennes de sécurité et de défense ; la libération des énergies créatrices par une profonde débureaucratisation ; et une école d’excellence pour faire de la France une superpuissance éducative et scientifique. Mon ambition : restaurer la prospérité, la sécurité et la dignité, et redonner à chaque Français la force de sa liberté et la fierté de son pays. »	« Nous devons passer de l’État-providence à l’État-performance »
8	Économie	La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation.	3	3	https://www.unenouvelleenergie.fr/notre-programme/	Accord très fort : Nouvelle Énergie revendique une doctrine ordo-libérale fondée sur la liberté et la responsabilité individuelles, un État recentré sur ses missions essentielles et une confiance prioritaire dans l’initiative privée. Pour Nouvelle Énergie, sur Q8 (« La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation. »), cette orientation reprend presque entièrement le choix proposé : +3.	38	0.0816	Élu maire de Cannes en 2014 , il réduit drastiquement la dette, les dépenses et les impôts de sa commune, tout en renforçant la qualité du service public. Il fait de la lutte contre l’incivisme et de la politique culturelle deux priorités de sa mandature. David Lisnard est réélu avec 88,1% des voix en 2020.		
9	État	La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire.	3	3	https://www.unenouvelleenergie.fr/notre-programme/reussir-une-nouvelle-ambition-francaise/	Accord très fort : Nouvelle Énergie veut réduire fortement les charges sur le capital et le travail, les impôts de production et les rigidités du droit du travail, tout en privilégiant l’investissement, le mérite et la prise de risque. Pour Nouvelle Énergie, sur Q9 (« La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire. »), cette orientation reprend presque entièrement le choix proposé : +3.	75	0.1159	Pour ne plus dépendre trop largement de la métropolisation économique, la lutte contre l’enclavement de certaines zones géographiques à l’écart du développement doit passer par un plan d’investissement dans les infrastructures routières et ferroviaires ainsi que le déploiement du réseau FFTH ou/et l’internet par satellite.	Pour revenir au plein-emploi, l’accès au travail et à la formation sera simplifié et stimulé.	La question des retraites est au cœur du débat public depuis plus de 30 ans. Tous les autres pays rallongent la durée d’activité jusqu’à 65 ans au moins. Mais la France reste dans le déni du problème et dans l’erreur sur la solution. Il s’ensuit une grave crise de confiance des Français vis-à-vis du système des retraites et bien sûr des dirigeants politiques. Réformer les retraites est aussi une question de justice générationnelle. L’exception française ne peut plus durer.
10	État	L'État devrait garantir un niveau élevé de protection sociale, même si cela implique une fiscalité importante.	-1	2	https://www.unenouvelleenergie.fr/notre-programme/reussir-une-nouvelle-ambition-francaise/	Réserve modérée : Nouvelle Énergie veut réduire fortement les charges sur le capital et le travail, les impôts de production et les rigidités du droit du travail, tout en privilégiant l’investissement, le mérite et la prise de risque. Pour Nouvelle Énergie, sur Q10 (« L'État devrait garantir un niveau élevé de protection sociale, même si cela implique une fiscalité importante. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	75	0.1390	La baisse de la fiscalité de production doit être intensifiée.	L’allègement de la fiscalité des entreprises doit se poursuivre par la diminution des impôts de production à travers la suppression de plusieurs contributions (C3S, CVAE…) ainsi que la réforme des droits de succession sur les entreprises. La suppression de la C3S (Contribution sociale de solidarité au bénéfice de la Sécurité Sociale) et, le cas échéant, de la CVAE (Contribution sur la valeur ajoutée des entreprises au bénéfice des collectivités territoriales) représenterait 11,5 milliards d’euros qui s’ajouteraient à la baisse de 10 milliards déjà prévue par le gouvernement, soit au total une diminution de moitié des impôts de production, de 2% à 1% du PIB. La réforme de la fiscalité locale qui en résulte sera présentée dans une note spécifique. Des solutions permettant de concilier compétitivité fiscale économique nationale et autonomie fiscale du bloc communal, par exemple par une part nationale et locale de l’IS, seront exposées. Ce travail doit être conçu étroitement avec les associations d’élus.	faire travailler entre elles toutes les administrations qui traitent de la situation des étrangers (Préfecture, police, impôts, sécurité sociale, action sociale, hôpitaux, institutions privées…). Le contrôle de la régularité du séjour doit être rendu plus systématique.
12	État	L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables.	-2	2	https://www.unenouvelleenergie.fr/notre-programme/	Désaccord net : Nouvelle Énergie revendique une doctrine ordo-libérale fondée sur la liberté et la responsabilité individuelles, un État recentré sur ses missions essentielles et une confiance prioritaire dans l’initiative privée. Pour Nouvelle Énergie, sur Q12 (« L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.	38	0.1442	Le parti réhabilite la défense du libéralisme économique, de la réforme de l’État et de la décentralisation , sujets délaissés à droite depuis l’élection présidentielle de 2017. Il propose enfin une vraie doctrine sur le développement de l’intelligence artificielle, l’économie écologique de marché, le quantique et le spatial, sujets d’avenir cruciaux mais si peu abordés dans le débat public.	Enfin, David Lisnard n’a jamais été aux commandes de l’État, contrairement à bien des personnalités politiques de droite qui n’y ont pas obtenu de résultats probants. Il n’est pas un énarque ni un haut-fonctionnaire, mais un élu local et ancien commerçant, ancré dans la réalité quotidienne .	Cette approche est souvent couplée à une vision étatiste de la politique, qui considère que l’Etat doit être omniprésent dans nos vies et doit intervenir dans tous les pans de l’activité économique et de la société . A Nouvelle Énergie, nous défendons une doctrine ordo-libérale, fondée sur la liberté et la responsabilité individuelles, dans laquelle l’État conserve une place forte, mais réduite à ses prérogatives premières : l’instruction, la sécurité, la justice, la diplomatie, la santé. C’est la confiance en l’individu, qui sait mieux que quiconque ce qui est bon pour lui-même, plutôt que la régulation excessive par l’État, qui est source de prospérité.
