qid	theme	score	confidence	current_source	current_justification	old_source	old_justification
1	Économie	1	2	https://www.mouvementdemocrate.fr/programme/propositions-2441	Accord modéré : Le MoDem propose une fiscalité des personnes plus progressive, notamment par la fusion de la CSG et de l’impôt sur le revenu, tout en recherchant l’efficacité de la dépense publique et l’équilibre des finances. Pour MoDem, sur Q1 (« Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques. »), elle incline dans ce sens sans adopter toute la proposition : +1.	https://www.mouvementdemocrate.fr/actualites/marc-fesneau-un-chemin-vers-un-cap-collectif-et-vers-jose-le-mot-une-esperance-video	Accord modéré : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
2	Économie	0	1	https://www.mouvementdemocrate.fr/programme/propositions-2441	Position intermédiaire : Le MoDem propose une fiscalité des personnes plus progressive, notamment par la fusion de la CSG et de l’impôt sur le revenu, tout en recherchant l’efficacité de la dépense publique et l’équilibre des finances. Pour MoDem, sur Q2 (« Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque. »), elle ne tranche pas clairement l’arbitrage précis posé : 0.	https://www.mouvementdemocrate.fr/actualites/marc-fesneau-un-chemin-vers-un-cap-collectif-et-vers-jose-le-mot-une-esperance-video	Position équilibrée ou non tranchée : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.
3	Économie	0	2	https://www.mouvementdemocrate.fr/programme/propositions-2441	Position intermédiaire : Le MoDem propose une fiscalité des personnes plus progressive, notamment par la fusion de la CSG et de l’impôt sur le revenu, tout en recherchant l’efficacité de la dépense publique et l’équilibre des finances. Pour MoDem, sur Q3 (« L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités. »), elle ne tranche pas clairement l’arbitrage précis posé : 0.	https://www.mouvementdemocrate.fr/actualites/marc-fesneau-un-chemin-vers-un-cap-collectif-et-vers-jose-le-mot-une-esperance-video	Position équilibrée ou non tranchée : codage cohérent avec la ligne programmatique générale du parti sur économie.
4	Économie	-1	3	https://www.assemblee-nationale.fr/dyn/docs/RAPPANR5L17B0618.raw	Réserve modérée : le MoDem partage l’objectif de mieux répartir la valeur et de contenir certains excès, mais a rejeté un plafond légal national des écarts de rémunération, jugé inadapté dans sa méthode.	https://www.assemblee-nationale.fr/dyn/docs/RAPPANR5L17B0618.raw	Désaccord modéré : le MoDem partage l’objectif de mieux répartir la valeur et de contenir certains excès, mais a rejeté un plafond légal national des écarts de rémunération, jugé inadapté dans sa méthode.
5	Économie	0	2	https://www.mouvementdemocrate.fr/programme/propositions-2441	Position intermédiaire : Le MoDem propose une fiscalité des personnes plus progressive, notamment par la fusion de la CSG et de l’impôt sur le revenu, tout en recherchant l’efficacité de la dépense publique et l’équilibre des finances. Pour MoDem, sur Q5 (« Le salaire minimum devrait être augmenté significativement. »), elle ne tranche pas clairement l’arbitrage précis posé : 0.	https://www.mouvementdemocrate.fr/actualites/marc-fesneau-un-chemin-vers-un-cap-collectif-et-vers-jose-le-mot-une-esperance-video	Position équilibrée ou non tranchée : codage cohérent avec la ligne programmatique générale du parti sur économie.
6	Économie	1	1	https://www.mouvementdemocrate.fr/programme/propositions-2445	Accord modéré : Le MoDem veut réformer l’État, réduire les doublons administratifs et faire davantage confiance aux collectivités, aux entreprises et aux initiatives locales, sans remettre en cause le principe de services publics étendus. Pour MoDem, sur Q6 (« Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels. »), elle incline dans ce sens sans adopter toute la proposition : +1.	https://www.mouvementdemocrate.fr/actualites/marc-fesneau-un-chemin-vers-un-cap-collectif-et-vers-jose-le-mot-une-esperance-video	Accord modéré : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.
7	Économie	-1	2	https://www.mouvementdemocrate.fr/programme/propositions-2445	Réserve modérée : Le MoDem veut réformer l’État, réduire les doublons administratifs et faire davantage confiance aux collectivités, aux entreprises et aux initiatives locales, sans remettre en cause le principe de services publics étendus. Pour MoDem, sur Q7 (« L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	https://www.mouvementdemocrate.fr/actualites/marc-fesneau-un-chemin-vers-un-cap-collectif-et-vers-jose-le-mot-une-esperance-video	Réserve : codage cohérent avec la ligne programmatique générale du parti sur économie.
8	Économie	1	2	https://www.mouvementdemocrate.fr/programme/propositions-2445	Accord modéré : Le MoDem veut réformer l’État, réduire les doublons administratifs et faire davantage confiance aux collectivités, aux entreprises et aux initiatives locales, sans remettre en cause le principe de services publics étendus. Pour MoDem, sur Q8 (« La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation. »), elle incline dans ce sens sans adopter toute la proposition : +1.	https://www.mouvementdemocrate.fr/actualites/marc-fesneau-un-chemin-vers-un-cap-collectif-et-vers-jose-le-mot-une-esperance-video	Accord modéré : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
12	État	1	2	https://www.mouvementdemocrate.fr/programme/propositions-2445	Accord modéré : Le MoDem veut réformer l’État, réduire les doublons administratifs et faire davantage confiance aux collectivités, aux entreprises et aux initiatives locales, sans remettre en cause le principe de services publics étendus. Pour MoDem, sur Q12 (« L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables. »), elle incline dans ce sens sans adopter toute la proposition : +1.	https://www.mouvementdemocrate.fr/actualites/marc-fesneau-un-chemin-vers-un-cap-collectif-et-vers-jose-le-mot-une-esperance-video	Accord modéré : codage cohérent avec la ligne programmatique générale du parti sur état.
13	État	1	1	https://www.mouvementdemocrate.fr/programme/propositions-2445	Accord modéré : Le MoDem veut réformer l’État, réduire les doublons administratifs et faire davantage confiance aux collectivités, aux entreprises et aux initiatives locales, sans remettre en cause le principe de services publics étendus. Pour MoDem, sur Q13 (« Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics… »), elle incline dans ce sens sans adopter toute la proposition : +1.	https://www.mouvementdemocrate.fr/actualites/marc-fesneau-un-chemin-vers-un-cap-collectif-et-vers-jose-le-mot-une-esperance-video	Accord modéré : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.
14	Social / société	2	2	https://www.mouvementdemocrate.fr/mouvement-d%C3%A9mocrate/europe-2312	Accord net : Le MoDem se définit comme démocrate, centriste, humaniste et européen ; il défend les droits fondamentaux, le pluralisme et un cadre républicain commun. Pour MoDem, sur Q14 (« La société devrait accepter beaucoup plus largement les différents modes de vie, même lorsqu'ils s'éloignent des normes traditionnelles. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	https://www.mouvementdemocrate.fr/	Accord net : codage cohérent avec la ligne programmatique générale du parti sur social / société.
15	Démocratie	3	3	https://www.mouvementdemocrate.fr/actualites/francois-bayrou-je-ne-veux-pas-de-grandes-lois-destinees-faire-de-la-communication-video	Accord très fort : François Bayrou réserve explicitement le 49.3 au budget en dernière extrémité lorsqu’il faut sortir d’un blocage. Cela correspond presque exactement à la proposition. Pour MoDem, sur Q15 (« Un gouvernement devrait pouvoir faire adopter le budget sans vote de l’Assemblée nationale lorsqu’aucune majorité stable ne se dégage, afin d’éviter un… »), cette orientation reprend presque entièrement le choix proposé : +3.	https://www.mouvementdemocrate.fr/actualites/francois-bayrou-je-ne-veux-pas-de-grandes-lois-destinees-faire-de-la-communication-video	François Bayrou réserve explicitement le 49.3 au budget en dernière extrémité lorsqu’il faut sortir d’un blocage. Cela correspond presque exactement à la proposition.
16	Social / société	-2	1	https://www.mouvementdemocrate.fr/mouvement-d%C3%A9mocrate/europe-2312	Désaccord net : Le MoDem se définit comme démocrate, centriste, humaniste et européen ; il défend les droits fondamentaux, le pluralisme et un cadre républicain commun. Pour MoDem, sur Q16 (« Réduire les inégalités peut parfois justifier de restreindre certaines libertés individuelles. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.	https://www.mouvementdemocrate.fr/	Désaccord net : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.
17	Social / société	2	2	https://www.mouvementdemocrate.fr/mouvement-d%C3%A9mocrate/europe-2312	Accord net : Le MoDem se définit comme démocrate, centriste, humaniste et européen ; il défend les droits fondamentaux, le pluralisme et un cadre républicain commun. Pour MoDem, sur Q17 (« Les politiques publiques devraient chercher à corriger activement les discriminations historiques ou structurelles entre groupes sociaux. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	https://www.mouvementdemocrate.fr/	Accord net : codage cohérent avec la ligne programmatique générale du parti sur social / société.
19	Social / société	1	2	https://www.mouvementdemocrate.fr/mouvement-d%C3%A9mocrate/europe-2312	Accord modéré : Le MoDem se définit comme démocrate, centriste, humaniste et européen ; il défend les droits fondamentaux, le pluralisme et un cadre républicain commun. Pour MoDem, sur Q19 (« Certaines traditions et valeurs culturelles méritent d'être préservées même si elles évoluent moins vite que la société. »), elle incline dans ce sens sans adopter toute la proposition : +1.	https://www.mouvementdemocrate.fr/	Accord modéré : codage cohérent avec la ligne programmatique générale du parti sur social / société.
