qid	theme	question	score	confidence	source	justification	fetch_paragraphs	best_score	evidence_1	evidence_2	evidence_3
1	Économie	Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques.	2	3	https://www.government.nl/site/binaries/site-content/collections/documents/2026/02/23/2026-2030-coalition-agreement-lets-get-to-work---building-a-better-netherlands/2026-2030-coalition-agreement-let%E2%80%99s-get-to-work-building-a-better-netherlands.pdf	Accord net : L’accord de coalition Jetten associe liberté d’entreprendre, responsabilité sociale, simplification et croissance durable, avec discipline budgétaire et investissements publics ciblés. Pour Pays-Bas, sur Q1 (« Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	1313	0.0950	Geared towards private investment, the institution will aim to mobilise institutional capital without crowding out private capital.	Investment A national investment institution (NII) will be set up to strengthen the Dutch capital market.	We will make an additional capital contribution and also incorporate suretyships and guarantees.
2	Économie	Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque.	1	1	https://www.government.nl/site/binaries/site-content/collections/documents/2026/02/23/2026-2030-coalition-agreement-lets-get-to-work---building-a-better-netherlands/2026-2030-coalition-agreement-let%E2%80%99s-get-to-work-building-a-better-netherlands.pdf	Accord modéré : L’accord de coalition Jetten associe liberté d’entreprendre, responsabilité sociale, simplification et croissance durable, avec discipline budgétaire et investissements publics ciblés. Pour Pays-Bas, sur Q2 (« Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque. »), elle incline dans ce sens sans adopter toute la proposition : +1.	1313	0			
3	Économie	L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités.	-1	1	https://www.government.nl/site/binaries/site-content/collections/documents/2026/02/23/2026-2030-coalition-agreement-lets-get-to-work---building-a-better-netherlands/2026-2030-coalition-agreement-let%E2%80%99s-get-to-work-building-a-better-netherlands.pdf	Réserve modérée : L’accord de coalition Jetten associe liberté d’entreprendre, responsabilité sociale, simplification et croissance durable, avec discipline budgétaire et investissements publics ciblés. Pour Pays-Bas, sur Q3 (« L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	1313	0			
5	Économie	Le salaire minimum devrait être augmenté significativement.	1	1	https://www.government.nl/site/binaries/site-content/collections/documents/2026/02/23/2026-2030-coalition-agreement-lets-get-to-work---building-a-better-netherlands/2026-2030-coalition-agreement-let%E2%80%99s-get-to-work-building-a-better-netherlands.pdf	Accord modéré : L’accord de coalition Jetten associe liberté d’entreprendre, responsabilité sociale, simplification et croissance durable, avec discipline budgétaire et investissements publics ciblés. Pour Pays-Bas, sur Q5 (« Le salaire minimum devrait être augmenté significativement. »), elle incline dans ce sens sans adopter toute la proposition : +1.	1313	0.1676	In three years’ time we will therefore raise the minimum age for sex work from 18 to 21.	Central government will set minimum requirements on the circumstances in which it should be possible to split, convert or upwardly extend properties.	Here is what we aim to do: • New policy in the European part of the Netherlands will, as a rule, be implemented in the Caribbean part of the Netherlands unless there are compelling reasons not to. • In the Caribbean part of the Netherlands we will work to develop a decent minimum income standard based on the recommendations of the Caribbean Netherlands Minimum Income Standard Committee (Thodé Committee).
6	Économie	Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels.	2	1	https://www.government.nl/site/binaries/site-content/collections/documents/2026/02/23/2026-2030-coalition-agreement-lets-get-to-work---building-a-better-netherlands/2026-2030-coalition-agreement-let%E2%80%99s-get-to-work-building-a-better-netherlands.pdf	Accord net : Le gouvernement Jetten veut simplifier les règles et réduire les obstacles à l’activité tout en maintenant un État social et des politiques publiques fortes. Pour Pays-Bas, sur Q6 (« Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	1313	0.0681	We will therefore step up cooperation at European level in the area of intelligence and security services.	This contributes to economic growth, which is needed so that our public services can be paid for.	We are therefore working towards a rail and public transport network in which access to services is central.
7	Économie	L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays.	1	1	https://www.government.nl/site/binaries/site-content/collections/documents/2026/02/23/2026-2030-coalition-agreement-lets-get-to-work---building-a-better-netherlands/2026-2030-coalition-agreement-let%E2%80%99s-get-to-work-building-a-better-netherlands.pdf	Accord modéré : Le gouvernement Jetten veut simplifier les règles et réduire les obstacles à l’activité tout en maintenant un État social et des politiques publiques fortes. Pour Pays-Bas, sur Q7 (« L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays. »), elle incline dans ce sens sans adopter toute la proposition : +1.	1313	0.0950	We must foster confidence that working, investing and doing business in the Netherlands pays.	At the moment, it pays for hospitals to perform as many interventions as possible, regardless of whether patients benefit from them.	The reform process will be underpinned by the following principles: keeping implementation simple, ensuring rules are clear and predictable for people, ensuring that work pays, and avoiding further income redistribution through the tax system.
8	Économie	La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation.	2	1	https://www.government.nl/site/binaries/site-content/collections/documents/2026/02/23/2026-2030-coalition-agreement-lets-get-to-work---building-a-better-netherlands/2026-2030-coalition-agreement-let%E2%80%99s-get-to-work-building-a-better-netherlands.pdf	Accord net : Le gouvernement Jetten veut simplifier les règles et réduire les obstacles à l’activité tout en maintenant un État social et des politiques publiques fortes. Pour Pays-Bas, sur Q8 (« La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	1313	0.1021	Innovation Investing in innovation is vital to maintaining our prosperity and ensuring the long -term affordability of the entire public sector.	We will continue implementing the National Technology Strategy and will support regional innovation clusters. • In order to help innovations progress beyond the development phase, we will deploy the National Growth Fund and where possible seek alignment with European cofinancing. • To drive the implementation of the National Technology Strategy forward, we will invest in regional innovation clusters and in participation in European innovation programmes and public-private innovation programmes. • The Netherlands remains fully committed to the construction of the Einstein Telescope.	Here is what we aim to do: • We will work to craft a national approach to digital infrastructure focused on knowledge, research and innovation, in order to get new technologies off the ground more quickly. • The Netherlands will be a leader in digital innovation and key technologies.
9	État	La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire.	2	3	https://www.government.nl/site/binaries/site-content/collections/documents/2026/02/23/2026-2030-coalition-agreement-lets-get-to-work---building-a-better-netherlands/2026-2030-coalition-agreement-let%E2%80%99s-get-to-work-building-a-better-netherlands.pdf	Accord net : L’accord de coalition Jetten associe liberté d’entreprendre, responsabilité sociale, simplification et croissance durable, avec discipline budgétaire et investissements publics ciblés. Pour Pays-Bas, sur Q9 (« La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	1313	0.0692	AVT/AZ-260130-002 62 Rail and public transport For many people, public transport is indispensable.	We will also implement the Public Administration (Probity Screening) Act, in order to safeguard the integrity of public administration.	AVT/AZ-260130-002 64 Healthy public finances Healthy public finances are important for macroeconomic stability and ensure a good investment climate.
10	État	L'État devrait garantir un niveau élevé de protection sociale, même si cela implique une fiscalité importante.	1	1	https://www.government.nl/site/binaries/site-content/collections/documents/2026/02/23/2026-2030-coalition-agreement-lets-get-to-work---building-a-better-netherlands/2026-2030-coalition-agreement-let%E2%80%99s-get-to-work-building-a-better-netherlands.pdf	Accord modéré : L’accord de coalition Jetten associe liberté d’entreprendre, responsabilité sociale, simplification et croissance durable, avec discipline budgétaire et investissements publics ciblés. Pour Pays-Bas, sur Q10 (« L'État devrait garantir un niveau élevé de protection sociale, même si cela implique une fiscalité importante. »), elle incline dans ce sens sans adopter toute la proposition : +1.	1313	0.0862	The scope for integrated crop protection will be expanded.	We will also enhance the protection of those who work to uphold the rule of law.	We consider it unacceptable for us to remain dependent on others for our protection.
12	État	L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables.	1	1	https://www.government.nl/site/binaries/site-content/collections/documents/2026/02/23/2026-2030-coalition-agreement-lets-get-to-work---building-a-better-netherlands/2026-2030-coalition-agreement-let%E2%80%99s-get-to-work-building-a-better-netherlands.pdf	Accord modéré : Le gouvernement Jetten veut simplifier les règles et réduire les obstacles à l’activité tout en maintenant un État social et des politiques publiques fortes. Pour Pays-Bas, sur Q12 (« L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables. »), elle incline dans ce sens sans adopter toute la proposition : +1.	1313	0			
