qid	theme	question	score	confidence	source	justification	fetch_paragraphs	best_score	evidence_1	evidence_2	evidence_3
1	Économie	Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques.	2	2	https://doc.parti.re/Conventions-thematiques_Nouvelle-donne.pdf	Accord net : La convention économique 2025 de Renaissance assume les baisses d’impôts de production, refuse de relever les impôts des entreprises, veut réduire le coût du travail et finance ces choix par des économies sur les dépenses jugées inefficaces et des réformes de l’emploi. Pour Renaissance, sur Q1 (« Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	626	0.1946	La réduction des dépenses publiques inefficaces et la réforme de l’assurance chômage doivent permettre de financer ces mesures.	Nous proposons un nouveau pacte pour la vie des travailleurs, visant à leur permettre de se concentrer sur leur travail, d’être plus sereins et de réduire leur charge mentale. 1-1 - Des logements plus proches des lieux de travail Nous défendons une politique d’attribution des logements sociaux plus offensive pour les travailleurs des métiers en tension.	NOUVEAU MODÈLE ÉCONOMIQUE ET SOCIAL01 POUR LA QUALITÉ DE VIE AU TRAVAIL > (i) Donner les mêmes avantages sociaux du financement d’une complémentaire santé volontairement prise en charge par l’employeur, soit une exonération totale et une absence de forfait social compte tenu de la taille de “l’entreprise“ ; > (ii) Rendre la couverture complémentaire santé obligatoire dans le secteur. 2-2 Promouvoir des organisations du travail plus souples, des trajectoires profes- sionnelles plus protectrices et réduire les inégalités entre le travail télétravaillable et celui qui ne l’est pas.
2	Économie	Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque.	2	2	https://doc.parti.re/Conventions-thematiques_Nouvelle-donne.pdf	Accord net : La convention économique 2025 de Renaissance assume les baisses d’impôts de production, refuse de relever les impôts des entreprises, veut réduire le coût du travail et finance ces choix par des économies sur les dépenses jugées inefficaces et des réformes de l’emploi. Pour Renaissance, sur Q2 (« Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	626	0.2401	Nous sommes le parti de la prise de risque, de l’innovation, du travail et du progrès, nous savons qu’un chemin est possible pour retrouver la puissance et la prospérité française.	NOUVEAU MODÈLE ÉCONOMIQUE ET SOCIAL01 POUR LA QUALITÉ DE VIE AU TRAVAIL > (i) Donner les mêmes avantages sociaux du financement d’une complémentaire santé volontairement prise en charge par l’employeur, soit une exonération totale et une absence de forfait social compte tenu de la taille de “l’entreprise“ ; > (ii) Rendre la couverture complémentaire santé obligatoire dans le secteur. 2-2 Promouvoir des organisations du travail plus souples, des trajectoires profes- sionnelles plus protectrices et réduire les inégalités entre le travail télétravaillable et celui qui ne l’est pas.	Elle doit notamment être très vigilante sur : > Accès à l’éducation et inégalités sociales : frais élevés accentuant les inégalités. > Qualité des formations : hétérogène, avec des diplômes parfois peu valorisés. > Transparence des informations : manque de visibilité sur débouchés, frais et aides. > Rentabilité : risque que le profit prime sur la qualité. > Relation avec l’enseignement public : question d’équité des financements (notamment via l’apprentissage).
3	Économie	L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités.	-1	2	https://doc.parti.re/Conventions-thematiques_Nouvelle-donne.pdf	Réserve modérée : La convention économique 2025 de Renaissance assume les baisses d’impôts de production, refuse de relever les impôts des entreprises, veut réduire le coût du travail et finance ces choix par des économies sur les dépenses jugées inefficaces et des réformes de l’emploi. Pour Renaissance, sur Q3 (« L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	626	0.1125	La seconde consisterait à rendre plus progressive la taxe carbone, en fonction des revenus et des lieux de vie.	Alors, nous allons investir massivement dans l’IA et passer d’un État subventionneur à un État investisseur, qui soutient les entrepreneurs et contractualise avec plutôt que d’accorder des subven- tions.	NOUVEAU MODÈLE ÉCONOMIQUE ET SOCIAL01 POUR LA QUALITÉ DE VIE AU TRAVAIL > (i) Donner les mêmes avantages sociaux du financement d’une complémentaire santé volontairement prise en charge par l’employeur, soit une exonération totale et une absence de forfait social compte tenu de la taille de “l’entreprise“ ; > (ii) Rendre la couverture complémentaire santé obligatoire dans le secteur. 2-2 Promouvoir des organisations du travail plus souples, des trajectoires profes- sionnelles plus protectrices et réduire les inégalités entre le travail télétravaillable et celui qui ne l’est pas.
5	Économie	Le salaire minimum devrait être augmenté significativement.	-1	2	https://doc.parti.re/Conventions-thematiques_Nouvelle-donne.pdf	Réserve modérée : La convention économique 2025 de Renaissance assume les baisses d’impôts de production, refuse de relever les impôts des entreprises, veut réduire le coût du travail et finance ces choix par des économies sur les dépenses jugées inefficaces et des réformes de l’emploi. Pour Renaissance, sur Q5 (« Le salaire minimum devrait être augmenté significativement. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	626	0.1967	Et nous nous fixons un objectif : porter notre salaire médian au niveau du salaire médian des Etats-Unis, soit le porter d’environ 2000 à 3000€ par mois.	Compte tenu de notre démographie, la capitalisation est cinq fois plus efficace pour les cotisants que le système par répartition, le taux de retour sur investissement passerait de 0,5% par an à 3 à 4% minimum.	Pour remettre notre économie à pleine puissance, une grande loi de programmation économique et énergétique sera votée au service de la prospérité de nos entreprises et de nos concitoyens avec l’objectif que les salaires augmentent pour rattraper notre retard en faisant par exemple évoluer le salaire médian de 2 200 à plus de 3 000 € net par mois.
6	Économie	Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels.	2	2	https://doc.parti.re/Conventions-thematiques_Nouvelle-donne.pdf	Accord net : Renaissance se présente comme le parti de la prise de risque, de l’innovation, du travail et de l’entrepreneuriat, tout en conservant un État investisseur et une planification dans les secteurs stratégiques. Pour Renaissance, sur Q6 (« Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	626	0.2183	Ces conférences associent déjà services de l’État, collectivités, entreprises et société civile.	Dans certains secteurs, des usines tournent à mi-régime parce qu’elles ne trouvent pas de débouchés garantis ; ailleurs, la pénurie de plastique recyclé ou de métaux stratégiques provoque des hausses de prix et pousse les entreprises à importer hors d’Europe. 80	"NOUVEAU MODÈLE ÉCONOMIQUE ET SOCIAL01 LIBÉRER LA COMPÉTITIVITÉ, LA CROISSANCE ET L’INNOVATION La création de ""France entreprises"" sur le modèle de France services pour simplifier les démarches des entreprises."
7	Économie	L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays.	-1	2	https://doc.parti.re/Conventions-thematiques_Nouvelle-donne.pdf	Réserve modérée : Renaissance se présente comme le parti de la prise de risque, de l’innovation, du travail et de l’entrepreneuriat, tout en conservant un État investisseur et une planification dans les secteurs stratégiques. Pour Renaissance, sur Q7 (« L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	626	0.1605	Chaque université doit pouvoir affirmer ses spécificités avec une gouvernance renforcée, où les équipes présidentielles portent un projet stratégique clair.	Enfin, dès que nécessaire, des tarifs douaniers doivent pouvoir être imposés à des niveaux cohérents avec ceux pratiqués par d’autres pays.	Contrôle de l’empreinte carbone, de l’impact forestier et minier, indice de réparabilité et de du- rabilité : ce sont autant d’exemples d’outils qui doivent nous permettre de fixer des standards minimums équivalents aux nôtres pour les pays qui souhaitent importer leurs produits chez nous.
8	Économie	La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation.	2	2	https://doc.parti.re/Conventions-thematiques_Nouvelle-donne.pdf	Accord net : Renaissance se présente comme le parti de la prise de risque, de l’innovation, du travail et de l’entrepreneuriat, tout en conservant un État investisseur et une planification dans les secteurs stratégiques. Pour Renaissance, sur Q8 (« La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	626	0.1966	NOUVEAU MODÈLE ÉCONOMIQUE ET SOCIAL01 POUR LA QUALITÉ DE VIE AU TRAVAIL 0101 Améliorer la qualité de vie au travail et la qualité de vie par le travail0101 1 � Simplifier la vie des travailleurs La qualité de vie des travailleurs ne se limite pas aux heures passées sur leur lieu de travail.	Ce plan permettra d’améliorer la qualité du travail en faisant gagner une heure par jour à tous les travailleurs.	Cela donnera les clés aux consommateurs et incitera les producteurs à améliorer la qualité écologique de leurs produits.
9	État	La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire.	2	2	https://doc.parti.re/Conventions-thematiques_Nouvelle-donne.pdf	Accord net : La convention économique 2025 de Renaissance assume les baisses d’impôts de production, refuse de relever les impôts des entreprises, veut réduire le coût du travail et finance ces choix par des économies sur les dépenses jugées inefficaces et des réformes de l’emploi. Pour Renaissance, sur Q9 (« La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	626	0.1669	Le secteur public a vu sa dépense augmenter de 0,9 % en volume en 2022, après une hausse de 3,6 % en 2021.	Ce bouclier devra protéger la production dans tous nos territoires et faire revenir nos usines.	Elle doit notamment être très vigilante sur : > Accès à l’éducation et inégalités sociales : frais élevés accentuant les inégalités. > Qualité des formations : hétérogène, avec des diplômes parfois peu valorisés. > Transparence des informations : manque de visibilité sur débouchés, frais et aides. > Rentabilité : risque que le profit prime sur la qualité. > Relation avec l’enseignement public : question d’équité des financements (notamment via l’apprentissage).
12	État	L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables.	0	2	https://doc.parti.re/Conventions-thematiques_Nouvelle-donne.pdf	Position intermédiaire : Renaissance se présente comme le parti de la prise de risque, de l’innovation, du travail et de l’entrepreneuriat, tout en conservant un État investisseur et une planification dans les secteurs stratégiques. Pour Renaissance, sur Q12 (« L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables. »), elle ne tranche pas clairement l’arbitrage précis posé : 0.	626	0.1216	Les dotations d’État (Fonds vert, DETR…) sont indexées sur des indicateurs de résultat : tonnes CO2 évitées, logements rénovés, surfaces renaturées… Un jury citoyen local (≥ 25 personnes tirées au sort) participe à l’évaluation des résultats.	Les procédures administratives ralentissent trop fortement les projets de développement économique.	C’est pourquoi, aussi, nous bâtirons des mini-Singapour, zones d’innovation notamment verte, où les règles seront beaucoup plus souples pour que les choses aillent beaucoup plus vite.
13	État	Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics obligatoires.	1	2	https://doc.parti.re/Conventions-thematiques_Nouvelle-donne.pdf	Accord modéré : Renaissance se présente comme le parti de la prise de risque, de l’innovation, du travail et de l’entrepreneuriat, tout en conservant un État investisseur et une planification dans les secteurs stratégiques. Pour Renaissance, sur Q13 (« Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics… »), elle incline dans ce sens sans adopter toute la proposition : +1.	626	0.1109	Alors, nous allons investir massivement dans l’IA et passer d’un État subventionneur à un État investisseur, qui soutient les entrepreneurs et contractualise avec plutôt que d’accorder des subven- tions.	Ainsi, les salariés à domicile doivent financer eux-mêmes l’intégralité de leur complémentaire santé, alors que celle-ci est moins attractive que les complémentaires collectives de salariés (absence d’économie d’échelle dans les coûts d’acquisition, notamment).	Nous devons davantage encourager une écologie territoriale en donnant plus de pouvoirs et de marges de négociation aux acteurs publics et privés locaux pour s’organiser et mettre en œuvre cette écologie du contrat.
