qid	theme	question	score	confidence	source	justification	fetch_paragraphs	best_score	evidence_1	evidence_2	evidence_3
3	Économie	L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités.	-1	2	https://www.bfs.admin.ch/bfs/en/home/statistics/cross-sectional-topics/monitoring-legislature-plan.html	Réserve modérée : Le Conseil fédéral suit une économie sociale de marché relativement libérale, avec discipline budgétaire et protection sociale multipiliers. Pour Suisse, sur Q3 (« L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	0	0			
5	Économie	Le salaire minimum devrait être augmenté significativement.	-2	2	https://www.bfs.admin.ch/bfs/en/home/statistics/cross-sectional-topics/monitoring-legislature-plan.html	Désaccord net : Le Conseil fédéral suit une économie sociale de marché relativement libérale, avec discipline budgétaire et protection sociale multipiliers. Pour Suisse, sur Q5 (« Le salaire minimum devrait être augmenté significativement. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.	0	0			
6	Économie	Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels.	2	2	https://www.bfs.admin.ch/bfs/en/home/statistics/cross-sectional-topics/monitoring-legislature-plan.html	Accord net : Le Conseil fédéral suit une économie sociale de marché relativement libérale, avec discipline budgétaire et protection sociale multipiliers. Pour Suisse, sur Q6 (« Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	0	0			
7	Économie	L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays.	-2	2	https://www.bfs.admin.ch/bfs/en/home/statistics/cross-sectional-topics/monitoring-legislature-plan.html	Désaccord net : Le Conseil fédéral suit une économie sociale de marché relativement libérale, avec discipline budgétaire et protection sociale multipiliers. Pour Suisse, sur Q7 (« L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.	0	0			
12	État	L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables.	0	2	https://www.bfs.admin.ch/bfs/en/home/statistics/cross-sectional-topics/monitoring-legislature-plan.html	Position intermédiaire : Le Conseil fédéral suit une économie sociale de marché relativement libérale, avec discipline budgétaire et protection sociale multipiliers. Pour Suisse, sur Q12 (« L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables. »), elle ne tranche pas clairement l’arbitrage précis posé : 0.	0	0			
13	État	Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics obligatoires.	2	2	https://www.bfs.admin.ch/bfs/en/home/statistics/cross-sectional-topics/monitoring-legislature-plan.html	Accord net : Le Conseil fédéral suit une économie sociale de marché relativement libérale, avec discipline budgétaire et protection sociale multipiliers. Pour Suisse, sur Q13 (« Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics… »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	0	0			
14	Social / société	La société devrait accepter beaucoup plus largement les différents modes de vie, même lorsqu'ils s'éloignent des normes traditionnelles.	1	2	https://www.bfs.admin.ch/bfs/en/home/statistics/cross-sectional-topics/monitoring-legislature-plan.html	Accord modéré : Le consensus gouvernemental est modérément libéral sur les droits individuels, tout en restant prudent sur les transformations sociales. Pour Suisse, sur Q14 (« La société devrait accepter beaucoup plus largement les différents modes de vie, même lorsqu'ils s'éloignent des normes traditionnelles. »), elle incline dans ce sens sans adopter toute la proposition : +1.	0	0			
17	Social / société	Les politiques publiques devraient chercher à corriger activement les discriminations historiques ou structurelles entre groupes sociaux.	1	2	https://www.bfs.admin.ch/bfs/en/home/statistics/cross-sectional-topics/monitoring-legislature-plan.html	Accord modéré : Le consensus gouvernemental est modérément libéral sur les droits individuels, tout en restant prudent sur les transformations sociales. Pour Suisse, sur Q17 (« Les politiques publiques devraient chercher à corriger activement les discriminations historiques ou structurelles entre groupes sociaux. »), elle incline dans ce sens sans adopter toute la proposition : +1.	0	0			
19	Social / société	Certaines traditions et valeurs culturelles méritent d'être préservées même si elles évoluent moins vite que la société.	2	2	https://www.bfs.admin.ch/bfs/en/home/statistics/cross-sectional-topics/monitoring-legislature-plan.html	Accord net : Le consensus gouvernemental est modérément libéral sur les droits individuels, tout en restant prudent sur les transformations sociales. Pour Suisse, sur Q19 (« Certaines traditions et valeurs culturelles méritent d'être préservées même si elles évoluent moins vite que la société. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	0	0			
20	Immigration	La France devrait réduire le nombre d'immigrants qu'elle accueille chaque année.	1	2	https://www.bfs.admin.ch/bfs/en/home/statistics/cross-sectional-topics/monitoring-legislature-plan.html	Accord modéré : La Suisse privilégie l’immigration économique contrôlée, l’intégration et des conditions strictes de séjour durable. Pour Suisse, sur Q20 (« La France devrait réduire le nombre d'immigrants qu'elle accueille chaque année. »), elle incline dans ce sens sans adopter toute la proposition : +1.	0	0			
23	Immigration	L'accès à la nationalité française devrait être rendu plus exigeant.	2	2	https://www.bfs.admin.ch/bfs/en/home/statistics/cross-sectional-topics/monitoring-legislature-plan.html	Accord net : La Suisse privilégie l’immigration économique contrôlée, l’intégration et des conditions strictes de séjour durable. Pour Suisse, sur Q23 (« L'accès à la nationalité française devrait être rendu plus exigeant. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	0	0			
24	Immigration	La France devrait être beaucoup plus stricte concernant l'expulsion des étrangers condamnés pour des crimes graves.	3	2	https://www.bfs.admin.ch/bfs/en/home/statistics/cross-sectional-topics/monitoring-legislature-plan.html	Accord très fort : La Suisse privilégie l’immigration économique contrôlée, l’intégration et des conditions strictes de séjour durable. Pour Suisse, sur Q24 (« La France devrait être beaucoup plus stricte concernant l'expulsion des étrangers condamnés pour des crimes graves. »), cette orientation reprend presque entièrement le choix proposé : +3.	0	0			
25	Immigration	Même lorsque l'immigration est économiquement bénéfique, elle peut être légitimement limitée pour préserver la cohésion culturelle du pays.	2	2	https://www.bfs.admin.ch/bfs/en/home/statistics/cross-sectional-topics/monitoring-legislature-plan.html	Accord net : La Suisse privilégie l’immigration économique contrôlée, l’intégration et des conditions strictes de séjour durable. Pour Suisse, sur Q25 (« Même lorsque l'immigration est économiquement bénéfique, elle peut être légitimement limitée pour préserver la cohésion culturelle du pays. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	0	0			
28	Sécurité / justice	Il vaut mieux investir dans la prévention et la réinsertion que dans l'augmentation des sanctions.	2	2	https://www.bfs.admin.ch/bfs/en/home/statistics/cross-sectional-topics/monitoring-legislature-plan.html	Accord net : La politique combine prévention, police efficace et fortes garanties de l’État de droit. Comparabilité limitée ou position peu explicite. Pour Suisse, sur Q28 (« Il vaut mieux investir dans la prévention et la réinsertion que dans l'augmentation des sanctions. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	0	0			
29	Sécurité / justice	La police devrait disposer de pouvoirs plus importants pour lutter contre la criminalité, quitte à accepter davantage de contrôles sur certaines libertés individuelles.	1	2	https://www.bfs.admin.ch/bfs/en/home/statistics/cross-sectional-topics/monitoring-legislature-plan.html	Accord modéré : La politique combine prévention, police efficace et fortes garanties de l’État de droit. Comparabilité limitée ou position peu explicite. Pour Suisse, sur Q29 (« La police devrait disposer de pouvoirs plus importants pour lutter contre la criminalité, quitte à accepter davantage de contrôles sur certaines… »), elle incline dans ce sens sans adopter toute la proposition : +1.	0	0			
32	Écologie	La lutte contre le changement climatique doit rester prioritaire même lorsqu'elle réduit la croissance économique à court terme.	1	2	https://www.bfs.admin.ch/bfs/en/home/statistics/cross-sectional-topics/monitoring-legislature-plan.html	Accord modéré : La stratégie climatique repose largement sur la technologie, les incitations économiques et une mise en œuvre compatible avec la compétitivité. Pour Suisse, sur Q32 (« La lutte contre le changement climatique doit rester prioritaire même lorsqu'elle réduit la croissance économique à court terme. »), elle incline dans ce sens sans adopter toute la proposition : +1.	0	0			
33	Écologie	Il faut accepter une hausse importante du prix des énergies fossiles pour accélérer la transition écologique.	1	2	https://www.bfs.admin.ch/bfs/en/home/statistics/cross-sectional-topics/monitoring-legislature-plan.html	Accord modéré : La stratégie climatique repose largement sur la technologie, les incitations économiques et une mise en œuvre compatible avec la compétitivité. Pour Suisse, sur Q33 (« Il faut accepter une hausse importante du prix des énergies fossiles pour accélérer la transition écologique. »), elle incline dans ce sens sans adopter toute la proposition : +1.	0	0			
36	Écologie	Il est justifié d'interdire certains produits ou comportements très polluants même lorsque les consommateurs les souhaitent.	0	2	https://www.bfs.admin.ch/bfs/en/home/statistics/cross-sectional-topics/monitoring-legislature-plan.html	Position intermédiaire : La stratégie climatique repose largement sur la technologie, les incitations économiques et une mise en œuvre compatible avec la compétitivité. Pour Suisse, sur Q36 (« Il est justifié d'interdire certains produits ou comportements très polluants même lorsque les consommateurs les souhaitent. »), elle ne tranche pas clairement l’arbitrage précis posé : 0.	0	0			
37	Écologie	Les pays riches devraient supporter une part prépondérante du coût de la transition écologique mondiale.	0	2	https://www.bfs.admin.ch/bfs/en/home/statistics/cross-sectional-topics/monitoring-legislature-plan.html	Position intermédiaire : La stratégie climatique repose largement sur la technologie, les incitations économiques et une mise en œuvre compatible avec la compétitivité. Pour Suisse, sur Q37 (« Les pays riches devraient supporter une part prépondérante du coût de la transition écologique mondiale. »), elle ne tranche pas clairement l’arbitrage précis posé : 0.	0	0			
38	Europe	La France devrait transférer davantage de compétences à l'Union européenne afin de renforcer son poids économique et géopolitique.	-2	2	https://www.eda.admin.ch/en/foreign-policy-strategy-2024-27	Désaccord net : La Suisse recherche des accords étroits avec l’Europe tout en maintenant sa souveraineté et son statut hors UE. Pour Suisse, sur Q38 (« La France devrait transférer davantage de compétences à l'Union européenne afin de renforcer son poids économique et géopolitique. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.	0	0			
44	Fiscalité / patrimoine	L'héritage devrait être davantage taxé au-delà d'un certain seuil de patrimoine transmis, même si cela conduit certaines familles à transmettre moins de patrimoine à leurs enfants.	-2	2	https://www.bfs.admin.ch/bfs/en/home/statistics/cross-sectional-topics/monitoring-legislature-plan.html	Désaccord net : Le Conseil fédéral suit une économie sociale de marché relativement libérale, avec discipline budgétaire et protection sociale multipiliers. Pour Suisse, sur Q44 (« L'héritage devrait être davantage taxé au-delà d'un certain seuil de patrimoine transmis, même si cela conduit certaines familles à transmettre moins… »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.	0	0			
61	Immigration / assimilation	Le fait de conserver des pratiques culturelles ou religieuses très différentes de celles de la majorité française n'est pas en soi un problème tant que les lois françaises sont respectées.	2	2	https://www.bfs.admin.ch/bfs/en/home/statistics/cross-sectional-topics/monitoring-legislature-plan.html	Accord net : La Suisse privilégie l’immigration économique contrôlée, l’intégration et des conditions strictes de séjour durable. Pour Suisse, sur Q61 (« Le fait de conserver des pratiques culturelles ou religieuses très différentes de celles de la majorité française n'est pas en soi un problème tant que… »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	0	0			
64	Libertés / expression	Une personne qui tient publiquement des propos profondément offensants mais qui n'appelle ni à la violence ni à commettre une infraction devrait être protégée par la liberté d'expression.	2	2	https://www.bfs.admin.ch/bfs/en/home/statistics/cross-sectional-topics/monitoring-legislature-plan.html	Accord net : Le consensus gouvernemental est modérément libéral sur les droits individuels, tout en restant prudent sur les transformations sociales. Pour Suisse, sur Q64 (« Une personne qui tient publiquement des propos profondément offensants mais qui n'appelle ni à la violence ni à commettre une infraction devrait être… »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	0	0			
67	Écologie	Une taxe carbone qui réduit les émissions de CO₂ devrait être maintenue même si elle diminue le pouvoir d’achat des ménages modestes, à condition de compenser ces derniers par des aides ciblées.	2	2	https://www.bfs.admin.ch/bfs/en/home/statistics/cross-sectional-topics/monitoring-legislature-plan.html	Accord net : La stratégie climatique repose largement sur la technologie, les incitations économiques et une mise en œuvre compatible avec la compétitivité. Pour Suisse, sur Q67 (« Une taxe carbone qui réduit les émissions de CO₂ devrait être maintenue même si elle diminue le pouvoir d’achat des ménages modestes, à condition de… »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	0	0			
