qid	theme	question	score	confidence	source	justification	fetch_paragraphs	best_score	evidence_1	evidence_2	evidence_3
1	Économie	Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques.	-2	2	https://projet-socialiste.fr/projet/vivre-libres/	Désaccord net : Le Projet socialiste 2026 veut relever le SMIC, limiter à 1 pour 20 les écarts de rémunération, taxer davantage le capital et reprendre en main certains prix et marchés par la puissance publique. Pour PS, sur Q1 (« Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.	217	0.2105	Reprendre le contrôle des aides publiques aux entreprises : Réorienter immédiatement 30 milliards d’aides publiques identifiées comme inefficaces et sources d’effets d’aubaines. Conditionner toutes les aides publiques à des engagements clairs : maintien ou création d’emplois, respect de critères environnementaux, égalité salariale femmes-hommes, formation des salariés, dialogue social effectif, absence d’optimisation fiscale agressive. L’employeur informe les membres du CSE de l’utilisation des aides publiques. Le CSE donne un avis motivé et peut saisir l’inspecteur du travail si l’utilisation de l’aide publique n’est pas conforme aux objectifs prévus. En finir avec le saupoudrage et réserver les exonérations et crédits d’impôts aux secteurs à haute valeur ajoutée, de souveraineté, aux PME industrielles innovantes, aux projets de relocalisation, aux investissements dans la transition énergétique et la circularité. Toute aide publique devra répondre à une logique de contrepartie et d’intérêt général : un remboursement sera systématiquement exigé en cas de délocalisation ou de non-respect des engagements. Recentrer le Crédit d’Impôt Recherche (CIR) sur les TPE, PME et les ETI industrielles innovantes : mettre fin aux effets d’aubaine des grands groupes sous-traitant des dépenses déjà planifiées.	Réduire la facture d’électricité des Français et les protéger contre la précarité énergétique en investissant massivement dans la production d’énergie propre, sûre et bon marché.	La force de l’Europe réside dans la défense de son modèle, unique au monde, fondé sur la démocratie, la protection sociale et, demain, une certaine idée de l‘écologie. Nous n’avons rien à envier aux États-Unis de Donald Trump que l’époque nous montre en exemple : en Europe, l’espérance de vie est plus élevée, la mortalité infantile et la pauvreté sont moindres, les homicides sont près de 3 fois moins nombreux, la dette étudiante est proche de zéro et la mortalité au travail deux fois moins élevée qu’aux États-Unis. L’Union européenne doit protéger les peuples et renforcer leur liberté dans un monde qui inquiète. Pour cela, il faut renforcer le modèle européen, pas le détricoter. Cela implique de le protéger tant face aux menaces extérieures que contre ceux qui veulent le détruire de l’intérieur. Face au front coordonné des extrêmes droites en Europe, la gauche européenne doit se réorganiser et s’unir pour porter une nouvelle idée de l’Europe. Nous appelons à bâtir une nouvelle alliance sociale transnationale à partir des membres du Parti socialiste européen et en lien avec les mouvements politiques, syndicaux, patronaux, associatifs, qui partagent l’idée de construire la souveraineté de l’Europe face aux empires, et d’en faire une puissance publique protectrice qui défende un modèle caractérisé par la justice sociale, l’ambition écologique et la vitalité démocratique. Son programme pourra s’inspirer des propositions suivantes.
2	Économie	Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque.	0	2	https://projet-socialiste.fr/projet/vivre-libres/	Position intermédiaire : Le Projet socialiste 2026 veut relever le SMIC, limiter à 1 pour 20 les écarts de rémunération, taxer davantage le capital et reprendre en main certains prix et marchés par la puissance publique. Pour PS, sur Q2 (« Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque. »), elle ne tranche pas clairement l’arbitrage précis posé : 0.	217	0.1290	Rendre aux salariés et aux travailleurs indépendants la maîtrise de leur temps . Favoriser, par la négociation sociale, les innovations organisationnelles permettant une meilleure articulation entre vie professionnelle et vie personnelle, notamment l’expérimentation de la semaine de quatre jours et la réduction progressive du temps de travail lorsque les conditions économiques et sociales le permettent.	Chapitre 1 – Mieux vivre au travail et de son travail	Le temps est une richesse, et il est politique ! L’accès au temps choisi, au repos et à la capacité de s’organiser est aujourd’hui une ligne de fracture sociale. Les femmes, les salariés précaires, les travailleurs aux horaires décalés ou les aidants subissent de fortes contraintes temporelles marquées par l’imprévisibilité, l’impossibilité de télétravailler ou de prévoir un rendez-vous médical. Ces inégalités se manifestent jusque dans l’accès aux vacances, dont près de 40 % des Français sont exclus. L’aspiration au temps libéré n’a jamais été aussi forte. Une part importante des salariés déclare ne pas pouvoir concilier correctement travail et vie personnelle, du fait de l’intensification du travail, de la précarisation de l’emploi et d’une porosité grandissante entre vie professionnelle et personnelle. La maîtrise du temps doit être replacée au cœur du modèle social français : pour donner à chacun la liberté de vivre, nous rendrons aux salariés du pouvoir sur l’organisation de leur travail et ouvrirons de nouveaux droits au temps choisi.
3	Économie	L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités.	2	3	https://projet-socialiste.fr/projet/vivre-libres/	Accord net : Le Projet socialiste 2026 veut relever le SMIC, limiter à 1 pour 20 les écarts de rémunération, taxer davantage le capital et reprendre en main certains prix et marchés par la puissance publique. Pour PS, sur Q3 (« L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	217	0.2127	Pour maintenir l’équilibre financier du nouveau système de retraites, flécher des revenus de l’imposition du capital, assujettir aux cotisations sociales certains compléments de salaire attribués aux plus hauts revenus (attributions gratuites d’actions, dividendes, intéressement, participation, avantages en nature) et les revenus tirés des heures supplémentaires versés aux travailleurs dont la rémunération est supérieure à 3 SMIC, et agir pour l’emploi des seniors, des femmes et des jeunes.	Mettre l’intelligence artificielle au service d’un service public plus simple, plus rapide et plus accessible. Utilisée pour réduire les délais, simplifier les démarches, détecter le non-recours aux droits ou accompagner les collectivités, elle devra permettre aux agents de consacrer davantage de temps aux missions de conseil, d’écoute et d’accompagnement. L’IA doit libérer du temps humain, pas l’effacer.	Cette ambition politique suppose un État stratège pleinement engagé, capable de protéger les actifs essentiels de la concurrence déloyale par des mesures de régulation commerciale fermes et une intervention directe dans le capital des entreprises critiques. Enfin, cette refondation industrielle ne peut être durable sans un investissement massif dans la recherche et la formation, visant à résorber les inégalités territoriales et sociales pour garantir à tous l’accès aux emplois d’avenir.
5	Économie	Le salaire minimum devrait être augmenté significativement.	2	3	https://projet-socialiste.fr/projet/vivre-libres/	Accord net : Le Projet socialiste 2026 veut relever le SMIC, limiter à 1 pour 20 les écarts de rémunération, taxer davantage le capital et reprendre en main certains prix et marchés par la puissance publique. Pour PS, sur Q5 (« Le salaire minimum devrait être augmenté significativement. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	217	0.1479	Créer un droit à la reconversion pour les travailleurs des secteurs fragilisés , avec un accompagnement renforcé et une protection des revenus à 100 % du salaire pendant une année de formation ou de reconversion.	Instaurer une taxe anti-rente ciblant les multi-propriétaires dès le quatrième logement (hors résidence principale) pour briser la rente immobilière et la spéculation . Cette taxe ne s’appliquera pas aux propriétaires bailleurs dont les loyers sont conventionnés ou significativement inférieurs aux prix du marché, afin de ne pas pénaliser la gestion locative à vocation sociale. Les recettes de cette taxe seront intégralement fléchées vers la construction de logements publics et la rénovation thermique globale des bâtiments.	Pour maintenir l’équilibre financier du nouveau système de retraites, flécher des revenus de l’imposition du capital, assujettir aux cotisations sociales certains compléments de salaire attribués aux plus hauts revenus (attributions gratuites d’actions, dividendes, intéressement, participation, avantages en nature) et les revenus tirés des heures supplémentaires versés aux travailleurs dont la rémunération est supérieure à 3 SMIC, et agir pour l’emploi des seniors, des femmes et des jeunes.
6	Économie	Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels.	-1	2	https://projet-socialiste.fr/projet/vivre-libres/	Réserve modérée : Le PS veut davantage de régulation publique, une économie sociale et solidaire plus importante, des prises de contrôle dans certains secteurs stratégiques et une protection sociale principalement collective. Pour PS, sur Q6 (« Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	217	0.1864	Est-il normal de considérer que l’énergie, l’alimentation, l’eau ou encore le logement soient entièrement régis par les règles du marché ? Un effort de démarchandisation doit être entrepris, par un plus fort encadrement des biens et services essentiels. C’est ainsi que nous permettrons à chacun de retrouver sa part de liberté.	Doubler la part de l’ESS dans l’économie et l’emploi d’ici 2050 , en réservant certains secteurs aux acteurs de l’ESS (grand âge, petite enfance) en collaboration avec le secteur public, et en renforçant sa place dans les secteurs d’avenir (numérique, énergies renouvelables, construction, mobilités) et non délocalisables (économie circulaire, valorisation des déchets). Créer un réseau national d’incubateurs et de conseil pour les entreprises de l’ESS. Favoriser la reprise d’entreprises par leurs salariés sous forme de l’ESS. Créer un droit de préemption pour les salariés lors de la cession d’une entreprise et un fonds national de financement dédié à la transmission en coopérative, couplé à des dispositifs fiscaux, en privilégiant lorsque cela est possible les modèles ESS.	Cette ambition politique suppose un État stratège pleinement engagé, capable de protéger les actifs essentiels de la concurrence déloyale par des mesures de régulation commerciale fermes et une intervention directe dans le capital des entreprises critiques. Enfin, cette refondation industrielle ne peut être durable sans un investissement massif dans la recherche et la formation, visant à résorber les inégalités territoriales et sociales pour garantir à tous l’accès aux emplois d’avenir.
8	Économie	La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation.	-1	2	https://projet-socialiste.fr/projet/vivre-libres/	Réserve modérée : Le PS veut davantage de régulation publique, une économie sociale et solidaire plus importante, des prises de contrôle dans certains secteurs stratégiques et une protection sociale principalement collective. Pour PS, sur Q8 (« La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	217	0.1249	Démocratiser l’accès aux métiers de l’innovation, de la science et de la recherche auprès des jeunes des quartiers populaires, des campagnes isolées et les jeunes femmes, en créant une stratégie nationale d’innovation pour financer des initiatives de sensibilisation (ateliers d’information en collège/lycée, mentorats, stages, immersions, forums, concours d’innovation).	Renforcer la recherche publique française et européenne. En France, porter l’investissement en R&D à hauteur de 3 % du PIB d’ici 2030 dont au moins 1 % pour la recherche publique. En Europe, doubler les fonds du programme « Horizon Europe », pour atteindre 200 milliards d’euros, afin de développer des infrastructures de recherche publiques européennes dans les domaines clés (deeptech, quantique, IA, santé, low-tech). Réformer le Conseil européen de l’Innovation. Augmenter ses moyens et améliorer sa gouvernance pour en faire une agence de financement de la recherche sur le modèle de la DARPA américaine, agile et dotée de budgets massifs pour financer les technologies de rupture.	Lutter contre l’inflation alimentaire en garantissant la transparence des prix et en encadrant les prix fixés par l’industrie agroalimentaire, grâce à une autorité européenne de contrôle.
9	État	La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire.	-1	2	https://projet-socialiste.fr/projet/vivre-libres/	Réserve modérée : Le Projet socialiste 2026 veut relever le SMIC, limiter à 1 pour 20 les écarts de rémunération, taxer davantage le capital et reprendre en main certains prix et marchés par la puissance publique. Pour PS, sur Q9 (« La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	217	0.1116	Adopter une « Loi Évin de l’alimentation » pour interdire toute publicité en faveur de produits trop gras, trop salés et trop sucrés ciblant les enfants , associée au développement de l’éducation alimentaire (cuisine, nutrition, esprit critique face au marketing) durant l’enfance et l’adolescence.	Si le travail et le rapport au travail changent, nombre de nos concitoyens aspirent toujours à s’épanouir professionnellement et souffrent d’un manque de reconnaissance financière et symbolique. L’écart se creuse entre celles et ceux pour qui le travail manque parfois, use souvent et ne paye pas assez, et une minorité qui concentre les opportunités. Trop nombreux sont les parcours accidentés, les contrats précaires, les temps partiels subis, les périodes de chômage anxiogènes et sans issue. Trop nombreux sont ces jeunes, diplômés ou non, tenus écartés de l’emploi, multipliant les démarches et diminuant chaque semaine leurs critères, enchaînant les stages pas ou peu rémunérés pour remplir les demandes d’expérience professionnelle. Trop nombreuses sont ces femmes piégées dans un emploi deux jours par semaine, trop peu rémunérateur et pourtant seule issue qui s’offre à elles, au-delà d’une course effrénée aux contrats courts. Trop nombreux, enfin, sont ces seniors, assignés à un âge où l’on n’entre plus dans un nouvel emploi, mais où la retraite n’est qu’une idée lointaine.	Mettre l’intelligence artificielle au service d’un service public plus simple, plus rapide et plus accessible. Utilisée pour réduire les délais, simplifier les démarches, détecter le non-recours aux droits ou accompagner les collectivités, elle devra permettre aux agents de consacrer davantage de temps aux missions de conseil, d’écoute et d’accompagnement. L’IA doit libérer du temps humain, pas l’effacer.
10	État	L'État devrait garantir un niveau élevé de protection sociale, même si cela implique une fiscalité importante.	3	3	https://projet-socialiste.fr/projet/vivre-libres/	Accord très fort : Le Projet socialiste 2026 veut relever le SMIC, limiter à 1 pour 20 les écarts de rémunération, taxer davantage le capital et reprendre en main certains prix et marchés par la puissance publique. Pour PS, sur Q10 (« L'État devrait garantir un niveau élevé de protection sociale, même si cela implique une fiscalité importante. »), cette orientation reprend presque entièrement le choix proposé : +3.	217	0.2180	La force de l’Europe réside dans la défense de son modèle, unique au monde, fondé sur la démocratie, la protection sociale et, demain, une certaine idée de l‘écologie. Nous n’avons rien à envier aux États-Unis de Donald Trump que l’époque nous montre en exemple : en Europe, l’espérance de vie est plus élevée, la mortalité infantile et la pauvreté sont moindres, les homicides sont près de 3 fois moins nombreux, la dette étudiante est proche de zéro et la mortalité au travail deux fois moins élevée qu’aux États-Unis. L’Union européenne doit protéger les peuples et renforcer leur liberté dans un monde qui inquiète. Pour cela, il faut renforcer le modèle européen, pas le détricoter. Cela implique de le protéger tant face aux menaces extérieures que contre ceux qui veulent le détruire de l’intérieur. Face au front coordonné des extrêmes droites en Europe, la gauche européenne doit se réorganiser et s’unir pour porter une nouvelle idée de l’Europe. Nous appelons à bâtir une nouvelle alliance sociale transnationale à partir des membres du Parti socialiste européen et en lien avec les mouvements politiques, syndicaux, patronaux, associatifs, qui partagent l’idée de construire la souveraineté de l’Europe face aux empires, et d’en faire une puissance publique protectrice qui défende un modèle caractérisé par la justice sociale, l’ambition écologique et la vitalité démocratique. Son programme pourra s’inspirer des propositions suivantes.	Reprendre la main sur le progrès technique est une condition de notre liberté. Pour apprendre, travailler, nous informer, échanger ou nous soigner, nous dépendons des smartphones, d’internet et, désormais, de l’intelligence artificielle. Ces technologies ouvrent des possibilités immenses et libèrent du temps. Mais elles peuvent aussi épuiser, enfermer dans des dépendances, surveiller et précariser. Nous devons lutter contre les nouvelles servitudes numériques, en régulant les grandes plateformes,leurs algorithmes et la concentration des pouvoirs technologiques. Cela implique aussi de mettre l’IA au service du bien commun. Cela nécessite également de soutenir la recherche et les innovations sociales, écologiques et démocratiques. Dans une France socialiste, la technologie n’asservit pas, elle libère. Le progrès technique n’y sert pas l’accumulation du profit, mais le bien commun. Il se met au service de la bifurcation écologique, de la cohésion sociale et de la vitalité démocratique.	Organiser annuellement une conférence sociale de l’IA avec les partenaires sociaux, l’État et les Régions.
12	État	L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables.	2	2	https://projet-socialiste.fr/projet/vivre-libres/	Accord net : Le PS veut davantage de régulation publique, une économie sociale et solidaire plus importante, des prises de contrôle dans certains secteurs stratégiques et une protection sociale principalement collective. Pour PS, sur Q12 (« L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	217	0.1305	Faire de l’économie sociale et solidaire un moteur de l’économie de demain	L’économie sociale et solidaire (ESS) est centrale pour notre pays : avec près de 10 % du PIB, 14 % de l’emploi privé et l’engagement de 13 millions de bénévoles, elle incarne une autre vision de l’économie : utile, démocratique, enracinée dans les territoires. Associations, coopératives et entreprises de l’ESS montrent chaque jour qu’il est possible de produire et d’innover sans sacrifier l’intérêt général. Parce qu’elle repose sur la gouvernance partagée, la coopération et le réinvestissement de la valeur, l’ESS est un levier majeur pour réussir les transitions écologique, sociale et industrielle et pour une réindustrialisation durable et non délocalisable. Pourtant, son potentiel reste bridé par la précarité des financements et des parcours professionnels. L’État doit jouer un rôle moteur et planifier le développement de l’ESS. Celle-ci doit cesser d’être un supplément d’âme pour devenir le cœur d’un projet de société fondé sur la solidarité et l’émancipation.	Sortir l’électricité de la logique de marché pour garantir l’accès de toutes et tous à une énergie abordable, en étendant les tarifs réglementés pour les particuliers, les services publics et les entreprises. Réserver la logique de marché aux échanges transfrontaliers.
13	État	Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics obligatoires.	-2	2	https://projet-socialiste.fr/projet/vivre-libres/	Désaccord net : Le PS veut davantage de régulation publique, une économie sociale et solidaire plus importante, des prises de contrôle dans certains secteurs stratégiques et une protection sociale principalement collective. Pour PS, sur Q13 (« Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics… »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.	217	0.0910	Généraliser l’accès aux titres-restaurant à tous les salariés, et l’utiliser pour accorder aux précaires une allocation alimentation.	Protéger les travailleurs indépendants. Combattre leur précarité fiscale et créer une Caisse de sécurité sociale des indépendants précaires. Cette caisse, dédiée aux 900 000 travailleurs indépendants français exerçant à titre principal sans autre revenu structurant, serait cofinancée selon une architecture tripartite : 50 % par les cotisations des travailleurs eux-mêmes ; 30 % par une contribution des donneurs d’ordre – plateformes numériques et entreprises qui externalisent structurellement leur force de travail vers des indépendants – ; 20 % par une subvention de l’État.	La liberté n’est pas garantie dans une société où la vie digne n’est pas assurée pour toutes et tous. Il ne peut exister de liberté politique sans liberté matérielle. Affronter la précarité dans sa vie quotidienne, pour se loger, se chauffer, se nourrir ou se déplacer, enferme et isole des millions de Français.
