qid	theme	score	confidence	current_source	current_justification	old_source	old_justification
1	Économie	-3	2	https://www.pcf.fr/le_programme	Désaccord très fort : Le PCF défend une forte hausse des salaires, une fiscalité beaucoup plus progressive, le rétablissement et le renforcement de l’impôt sur la fortune et une contribution accrue du capital au financement collectif. Pour PCF, sur Q1 (« Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques. »), elle contredit presque entièrement le choix proposé : -3.	https://www.pcf.fr/feuille_de_route_confnat_pcf	Désaccord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
2	Économie	-2	2	https://www.pcf.fr/le_programme	Désaccord net : Le PCF défend une forte hausse des salaires, une fiscalité beaucoup plus progressive, le rétablissement et le renforcement de l’impôt sur la fortune et une contribution accrue du capital au financement collectif. Pour PCF, sur Q2 (« Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.	https://www.pcf.fr/feuille_de_route_confnat_pcf	Désaccord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
3	Économie	3	3	https://www.pcf.fr/le_programme	Accord très fort : Le PCF défend une forte hausse des salaires, une fiscalité beaucoup plus progressive, le rétablissement et le renforcement de l’impôt sur la fortune et une contribution accrue du capital au financement collectif. Pour PCF, sur Q3 (« L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités. »), cette orientation reprend presque entièrement le choix proposé : +3.	https://www.pcf.fr/contrat_de_legislature_projet_propos_par_le_pcf	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
5	Économie	3	3	https://www.pcf.fr/le_programme	Accord très fort : Le PCF défend une forte hausse des salaires, une fiscalité beaucoup plus progressive, le rétablissement et le renforcement de l’impôt sur la fortune et une contribution accrue du capital au financement collectif. Pour PCF, sur Q5 (« Le salaire minimum devrait être augmenté significativement. »), cette orientation reprend presque entièrement le choix proposé : +3.	https://www.pcf.fr/contrat_de_legislature_projet_propos_par_le_pcf	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
6	Économie	-3	2	https://www.pcf.fr/le_programme	Désaccord très fort : Le PCF veut renforcer la propriété et la maîtrise publiques dans les secteurs stratégiques, développer les services publics, encadrer les entreprises et donner davantage de pouvoir aux salariés. Pour PCF, sur Q6 (« Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels. »), elle contredit presque entièrement le choix proposé : -3.	https://www.pcf.fr/feuille_de_route_confnat_pcf	Désaccord fort : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.
7	Économie	3	3	https://www.pcf.fr/le_programme	Accord très fort : Le PCF veut renforcer la propriété et la maîtrise publiques dans les secteurs stratégiques, développer les services publics, encadrer les entreprises et donner davantage de pouvoir aux salariés. Pour PCF, sur Q7 (« L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays. »), cette orientation reprend presque entièrement le choix proposé : +3.	https://www.pcf.fr/contrat_de_legislature_projet_propos_par_le_pcf	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
8	Économie	-3	2	https://www.pcf.fr/le_programme	Désaccord très fort : Le PCF veut renforcer la propriété et la maîtrise publiques dans les secteurs stratégiques, développer les services publics, encadrer les entreprises et donner davantage de pouvoir aux salariés. Pour PCF, sur Q8 (« La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation. »), elle contredit presque entièrement le choix proposé : -3.	https://www.pcf.fr/feuille_de_route_confnat_pcf	Désaccord fort : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.
9	État	-3	3	https://www.pcf.fr/le_programme	Désaccord très fort : Le PCF défend une forte hausse des salaires, une fiscalité beaucoup plus progressive, le rétablissement et le renforcement de l’impôt sur la fortune et une contribution accrue du capital au financement collectif. Pour PCF, sur Q9 (« La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire. »), elle contredit presque entièrement le choix proposé : -3.	https://www.pcf.fr/contrat_de_legislature_projet_propos_par_le_pcf	Désaccord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
10	État	3	3	https://www.pcf.fr/le_programme	Accord très fort : Le PCF défend une forte hausse des salaires, une fiscalité beaucoup plus progressive, le rétablissement et le renforcement de l’impôt sur la fortune et une contribution accrue du capital au financement collectif. Pour PCF, sur Q10 (« L'État devrait garantir un niveau élevé de protection sociale, même si cela implique une fiscalité importante. »), cette orientation reprend presque entièrement le choix proposé : +3.	https://www.pcf.fr/contrat_de_legislature_projet_propos_par_le_pcf	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
12	État	3	3	https://www.pcf.fr/le_programme	Accord très fort : Le PCF veut renforcer la propriété et la maîtrise publiques dans les secteurs stratégiques, développer les services publics, encadrer les entreprises et donner davantage de pouvoir aux salariés. Pour PCF, sur Q12 (« L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables. »), cette orientation reprend presque entièrement le choix proposé : +3.	https://www.pcf.fr/contrat_de_legislature_projet_propos_par_le_pcf	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
