qid	theme	question	score	confidence	source	justification
2	Économie	Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque.	2	2	https://valtioneuvosto.fi/en/governments/government-programme	Accord net : Le programme Orpo privilégie le travail, l’entrepreneuriat, la réduction du déficit, les réformes du marché du travail et la baisse des obstacles réglementaires. Pour Finlande, sur Q2 (« Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.
3	Économie	L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités.	-2	2	https://valtioneuvosto.fi/en/governments/government-programme	Désaccord net : Le programme Orpo privilégie le travail, l’entrepreneuriat, la réduction du déficit, les réformes du marché du travail et la baisse des obstacles réglementaires. Pour Finlande, sur Q3 (« L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.
5	Économie	Le salaire minimum devrait être augmenté significativement.	-2	2	https://valtioneuvosto.fi/en/governments/government-programme	Désaccord net : Le programme Orpo privilégie le travail, l’entrepreneuriat, la réduction du déficit, les réformes du marché du travail et la baisse des obstacles réglementaires. Pour Finlande, sur Q5 (« Le salaire minimum devrait être augmenté significativement. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.
8	Économie	La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation.	2	2	https://valtioneuvosto.fi/en/governments/government-programme	Accord net : Le programme Orpo privilégie le travail, l’entrepreneuriat, la réduction du déficit, les réformes du marché du travail et la baisse des obstacles réglementaires. Pour Finlande, sur Q8 (« La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.
12	État	L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables.	-1	2	https://valtioneuvosto.fi/en/governments/government-programme	Réserve modérée : Le programme Orpo privilégie le travail, l’entrepreneuriat, la réduction du déficit, les réformes du marché du travail et la baisse des obstacles réglementaires. Pour Finlande, sur Q12 (« L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.
13	État	Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics obligatoires.	2	2	https://valtioneuvosto.fi/en/governments/government-programme	Accord net : Le programme Orpo privilégie le travail, l’entrepreneuriat, la réduction du déficit, les réformes du marché du travail et la baisse des obstacles réglementaires. Pour Finlande, sur Q13 (« Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics… »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.
19	Social / société	Certaines traditions et valeurs culturelles méritent d'être préservées même si elles évoluent moins vite que la société.	2	2	https://valtioneuvosto.fi/en/-/outcome-of-the-negotiations-on-the-new-government-programme-a-strong-and-committed-finland	Accord net : La coalition est modérément conservatrice, mais reste encadrée par les partis libéraux et suédophones de la coalition. Pour Finlande, sur Q19 (« Certaines traditions et valeurs culturelles méritent d'être préservées même si elles évoluent moins vite que la société. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.
21	Immigration	L'immigration économique est globalement bénéfique pour l'économie française.	2	2	https://valtioneuvosto.fi/en/governments/government-programme	Accord net : Le gouvernement conduit une politique migratoire restrictive, sélective et fortement centrée sur l’intégration et l’emploi. Pour Finlande, sur Q21 (« L'immigration économique est globalement bénéfique pour l'économie française. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.
25	Immigration	Même lorsque l'immigration est économiquement bénéfique, elle peut être légitimement limitée pour préserver la cohésion culturelle du pays.	2	2	https://valtioneuvosto.fi/en/governments/government-programme	Accord net : Le gouvernement conduit une politique migratoire restrictive, sélective et fortement centrée sur l’intégration et l’emploi. Pour Finlande, sur Q25 (« Même lorsque l'immigration est économiquement bénéfique, elle peut être légitimement limitée pour préserver la cohésion culturelle du pays. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.
26	Immigration	La France devrait accueillir davantage de réfugiés lorsqu'ils fuient une guerre ou une persécution, même si cela représente un coût économique.	-2	2	https://valtioneuvosto.fi/en/governments/government-programme	Désaccord net : Le gouvernement conduit une politique migratoire restrictive, sélective et fortement centrée sur l’intégration et l’emploi. Pour Finlande, sur Q26 (« La France devrait accueillir davantage de réfugiés lorsqu'ils fuient une guerre ou une persécution, même si cela représente un coût économique. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.
