qid	theme	question	score	confidence	source	justification
1	Économie	Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques.	-3	2	https://www.pcf.fr/feuille_de_route_confnat_pcf	Désaccord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
2	Économie	Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque.	-2	2	https://www.pcf.fr/feuille_de_route_confnat_pcf	Désaccord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
3	Économie	L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités.	3	3	https://www.pcf.fr/contrat_de_legislature_projet_propos_par_le_pcf	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
5	Économie	Le salaire minimum devrait être augmenté significativement.	3	3	https://www.pcf.fr/contrat_de_legislature_projet_propos_par_le_pcf	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
6	Économie	Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels.	-3	2	https://www.pcf.fr/feuille_de_route_confnat_pcf	Désaccord fort : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.
7	Économie	L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays.	3	3	https://www.pcf.fr/contrat_de_legislature_projet_propos_par_le_pcf	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
8	Économie	La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation.	-3	2	https://www.pcf.fr/feuille_de_route_confnat_pcf	Désaccord fort : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.
9	État	La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire.	-3	3	https://www.pcf.fr/contrat_de_legislature_projet_propos_par_le_pcf	Désaccord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
10	État	L'État devrait garantir un niveau élevé de protection sociale, même si cela implique une fiscalité importante.	3	3	https://www.pcf.fr/contrat_de_legislature_projet_propos_par_le_pcf	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
12	État	L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables.	3	3	https://www.pcf.fr/contrat_de_legislature_projet_propos_par_le_pcf	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
13	État	Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics obligatoires.	-3	2	https://www.pcf.fr/feuille_de_route_confnat_pcf	Désaccord fort : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.
14	Social / société	La société devrait accepter beaucoup plus largement les différents modes de vie, même lorsqu'ils s'éloignent des normes traditionnelles.	2	2	https://www.pcf.fr/immigration_est_un_enjeu_de_classe	Accord net : codage cohérent avec la ligne programmatique générale du parti sur social / société.
