qid	theme	question	score	confidence	current_source	current_justification	old_source	old_justification
1	Économie	Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques.	3	2	https://horizonsleparti.fr/le-manifeste/	Accord très fort : Horizons rejette l’idée d’un argent public illimité, veut restaurer la compétitivité, valoriser le travail et l’effort et privilégier des finances publiques soutenables. Pour Horizons, sur Q1 (« Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques. »), cette orientation reprend presque entièrement le choix proposé : +3.	https://horizonsleparti.fr/le-manifeste/	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
2	Économie	Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque.	2	2	https://horizonsleparti.fr/le-manifeste/	Accord net : Horizons rejette l’idée d’un argent public illimité, veut restaurer la compétitivité, valoriser le travail et l’effort et privilégier des finances publiques soutenables. Pour Horizons, sur Q2 (« Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	https://horizonsleparti.fr/le-manifeste/	Accord net : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.
3	Économie	L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités.	-2	2	https://horizonsleparti.fr/le-manifeste/	Désaccord net : Horizons rejette l’idée d’un argent public illimité, veut restaurer la compétitivité, valoriser le travail et l’effort et privilégier des finances publiques soutenables. Pour Horizons, sur Q3 (« L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.	https://horizonsleparti.fr/le-manifeste/	Désaccord net : codage cohérent avec la ligne programmatique générale du parti sur économie.
5	Économie	Le salaire minimum devrait être augmenté significativement.	-2	2	https://horizonsleparti.fr/le-manifeste/	Désaccord net : Horizons rejette l’idée d’un argent public illimité, veut restaurer la compétitivité, valoriser le travail et l’effort et privilégier des finances publiques soutenables. Pour Horizons, sur Q5 (« Le salaire minimum devrait être augmenté significativement. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.	https://horizonsleparti.fr/le-manifeste/	Désaccord net : codage cohérent avec la ligne programmatique générale du parti sur économie.
6	Économie	Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels.	2	2	https://horizonsleparti.fr/le-manifeste/	Accord net : Horizons veut réformer l’État et l’économie pour favoriser le travail, la production et l’initiative, tout en conservant des politiques publiques fortes dans les secteurs stratégiques et sociaux. Pour Horizons, sur Q6 (« Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	https://horizonsleparti.fr/le-manifeste/	Accord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
7	Économie	L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays.	-1	2	https://horizonsleparti.fr/le-manifeste/	Réserve modérée : Horizons veut réformer l’État et l’économie pour favoriser le travail, la production et l’initiative, tout en conservant des politiques publiques fortes dans les secteurs stratégiques et sociaux. Pour Horizons, sur Q7 (« L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	https://horizonsleparti.fr/le-manifeste/	Réserve : codage cohérent avec la ligne programmatique générale du parti sur économie.
8	Économie	La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation.	2	2	https://horizonsleparti.fr/le-manifeste/	Accord net : Horizons veut réformer l’État et l’économie pour favoriser le travail, la production et l’initiative, tout en conservant des politiques publiques fortes dans les secteurs stratégiques et sociaux. Pour Horizons, sur Q8 (« La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	https://horizonsleparti.fr/le-manifeste/	Accord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
9	État	La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire.	3	2	https://horizonsleparti.fr/le-manifeste/	Accord très fort : Horizons rejette l’idée d’un argent public illimité, veut restaurer la compétitivité, valoriser le travail et l’effort et privilégier des finances publiques soutenables. Pour Horizons, sur Q9 (« La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire. »), cette orientation reprend presque entièrement le choix proposé : +3.	https://horizonsleparti.fr/le-manifeste/	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
10	État	L'État devrait garantir un niveau élevé de protection sociale, même si cela implique une fiscalité importante.	0	2	https://horizonsleparti.fr/le-manifeste/	Position intermédiaire : Horizons rejette l’idée d’un argent public illimité, veut restaurer la compétitivité, valoriser le travail et l’effort et privilégier des finances publiques soutenables. Pour Horizons, sur Q10 (« L'État devrait garantir un niveau élevé de protection sociale, même si cela implique une fiscalité importante. »), elle ne tranche pas clairement l’arbitrage précis posé : 0.	https://horizonsleparti.fr/le-manifeste/	Position équilibrée ou non tranchée : codage cohérent avec la ligne programmatique générale du parti sur état.
12	État	L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables.	0	2	https://horizonsleparti.fr/le-manifeste/	Position intermédiaire : Horizons veut réformer l’État et l’économie pour favoriser le travail, la production et l’initiative, tout en conservant des politiques publiques fortes dans les secteurs stratégiques et sociaux. Pour Horizons, sur Q12 (« L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables. »), elle ne tranche pas clairement l’arbitrage précis posé : 0.	https://horizonsleparti.fr/le-manifeste/	Position équilibrée ou non tranchée : codage cohérent avec la ligne programmatique générale du parti sur état.
13	État	Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics obligatoires.	2	2	https://horizonsleparti.fr/le-manifeste/	Accord net : Horizons veut réformer l’État et l’économie pour favoriser le travail, la production et l’initiative, tout en conservant des politiques publiques fortes dans les secteurs stratégiques et sociaux. Pour Horizons, sur Q13 (« Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics… »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	https://horizonsleparti.fr/le-manifeste/	Accord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
14	Social / société	La société devrait accepter beaucoup plus largement les différents modes de vie, même lorsqu'ils s'éloignent des normes traditionnelles.	1	2	https://horizonsleparti.fr/le-manifeste/	Accord modéré : Horizons défend la laïcité et l’universalisme républicain, combat les assignations identitaires et rejette à la fois le multiculturalisme communautaire et les atteintes aux libertés démocratiques. Pour Horizons, sur Q14 (« La société devrait accepter beaucoup plus largement les différents modes de vie, même lorsqu'ils s'éloignent des normes traditionnelles. »), elle incline dans ce sens sans adopter toute la proposition : +1.	https://horizonsleparti.fr/le-manifeste/	Accord modéré : codage cohérent avec la ligne programmatique générale du parti sur social / société.
