qid	theme	question	coefficients
1	Économie	Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques.	{"economy":1,"authority":0,"europe":0,"ecology":0,"immigration":0,"democracy":0}
2	Économie	Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque.	{"economy":0.6,"authority":0,"europe":0,"ecology":0,"immigration":0,"democracy":0}
3	Économie	L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités.	{"economy":-0.8,"authority":0,"europe":0,"ecology":0,"immigration":0,"democracy":0}
4	Économie	Les entreprises devraient être obligées de limiter l’écart entre la rémunération de leurs dirigeants et celle de leurs salariés les moins bien payés.	{"economy":-1,"authority":0,"europe":0,"ecology":0,"immigration":0,"democracy":0}
5	Économie	Le salaire minimum devrait être augmenté significativement.	{"economy":-1,"authority":0,"europe":0,"ecology":0,"immigration":0,"democracy":0}
6	Économie	Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels.	{"economy":0.7,"authority":0,"europe":0,"ecology":0,"immigration":0,"democracy":0}
7	Économie	L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays.	{"economy":-0.6,"authority":0.7,"europe":0,"ecology":0,"immigration":0,"democracy":0}
8	Économie	La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation.	{"economy":0.7,"authority":0,"europe":0,"ecology":0,"immigration":0,"democracy":0}
9	État	La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire.	{"economy":0.8,"authority":0,"europe":0,"ecology":0,"immigration":0,"democracy":0}
10	État	L'État devrait garantir un niveau élevé de protection sociale, même si cela implique une fiscalité importante.	{"economy":-0.7,"authority":0,"europe":0,"ecology":0,"immigration":0,"democracy":0}
12	État	L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables.	{"economy":-0.6,"authority":0,"europe":0,"ecology":0,"immigration":0,"democracy":0}
13	État	Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics obligatoires.	{"economy":0.7,"authority":0,"europe":0,"ecology":0,"immigration":0,"democracy":0}
14	Social / société	La société devrait accepter beaucoup plus largement les différents modes de vie, même lorsqu'ils s'éloignent des normes traditionnelles.	{"economy":0,"authority":-0.7,"europe":0,"ecology":0,"immigration":0,"democracy":0}
15	Démocratie	Un gouvernement devrait pouvoir faire adopter le budget sans vote de l’Assemblée nationale lorsqu’aucune majorité stable ne se dégage, afin d’éviter un blocage institutionnel.	{"economy":0,"authority":0,"europe":0,"ecology":0,"immigration":0,"democracy":-1}
16	Social / société	Réduire les inégalités peut parfois justifier de restreindre certaines libertés individuelles.	{"economy":0,"authority":0.8,"europe":0,"ecology":0,"immigration":0,"democracy":0}
17	Social / société	Les politiques publiques devraient chercher à corriger activement les discriminations historiques ou structurelles entre groupes sociaux.	{"economy":-0.3,"authority":0,"europe":0,"ecology":0,"immigration":0,"democracy":0}
18	Institutions / territoires	Les régions devraient pouvoir adopter des règles différentes en matière économique, sociale ou environnementale plutôt que d’appliquer partout les mêmes règles nationales.	{"economy":0,"authority":0,"europe":0,"ecology":0,"immigration":0,"democracy":0.8}
19	Social / société	Certaines traditions et valeurs culturelles méritent d'être préservées même si elles évoluent moins vite que la société.	{"economy":0,"authority":0.6,"europe":0,"ecology":0,"immigration":0,"democracy":0}
20	Immigration	La France devrait réduire le nombre d'immigrants qu'elle accueille chaque année.	{"economy":0,"authority":0.2,"europe":0,"ecology":0,"immigration":-1,"democracy":0}
21	Immigration	L'immigration économique est globalement bénéfique pour l'économie française.	{"economy":0,"authority":0,"europe":0,"ecology":0,"immigration":0.3,"democracy":0}
22	Immigration / droits sociaux	Un étranger installé légalement en France depuis de nombreuses années devrait, à situation économique comparable, bénéficier des mêmes prestations sociales et du même accès au logement social qu’un citoyen français, sans priorité fondée sur la nationalité.	{"economy":0,"authority":0,"europe":0,"ecology":0,"immigration":1,"democracy":0}
23	Immigration	L'accès à la nationalité française devrait être rendu plus exigeant.	{"economy":0,"authority":0.2,"europe":0,"ecology":0,"immigration":-1,"democracy":0}
24	Immigration	La France devrait être beaucoup plus stricte concernant l'expulsion des étrangers condamnés pour des crimes graves.	{"economy":0,"authority":0.8,"europe":0,"ecology":0,"immigration":-0.7,"democracy":0}
25	Immigration	Même lorsque l'immigration est économiquement bénéfique, elle peut être légitimement limitée pour préserver la cohésion culturelle du pays.	{"economy":0,"authority":0.3,"europe":0,"ecology":0,"immigration":-0.8,"democracy":0}
26	Immigration	La France devrait accueillir davantage de réfugiés lorsqu'ils fuient une guerre ou une persécution, même si cela représente un coût économique.	{"economy":0,"authority":-0.2,"europe":0,"ecology":0,"immigration":1,"democracy":0}
27	Sécurité / justice	Les peines de prison effectives devraient être plus sévères, même si cela augmente fortement la population carcérale.	{"economy":0,"authority":0.8,"europe":0,"ecology":0,"immigration":0,"democracy":0}
28	Sécurité / justice	Il vaut mieux investir dans la prévention et la réinsertion que dans l'augmentation des sanctions.	{"economy":0,"authority":-0.6,"europe":0,"ecology":0,"immigration":0,"democracy":0}
29	Sécurité / justice	La police devrait disposer de pouvoirs plus importants pour lutter contre la criminalité, quitte à accepter davantage de contrôles sur certaines libertés individuelles.	{"economy":0,"authority":1,"europe":0,"ecology":0,"immigration":0,"democracy":0}
30	Agriculture / commerce	La France devrait pouvoir interdire l’importation de produits agricoles fabriqués selon des normes qu’elle interdit à ses propres agriculteurs, même si cela faisait disparaître des rayons les produits alimentaires les moins chers.	{"economy":-0.6,"authority":0.3,"europe":0,"ecology":0,"immigration":0,"democracy":0}
32	Écologie	La lutte contre le changement climatique doit rester prioritaire même lorsqu'elle réduit la croissance économique à court terme.	{"economy":-0.1,"authority":0,"europe":0,"ecology":1,"immigration":0,"democracy":0}
33	Écologie	Il faut accepter une hausse importante du prix des énergies fossiles pour accélérer la transition écologique.	{"economy":0,"authority":0,"europe":0,"ecology":0.8,"immigration":0,"democracy":0}
34	Economie	Une partie des cotisations sociales sur les salaires devrait être remplacée par une hausse de la TVA afin d’augmenter les salaires nets et de réduire le coût du travail, même si cela augmente le prix des biens et services consommés	{"economy":1,"authority":-0.2,"europe":0,"ecology":0,"immigration":0,"democracy":0}
35	Écologie	Les politiques écologiques devraient reposer principalement sur des mécanismes de marché comme la taxe carbone plutôt que sur des interdictions.	{"economy":0,"authority":-0.6,"europe":0,"ecology":-0.7,"immigration":0,"democracy":0}
36	Écologie	Il est justifié d'interdire certains produits ou comportements très polluants même lorsque les consommateurs les souhaitent.	{"economy":0,"authority":0.6,"europe":0,"ecology":1,"immigration":0,"democracy":0}
37	Écologie	Les pays riches devraient supporter une part prépondérante du coût de la transition écologique mondiale.	{"economy":-0.5,"authority":0,"europe":0,"ecology":0.8,"immigration":0,"democracy":0}
38	Europe	La France devrait transférer davantage de compétences à l'Union européenne afin de renforcer son poids économique et géopolitique.	{"economy":0,"authority":0,"europe":1,"ecology":0,"immigration":0,"democracy":0}
39	Europe	La France devrait conserver autant que possible sa souveraineté nationale, même si cela réduit son influence au niveau européen.	{"economy":0,"authority":0,"europe":-1,"ecology":0,"immigration":0,"democracy":0}
40	Europe	L'euro est globalement bénéfique pour la France malgré la perte de certains instruments de politique économique.	{"economy":0,"authority":0,"europe":0.8,"ecology":0,"immigration":0,"democracy":0}
41	Europe	L'Union européenne devrait pouvoir imposer davantage de règles communes aux États membres.	{"economy":0,"authority":0,"europe":1,"ecology":0,"immigration":0,"democracy":0}
42	Europe	En cas de conflit entre les intérêts économiques français et les règles européennes, la France devrait pouvoir désobéir à certaines règles européennes.	{"economy":0,"authority":0,"europe":-0.8,"ecology":0,"immigration":0,"democracy":0}
43	Fiscalité / patrimoine	Il faudrait supprimer l'IFI et ne plus taxer spécifiquement le patrimoine immobilier au-delà de la fiscalité ordinaire.	{"economy":0.5,"authority":0,"europe":0,"ecology":0,"immigration":0,"democracy":0}
44	Fiscalité / patrimoine	L'héritage devrait être davantage taxé au-delà d'un certain seuil de patrimoine transmis, même si cela conduit certaines familles à transmettre moins de patrimoine à leurs enfants.	{"economy":-0.5,"authority":0,"europe":0,"ecology":0,"immigration":0,"democracy":0}
45	Fiscalité / patrimoine	Les très grandes fortunes devraient être imposées sur leur patrimoine mondial, même lorsqu'elles quittent la France.	{"economy":-0.4,"authority":0.2,"europe":0,"ecology":0,"immigration":0,"democracy":0}
46	Travail / chômage	Un chômeur devrait pouvoir perdre une partie significative de ses allocations s'il refuse plusieurs emplois raisonnablement adaptés à ses compétences.	{"economy":0.8,"authority":0.6,"europe":0,"ecology":0,"immigration":0,"democracy":0}
47	Outre-mer / vie chère	L’État devrait garantir que les produits essentiels ne coûtent pas beaucoup plus cher dans les DOM/TOM que dans l’Hexagone, quitte à subventionner durablement leur transport ou leur prix avec l’argent public national.	{"economy":-0.7,"authority":0,"europe":0,"ecology":0,"immigration":0,"democracy":0.2}
48	Travail / chômage	Le CDI protège trop fortement les salariés déjà en poste et peut rendre plus difficile l’accès à l’emploi stable, au détriment des jeunes, chômeurs ou travailleurs en contrats précaires.	{"economy":0.7,"authority":0,"europe":0,"ecology":0,"immigration":0,"democracy":0}
49	Retraites	Les retraites devraient être progressivement réformées vers un système combinant répartition et capitalisation, même si cela implique une période de transition coûteuse.	{"economy":0.8,"authority":0,"europe":0,"ecology":0,"immigration":0,"democracy":0}
50	Retraites	L'âge légal de départ à la retraite devrait être automatiquement indexé sur l'espérance de vie nationale.	{"economy":1,"authority":0,"europe":0,"ecology":0,"immigration":0,"democracy":0}
51	Protection sociale	Les prestations sociales devraient être fortement conditionnées à la durée de cotisation et de participation au marché du travail.	{"economy":0.8,"authority":0,"europe":0,"ecology":0,"immigration":0,"democracy":0}
53	État / entreprises	Une entreprise qui reçoit plusieurs milliards d'euros d'aides publiques devrait pouvoir être contrainte de limiter ses dividendes et les rémunérations de ses dirigeants tant que l'aide n'est pas remboursée.	{"economy":-0.3,"authority":0,"europe":0,"ecology":0,"immigration":0,"democracy":0}
54	État / entreprises	L'État devrait davantage utiliser son pouvoir d'actionnaire pour orienter les grandes entreprises françaises vers des objectifs industriels de long terme.	{"economy":-0.2,"authority":0,"europe":0,"ecology":0,"immigration":0,"democracy":0}
55	État / entreprises	Il faudrait réduire fortement les normes administratives pesant sur les entreprises, même si certaines protections environnementales ou sociales deviennent moins strictes.	{"economy":0.6,"authority":0,"europe":0,"ecology":0,"immigration":0,"democracy":0}
56	Immigration / régularisation	Un étranger en situation irrégulière qui travaille de façon stable en France depuis plusieurs années et n’a commis aucun délit devrait pouvoir être régularisé, même s’il est entré ou est resté sur le territoire sans autorisation.	{"economy":0,"authority":0,"europe":0,"ecology":0,"immigration":1,"democracy":0}
