qid	theme	question	score	confidence	source	justification	fetch_paragraphs	best_score	evidence_1	evidence_2	evidence_3
1	Économie	Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques.	3	2	https://republicains.fr/nos-idees/	Accord très fort : LR veut réduire la dépense publique plutôt qu’augmenter les impôts, valoriser le travail, la propriété, l’entrepreneuriat et la compétitivité et alléger la pression fiscale sur l’activité. Pour LR, sur Q1 (« Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques. »), cette orientation reprend presque entièrement le choix proposé : +3.	21	0			
2	Économie	Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque.	2	2	https://republicains.fr/nos-idees/	Accord net : LR veut réduire la dépense publique plutôt qu’augmenter les impôts, valoriser le travail, la propriété, l’entrepreneuriat et la compétitivité et alléger la pression fiscale sur l’activité. Pour LR, sur Q2 (« Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	21	0.0784	Une écologie qui repose principalement sur la capacité des scientifiques, de nos chercheurs comme des entrepreneurs et des innovateurs à trouver des solutions pour relever les défis de l’air, de l’eau, comme les défis alimentaires et énergétiques.		
3	Économie	L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités.	-3	2	https://republicains.fr/nos-idees/	Désaccord très fort : LR veut réduire la dépense publique plutôt qu’augmenter les impôts, valoriser le travail, la propriété, l’entrepreneuriat et la compétitivité et alléger la pression fiscale sur l’activité. Pour LR, sur Q3 (« L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités. »), elle contredit presque entièrement le choix proposé : -3.	21	0			
5	Économie	Le salaire minimum devrait être augmenté significativement.	-2	2	https://republicains.fr/nos-idees/	Désaccord net : LR veut réduire la dépense publique plutôt qu’augmenter les impôts, valoriser le travail, la propriété, l’entrepreneuriat et la compétitivité et alléger la pression fiscale sur l’activité. Pour LR, sur Q5 (« Le salaire minimum devrait être augmenté significativement. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.	21	0			
6	Économie	Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels.	2	2	https://republicains.fr/nos-idees/	Accord net : LR affirme que les entrepreneurs créent la richesse, veut libérer l’initiative et simplifier les normes, tout en conservant un État fort pour les fonctions régaliennes et certains services essentiels. Pour LR, sur Q6 (« Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	21	0			
7	Économie	L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays.	-1	2	https://republicains.fr/nos-idees/	Réserve modérée : LR affirme que les entrepreneurs créent la richesse, veut libérer l’initiative et simplifier les normes, tout en conservant un État fort pour les fonctions régaliennes et certains services essentiels. Pour LR, sur Q7 (« L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	21	0.1215	Soutenir nos entrepreneurs qui sont les seuls créateurs de richesses, soutenir tous ceux qui veulent travailler, créer, innover dans notre pays, en libérant l’activité et l’initiative individuelle,	Plus de 100 membres forment 30 groupes thématiques, pilotés par des secrétaires nationaux et réunissant élus, experts et militants, afin de réfléchir aux grands enjeux du pays (économie, sécurité, santé, éducation, écologie, Europe, etc.). Leur rôle est de produire des analyses et des propositions concrètes, d’associer les adhérents à la réflexion collective et d’alimenter les instances nationales comme le Bureau politique et le Conseil national. Véritable fabrique programmatique du mouvement, ces groupes visent à transformer les convictions de la droite en solutions crédibles pour la France.	
8	Économie	La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation.	2	2	https://republicains.fr/nos-idees/	Accord net : LR affirme que les entrepreneurs créent la richesse, veut libérer l’initiative et simplifier les normes, tout en conservant un État fort pour les fonctions régaliennes et certains services essentiels. Pour LR, sur Q8 (« La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	21	0.1314	Retrouver une compétitivité indispensable dans la concurrence internationale		
9	État	La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire.	3	2	https://republicains.fr/nos-idees/	Accord très fort : LR veut réduire la dépense publique plutôt qu’augmenter les impôts, valoriser le travail, la propriété, l’entrepreneuriat et la compétitivité et alléger la pression fiscale sur l’activité. Pour LR, sur Q9 (« La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire. »), cette orientation reprend presque entièrement le choix proposé : +3.	21	0.0771	Rétablir l’ordre dans nos comptes en réduisant la dépense publique plutôt qu’en augmentant toujours plus la pression fiscale.	Protéger nos compatriotes contre toutes les formes de délinquances au quotidien, grâce à nos forces de sécurité, en garantissant l’ordre public sur l’ensemble du territoire national.	
10	État	L'État devrait garantir un niveau élevé de protection sociale, même si cela implique une fiscalité importante.	-1	2	https://republicains.fr/nos-idees/	Réserve modérée : LR veut réduire la dépense publique plutôt qu’augmenter les impôts, valoriser le travail, la propriété, l’entrepreneuriat et la compétitivité et alléger la pression fiscale sur l’activité. Pour LR, sur Q10 (« L'État devrait garantir un niveau élevé de protection sociale, même si cela implique une fiscalité importante. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	21	0.1028	Rénover notre système de santé et garantir l’égal accès aux soins partout en France.		
12	État	L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables.	-1	2	https://republicains.fr/nos-idees/	Réserve modérée : LR affirme que les entrepreneurs créent la richesse, veut libérer l’initiative et simplifier les normes, tout en conservant un État fort pour les fonctions régaliennes et certains services essentiels. Pour LR, sur Q12 (« L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	21	0.0518	Plus de 100 membres forment 30 groupes thématiques, pilotés par des secrétaires nationaux et réunissant élus, experts et militants, afin de réfléchir aux grands enjeux du pays (économie, sécurité, santé, éducation, écologie, Europe, etc.). Leur rôle est de produire des analyses et des propositions concrètes, d’associer les adhérents à la réflexion collective et d’alimenter les instances nationales comme le Bureau politique et le Conseil national. Véritable fabrique programmatique du mouvement, ces groupes visent à transformer les convictions de la droite en solutions crédibles pour la France.		
