qid	theme	question	score	confidence	current_source	current_justification	old_source	old_justification
1	Économie	Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques.	0	2	https://www.gov.uk/government/publications/plan-for-change	Position intermédiaire : Le gouvernement Labour combine croissance, investissement public, renforcement des droits du travail et discipline budgétaire modérée. Pour Royaume-Uni, sur Q1 (« Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques. »), elle ne tranche pas clairement l’arbitrage précis posé : 0.	https://www.gov.uk/government/publications/plan-for-change	Position de compromis : Le gouvernement Labour combine croissance, investissement public, renforcement des droits du travail et discipline budgétaire modérée. Transposition ou inférence prudente.
2	Économie	Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque.	-1	2	https://www.gov.uk/government/publications/plan-for-change	Réserve modérée : Le gouvernement Labour combine croissance, investissement public, renforcement des droits du travail et discipline budgétaire modérée. Pour Royaume-Uni, sur Q2 (« Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	https://www.gov.uk/government/publications/plan-for-change	Réserve : Le gouvernement Labour combine croissance, investissement public, renforcement des droits du travail et discipline budgétaire modérée. Transposition ou inférence prudente.
3	Économie	L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités.	1	2	https://www.gov.uk/government/publications/plan-for-change	Accord modéré : Le gouvernement Labour combine croissance, investissement public, renforcement des droits du travail et discipline budgétaire modérée. Pour Royaume-Uni, sur Q3 (« L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités. »), elle incline dans ce sens sans adopter toute la proposition : +1.	https://www.gov.uk/government/publications/plan-for-change	Accord modéré : Le gouvernement Labour combine croissance, investissement public, renforcement des droits du travail et discipline budgétaire modérée. Transposition ou inférence prudente.
4	Économie	Les entreprises devraient être obligées de limiter l’écart entre la rémunération de leurs dirigeants et celle de leurs salariés les moins bien payés.	-1	2	https://www.gov.uk/government/news/new-executive-pay-transparency-measures-come-into-force	Réserve modérée : le Royaume-Uni impose la transparence des ratios entre rémunération du dirigeant et rémunération des salariés, mais n’impose pas de plafond général et la ligne gouvernementale actuelle privilégie la transparence et le fair pay plutôt qu’un ratio salarial légal obligatoire.	https://www.gov.uk/government/news/new-executive-pay-transparency-measures-come-into-force	Désaccord modéré : le Royaume-Uni impose la transparence des ratios entre rémunération du dirigeant et rémunération des salariés, mais n’impose pas de plafond général et la ligne gouvernementale actuelle privilégie la transparence et le fair pay plutôt qu’un ratio salarial légal obligatoire.
5	Économie	Le salaire minimum devrait être augmenté significativement.	2	3	https://www.gov.uk/government/publications/plan-for-change	Accord net : Le gouvernement Labour combine croissance, investissement public, renforcement des droits du travail et discipline budgétaire modérée. Position directement documentée. Pour Royaume-Uni, sur Q5 (« Le salaire minimum devrait être augmenté significativement. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	https://www.gov.uk/government/publications/plan-for-change	Accord net : Le gouvernement Labour combine croissance, investissement public, renforcement des droits du travail et discipline budgétaire modérée. Position directement documentée.
6	Économie	Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels.	0	2	https://www.gov.uk/government/publications/plan-for-change	Position intermédiaire : Le gouvernement Labour combine croissance, investissement public, renforcement des droits du travail et discipline budgétaire modérée. Pour Royaume-Uni, sur Q6 (« Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels. »), elle ne tranche pas clairement l’arbitrage précis posé : 0.	https://www.gov.uk/government/publications/plan-for-change	Position de compromis : Le gouvernement Labour combine croissance, investissement public, renforcement des droits du travail et discipline budgétaire modérée. Transposition ou inférence prudente.
8	Économie	La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation.	0	2	https://www.gov.uk/government/publications/plan-for-change	Position intermédiaire : Le gouvernement Labour combine croissance, investissement public, renforcement des droits du travail et discipline budgétaire modérée. Pour Royaume-Uni, sur Q8 (« La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation. »), elle ne tranche pas clairement l’arbitrage précis posé : 0.	https://www.gov.uk/government/publications/plan-for-change	Position de compromis : Le gouvernement Labour combine croissance, investissement public, renforcement des droits du travail et discipline budgétaire modérée. Transposition ou inférence prudente.
9	État	La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire.	0	2	https://www.gov.uk/government/publications/plan-for-change	Position intermédiaire : Le gouvernement Labour combine croissance, investissement public, renforcement des droits du travail et discipline budgétaire modérée. Pour Royaume-Uni, sur Q9 (« La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire. »), elle ne tranche pas clairement l’arbitrage précis posé : 0.	https://www.gov.uk/government/publications/plan-for-change	Position de compromis : Le gouvernement Labour combine croissance, investissement public, renforcement des droits du travail et discipline budgétaire modérée. Transposition ou inférence prudente.
10	État	L'État devrait garantir un niveau élevé de protection sociale, même si cela implique une fiscalité importante.	2	3	https://www.gov.uk/government/publications/plan-for-change	Accord net : Le gouvernement Labour combine croissance, investissement public, renforcement des droits du travail et discipline budgétaire modérée. Position directement documentée. Pour Royaume-Uni, sur Q10 (« L'État devrait garantir un niveau élevé de protection sociale, même si cela implique une fiscalité importante. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	https://www.gov.uk/government/publications/plan-for-change	Accord net : Le gouvernement Labour combine croissance, investissement public, renforcement des droits du travail et discipline budgétaire modérée. Position directement documentée.
13	État	Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics obligatoires.	-1	2	https://www.gov.uk/government/publications/plan-for-change	Réserve modérée : Le gouvernement Labour combine croissance, investissement public, renforcement des droits du travail et discipline budgétaire modérée. Pour Royaume-Uni, sur Q13 (« Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics… »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	https://www.gov.uk/government/publications/plan-for-change	Réserve : Le gouvernement Labour combine croissance, investissement public, renforcement des droits du travail et discipline budgétaire modérée. Transposition ou inférence prudente.
