qid	theme	question	score	confidence	source	justification	fetch_paragraphs	best_score	evidence_1	evidence_2	evidence_3
1	Économie	Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques.	1	2	https://www.mouvementdemocrate.fr/programme/propositions-2441	Accord modéré : Le MoDem propose une fiscalité des personnes plus progressive, notamment par la fusion de la CSG et de l’impôt sur le revenu, tout en recherchant l’efficacité de la dépense publique et l’équilibre des finances. Pour MoDem, sur Q1 (« Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques. »), elle incline dans ce sens sans adopter toute la proposition : +1.	14	0.1795	Fiscalité et Dépenses publiques Diagnostic Propositions	L’Europe doit être une solution à la fiscalité et aux dépenses publiques. Il faut inciter les membres de l’Union européenne à une harmonisation fiscale : TVA, taxation sur les GAFAM, impôt sur les sociétés, chasse aux paradis fiscaux	Réformer l’impôt sur la fortune pour n’en exclure que l’investissement au capital des entreprises
2	Économie	Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque.	0	1	https://www.mouvementdemocrate.fr/programme/propositions-2441	Position intermédiaire : Le MoDem propose une fiscalité des personnes plus progressive, notamment par la fusion de la CSG et de l’impôt sur le revenu, tout en recherchant l’efficacité de la dépense publique et l’équilibre des finances. Pour MoDem, sur Q2 (« Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque. »), elle ne tranche pas clairement l’arbitrage précis posé : 0.	14	0			
3	Économie	L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités.	0	2	https://www.mouvementdemocrate.fr/programme/propositions-2441	Position intermédiaire : Le MoDem propose une fiscalité des personnes plus progressive, notamment par la fusion de la CSG et de l’impôt sur le revenu, tout en recherchant l’efficacité de la dépense publique et l’équilibre des finances. Pour MoDem, sur Q3 (« L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités. »), elle ne tranche pas clairement l’arbitrage précis posé : 0.	14	0			
4	Économie	Les entreprises devraient être obligées de limiter l’écart entre la rémunération de leurs dirigeants et celle de leurs salariés les moins bien payés.	-1	3	https://www.assemblee-nationale.fr/dyn/docs/RAPPANR5L17B0618.raw	Désaccord modéré : le MoDem partage l’objectif de mieux répartir la valeur et de contenir certains excès, mais a rejeté un plafond légal national des écarts de rémunération, jugé inadapté dans sa méthode.	238	0.3048	En France, à la fin des années 1970, le rapport moyen entre le salaire ouvrier et la rémunération des dirigeants des grandes entreprises (hors stock-options et attributions gratuites d’actions) était de l’ordre de 1 à 40 ( [1] ) . Cet écart se creuse depuis d’année en année. D’après l’association Oxfam, entre 2011 et 2021, l’écart de rémunération entre le salaire moyen des dirigeants des cent plus grandes entreprises cotées en Bourse et le salaire médian de leurs salariés est ainsi passé de 64 à 97 et de 96 à 163 pour les seules entreprises du CAC 40 . Sur la période analysée, la rémunération des dirigeants a augmenté de 66 % tandis que celle des salariés de ces mêmes entreprises, de 21 % ( [2] ) .	L’article 1 er plafonne la rémunération maximale dans une entreprise à vingt fois le montant du salaire le plus faible versé dans cette même entreprise. Cet écart est cohérent avec ce qui se pratique dans le secteur public depuis 2012. Je tiens à souligner que la très grande majorité des entreprises le respectent déjà, si bien que les seules concernées par notre proposition de loi sont les moins vertueuses. Si la rémunération la plus basse d’une entreprise se situe au niveau du Smic, son PDG pourra percevoir 340 000 euros net par an, soit 28 500 euros par mois ! Or, d’après l’Institut national de la statistique et des études économiques (Insee), la rémunération moyenne des dirigeants d’entreprise s’élève à 5 000 euros net par mois, soit quatre fois le Smic, très loin des montants stratosphériques qui justifient cette proposition de loi. Notre proposition procède enfin d’un cercle vertueux car elle fixe non pas un plafond mais un écart. Si les dirigeants les mieux payés veulent continuer de l’être, ils le pourront à condition d’augmenter à due proportion les salaires les plus bas.	Mme Béatrice Bellay (SOC). Nous remercions nos camarades du groupe LFI-NFP d’avoir déposé cette proposition de loi, qui reprend celle de notre collègue Dominique Potier, discutée en 2021 et visant à répondre au problème moral, social et même sociétal que posent les écarts de salaire. De 2011 à 2021, la rémunération des dirigeants des cent plus grandes entreprises françaises a crû en moyenne de 66 %, tandis que celle des salariés n’augmentait que de 21 %. On fait croire que les PDG sont plus méritants que les salariés, et que les résultats des entreprises ne reposent que sur leur génie exceptionnel, au point de justifier qu’ils perçoivent des rémunérations des milliers de fois supérieures. Ce modèle nous mène vers une rupture au sein de notre société ; il nourrit le mécontentement de nos concitoyens, qui ne le comprennent pas. Les arguments que l’on nous oppose ne sont pas admissibles.
5	Économie	Le salaire minimum devrait être augmenté significativement.	0	2	https://www.mouvementdemocrate.fr/programme/propositions-2441	Position intermédiaire : Le MoDem propose une fiscalité des personnes plus progressive, notamment par la fusion de la CSG et de l’impôt sur le revenu, tout en recherchant l’efficacité de la dépense publique et l’équilibre des finances. Pour MoDem, sur Q5 (« Le salaire minimum devrait être augmenté significativement. »), elle ne tranche pas clairement l’arbitrage précis posé : 0.	14	0.1494	Instaurer un impôt minimum sur les bénéfices des sociétés , afin de lutter contre l’optimisation fiscale internationale et d’assurer l’équité des petites et grandes entreprises devant l’impôt		
6	Économie	Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels.	1	1	https://www.mouvementdemocrate.fr/programme/propositions-2445	Accord modéré : Le MoDem veut réformer l’État, réduire les doublons administratifs et faire davantage confiance aux collectivités, aux entreprises et aux initiatives locales, sans remettre en cause le principe de services publics étendus. Pour MoDem, sur Q6 (« Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels. »), elle incline dans ce sens sans adopter toute la proposition : +1.	15	0.1086	Il y a une grande question : Est-ce qu’on a donné toute la confiance nécessaire, tout le crédit nécessaire à la société, aux collectivités locales, aux entreprises, à tous ceux qui ont choisi d’innover, de faire différemment, ou bien est-ce qu’on les a bloqués, beaucoup, depuis des années et des années avec les méthodes qui sont celles de l’État français ?	Les MSAP sont une réponse à la question du maintien des services publics dans nos territoires ruraux ou isolés. Elles offrent un accompagnement de qualité à la population en adaptant les services de proximité à la diversité de nos territoires	Engager la réforme de l’État , pour réduire les coûts de fonctionnement de l’administration et assurer l’efficacité de la dépense publique
7	Économie	L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays.	-1	2	https://www.mouvementdemocrate.fr/programme/propositions-2445	Réserve modérée : Le MoDem veut réformer l’État, réduire les doublons administratifs et faire davantage confiance aux collectivités, aux entreprises et aux initiatives locales, sans remettre en cause le principe de services publics étendus. Pour MoDem, sur Q7 (« L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	15	0.0574	Engager la réforme de l’État , pour réduire les coûts de fonctionnement de l’administration et assurer l’efficacité de la dépense publique	Il y a une grande question : Est-ce qu’on a donné toute la confiance nécessaire, tout le crédit nécessaire à la société, aux collectivités locales, aux entreprises, à tous ceux qui ont choisi d’innover, de faire différemment, ou bien est-ce qu’on les a bloqués, beaucoup, depuis des années et des années avec les méthodes qui sont celles de l’État français ?	
8	Économie	La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation.	1	2	https://www.mouvementdemocrate.fr/programme/propositions-2445	Accord modéré : Le MoDem veut réformer l’État, réduire les doublons administratifs et faire davantage confiance aux collectivités, aux entreprises et aux initiatives locales, sans remettre en cause le principe de services publics étendus. Pour MoDem, sur Q8 (« La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation. »), elle incline dans ce sens sans adopter toute la proposition : +1.	15	0.0758	Les MSAP sont une réponse à la question du maintien des services publics dans nos territoires ruraux ou isolés. Elles offrent un accompagnement de qualité à la population en adaptant les services de proximité à la diversité de nos territoires		
9	État	La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire.	2	2	https://www.mouvementdemocrate.fr/actualites/marc-fesneau-un-chemin-vers-un-cap-collectif-et-vers-jose-le-mot-une-esperance-video	Accord net : le MoDem soutient un effort significatif de maîtrise des dépenses publiques et accepte que certaines politiques ou prestations soient réformées pour rétablir les comptes, tout en refusant une réduction indiscriminée de l'État social.	71	0.0874	Lucidité, aussi, sur la nécessité d’accepter que nous ne parvenions pas à répondre à ces défis d’ampleur sans accepter que la politique ne répond pas seulement à l’immédiateté, qu’elle doit parfois obéir à des logiques de temps long… Accepter, aussi, que la réussite d’une politique publique ne dépend pas – et heureusement – seulement des moyens qui lui sont consacrés.	et – pire encore sans doute pour l’esprit public – les moyens de permettre à leurs enfants d’agrandir le champ des possibles.	Elle a le visage de tous ceux qui s’inquiètent, sur la sécurité ou la justice, de ce qu’ils perçoivent comme un affaissement de l’autorité de l’État et de sa capacité à les protéger. De ceux qui pensent que la justice n’est pas la même pour tous ou qu’elle est trop lente.
10	État	L'État devrait garantir un niveau élevé de protection sociale, même si cela implique une fiscalité importante.	1	2	https://www.mouvementdemocrate.fr/actualites/marc-fesneau-un-chemin-vers-un-cap-collectif-et-vers-jose-le-mot-une-esperance-video	Accord modéré : le MoDem reste attaché à un niveau élevé de protection sociale, mais sa ligne de maîtrise budgétaire ne conduit pas à accepter sans réserve une fiscalité importante pour la financer.	71	0.1419	La stabilité, cela signifie aussi la stabilité économique et sociale, dont les acteurs ont impérativement besoin pour créer de l’activité et de la croissance.	Mais pour garantir cette stabilité, il nous faudra ensemble faire preuve de lucidité.	Celui de la justice sociale et fiscale, comme nous l’avons toujours porté au sein du groupe « Les Démocrates » ; la justice fiscale et sociale, c’est le moyen de rendre acceptables les efforts et de lutter contre toutes les situations de rente ou de sur optimisation. C’est juste que le travail, l’ingéniosité et la prise risque payent plus que la rente et la spéculation. Il ne peut y avoir 100 milliards de dividendes versés sans que cela puisse au fond nous interroger.
