qid	theme	question	score	confidence	current_source	current_justification	old_source	old_justification
1	Économie	Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques.	3	2	https://republicains.fr/nos-idees/	Accord très fort : LR veut réduire la dépense publique plutôt qu’augmenter les impôts, valoriser le travail, la propriété, l’entrepreneuriat et la compétitivité et alléger la pression fiscale sur l’activité. Pour LR, sur Q1 (« Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques. »), cette orientation reprend presque entièrement le choix proposé : +3.	https://republicains.fr/nos-idees/	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
2	Économie	Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque.	2	2	https://republicains.fr/nos-idees/	Accord net : LR veut réduire la dépense publique plutôt qu’augmenter les impôts, valoriser le travail, la propriété, l’entrepreneuriat et la compétitivité et alléger la pression fiscale sur l’activité. Pour LR, sur Q2 (« Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	https://republicains.fr/	Accord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
3	Économie	L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités.	-3	2	https://republicains.fr/nos-idees/	Désaccord très fort : LR veut réduire la dépense publique plutôt qu’augmenter les impôts, valoriser le travail, la propriété, l’entrepreneuriat et la compétitivité et alléger la pression fiscale sur l’activité. Pour LR, sur Q3 (« L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités. »), elle contredit presque entièrement le choix proposé : -3.	https://republicains.fr/nos-idees/	Désaccord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
5	Économie	Le salaire minimum devrait être augmenté significativement.	-2	2	https://republicains.fr/nos-idees/	Désaccord net : LR veut réduire la dépense publique plutôt qu’augmenter les impôts, valoriser le travail, la propriété, l’entrepreneuriat et la compétitivité et alléger la pression fiscale sur l’activité. Pour LR, sur Q5 (« Le salaire minimum devrait être augmenté significativement. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.	https://republicains.fr/nos-idees/	Désaccord net : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
6	Économie	Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels.	2	2	https://republicains.fr/nos-idees/	Accord net : LR affirme que les entrepreneurs créent la richesse, veut libérer l’initiative et simplifier les normes, tout en conservant un État fort pour les fonctions régaliennes et certains services essentiels. Pour LR, sur Q6 (« Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	https://republicains.fr/	Accord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
7	Économie	L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays.	-1	2	https://republicains.fr/nos-idees/	Réserve modérée : LR affirme que les entrepreneurs créent la richesse, veut libérer l’initiative et simplifier les normes, tout en conservant un État fort pour les fonctions régaliennes et certains services essentiels. Pour LR, sur Q7 (« L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	https://republicains.fr/nos-idees/	Réserve : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
8	Économie	La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation.	2	2	https://republicains.fr/nos-idees/	Accord net : LR affirme que les entrepreneurs créent la richesse, veut libérer l’initiative et simplifier les normes, tout en conservant un État fort pour les fonctions régaliennes et certains services essentiels. Pour LR, sur Q8 (« La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	https://republicains.fr/	Accord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
9	État	La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire.	3	2	https://republicains.fr/nos-idees/	Accord très fort : LR veut réduire la dépense publique plutôt qu’augmenter les impôts, valoriser le travail, la propriété, l’entrepreneuriat et la compétitivité et alléger la pression fiscale sur l’activité. Pour LR, sur Q9 (« La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire. »), cette orientation reprend presque entièrement le choix proposé : +3.	https://republicains.fr/nos-idees/	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
10	État	L'État devrait garantir un niveau élevé de protection sociale, même si cela implique une fiscalité importante.	-1	2	https://republicains.fr/nos-idees/	Réserve modérée : LR veut réduire la dépense publique plutôt qu’augmenter les impôts, valoriser le travail, la propriété, l’entrepreneuriat et la compétitivité et alléger la pression fiscale sur l’activité. Pour LR, sur Q10 (« L'État devrait garantir un niveau élevé de protection sociale, même si cela implique une fiscalité importante. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	https://republicains.fr/nos-idees/	Réserve : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
12	État	L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables.	-1	2	https://republicains.fr/nos-idees/	Réserve modérée : LR affirme que les entrepreneurs créent la richesse, veut libérer l’initiative et simplifier les normes, tout en conservant un État fort pour les fonctions régaliennes et certains services essentiels. Pour LR, sur Q12 (« L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	https://republicains.fr/nos-idees/	Réserve : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
