party	qid	score	confidence	source	justification
lfi	32	3	2	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
lfi	34	-2	2	https://lafranceinsoumise.fr/budget-lecornu-2026-une-saignee-sociale/	LFI rejette le transfert du financement social vers des taxes sur la consommation et les baisses de cotisations qui fragilisent la Sécurité sociale. Opposition nette, sans source proposant mot pour mot la TVA sociale : -2.
lfi	35	-3	2	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Désaccord fort : LFI privilégie la planification écologique, la réglementation et des interdictions ciblées plutôt qu'une politique reposant principalement sur les mécanismes de marché comme la taxe carbone.
lfi	43	-3	3	https://lafranceinsoumise.fr/	Désaccord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
lfi	45	2	2	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
lfi	64	2	2	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Accord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
lfi	78	0	2	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Position équilibrée ou non tranchée : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
pcf	32	2	2	https://www.pcf.fr/europe_le_programme_un_argumentaire_utile_aux_militants_et_un_outil_de_campagne_efficace	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
pcf	34	-3	3	https://paris14.pcf.fr/taxonomy/term/2276/0?page=1	Le PCF décrit exactement la TVA sociale comme baisse des cotisations patronales compensée par hausse de TVA et la rejette explicitement. Désaccord maximal, source directement équivalente.
pcf	35	-2	2	https://www.pcf.fr/europe_le_programme_un_argumentaire_utile_aux_militants_et_un_outil_de_campagne_efficace	Désaccord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
