qid	theme	question	score	confidence	source	justification
1	Économie	Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques.	3	3	https://www.udr.fr/grandforumlibertes	Accord très fort : L’UDR veut une forte baisse des prélèvements, supprimer l’IFI et la plupart des droits de succession, réduire les impôts de production et financer ces baisses par des économies massives. Pour UDR, sur Q1 (« Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques. »), cette orientation reprend presque entièrement le choix proposé : +3.
2	Économie	Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque.	3	2	https://www.udr.fr/grandforumlibertes	Accord très fort : L’UDR veut une forte baisse des prélèvements, supprimer l’IFI et la plupart des droits de succession, réduire les impôts de production et financer ces baisses par des économies massives. Pour UDR, sur Q2 (« Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque. »), cette orientation reprend presque entièrement le choix proposé : +3.
3	Économie	L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités.	-3	3	https://www.udr.fr/grandforumlibertes	Désaccord très fort : L’UDR veut une forte baisse des prélèvements, supprimer l’IFI et la plupart des droits de succession, réduire les impôts de production et financer ces baisses par des économies massives. Pour UDR, sur Q3 (« L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités. »), elle contredit presque entièrement le choix proposé : -3.
4	Économie	Les entreprises devraient être obligées de limiter l’écart entre la rémunération de leurs dirigeants et celle de leurs salariés les moins bien payés.	-3	3	https://www.assemblee-nationale.fr/dyn/docs/RAPPANR5L17B0618.raw	Désaccord fort : l’UDR s’est explicitement opposée au plafonnement de 1 à 20, présenté comme contraire à la liberté d’entreprendre et comme une intervention excessive dans la fixation des rémunérations.
5	Économie	Le salaire minimum devrait être augmenté significativement.	-2	2	https://www.udr.fr/grandforumlibertes	Désaccord net : L’UDR veut une forte baisse des prélèvements, supprimer l’IFI et la plupart des droits de succession, réduire les impôts de production et financer ces baisses par des économies massives. Pour UDR, sur Q5 (« Le salaire minimum devrait être augmenté significativement. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.
6	Économie	Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels.	2	2	https://www.udr.fr/priorites	Accord net : L’UDR veut réduire le périmètre de l’État, supprimer de nombreuses normes, baisser les cotisations et introduire une part obligatoire de capitalisation dans les retraites. Pour UDR, sur Q6 (« Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.
7	Économie	L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays.	-2	2	https://www.udr.fr/priorites	Désaccord net : L’UDR veut réduire le périmètre de l’État, supprimer de nombreuses normes, baisser les cotisations et introduire une part obligatoire de capitalisation dans les retraites. Pour UDR, sur Q7 (« L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.
8	Économie	La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation.	3	2	https://www.udr.fr/priorites	Accord très fort : L’UDR veut réduire le périmètre de l’État, supprimer de nombreuses normes, baisser les cotisations et introduire une part obligatoire de capitalisation dans les retraites. Pour UDR, sur Q8 (« La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation. »), cette orientation reprend presque entièrement le choix proposé : +3.
9	État	La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire.	3	3	https://www.udr.fr/grandforumlibertes	Accord très fort : L’UDR veut une forte baisse des prélèvements, supprimer l’IFI et la plupart des droits de succession, réduire les impôts de production et financer ces baisses par des économies massives. Pour UDR, sur Q9 (« La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire. »), cette orientation reprend presque entièrement le choix proposé : +3.
10	État	L'État devrait garantir un niveau élevé de protection sociale, même si cela implique une fiscalité importante.	-1	2	https://www.udr.fr/grandforumlibertes	Réserve modérée : L’UDR veut une forte baisse des prélèvements, supprimer l’IFI et la plupart des droits de succession, réduire les impôts de production et financer ces baisses par des économies massives. Pour UDR, sur Q10 (« L'État devrait garantir un niveau élevé de protection sociale, même si cela implique une fiscalité importante. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.
12	État	L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables.	-2	2	https://www.udr.fr/priorites	Désaccord net : L’UDR veut réduire le périmètre de l’État, supprimer de nombreuses normes, baisser les cotisations et introduire une part obligatoire de capitalisation dans les retraites. Pour UDR, sur Q12 (« L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.
13	État	Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics obligatoires.	3	2	https://www.udr.fr/priorites	Accord très fort : L’UDR veut réduire le périmètre de l’État, supprimer de nombreuses normes, baisser les cotisations et introduire une part obligatoire de capitalisation dans les retraites. Pour UDR, sur Q13 (« Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics… »), cette orientation reprend presque entièrement le choix proposé : +3.
14	Social / société	La société devrait accepter beaucoup plus largement les différents modes de vie, même lorsqu'ils s'éloignent des normes traditionnelles.	-2	1	https://www.udr.fr/priorites	Désaccord net : L’UDR articule son projet autour de la liberté, de la responsabilité, de l’autorité et de l’identité, avec une conception conservatrice de la cohésion nationale. Pour UDR, sur Q14 (« La société devrait accepter beaucoup plus largement les différents modes de vie, même lorsqu'ils s'éloignent des normes traditionnelles. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.
15	Démocratie	Un gouvernement devrait pouvoir faire adopter le budget sans vote de l’Assemblée nationale lorsqu’aucune majorité stable ne se dégage, afin d’éviter un blocage institutionnel.	1	3	https://www.udr.fr/vote_censure	L’UDR a accepté de ne pas censurer un budget imposé par 49.3 pour éviter une crise budgétaire et financière. C’est une tolérance circonstancielle, pas une adhésion forte au mécanisme : +1.
16	Social / société	Réduire les inégalités peut parfois justifier de restreindre certaines libertés individuelles.	-2	1	https://www.udr.fr/priorites	Désaccord net : L’UDR articule son projet autour de la liberté, de la responsabilité, de l’autorité et de l’identité, avec une conception conservatrice de la cohésion nationale. Pour UDR, sur Q16 (« Réduire les inégalités peut parfois justifier de restreindre certaines libertés individuelles. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.
