qid	theme	question	score	confidence	source	justification	fetch_paragraphs	best_score	evidence_1	evidence_2	evidence_3
1	Économie	Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques.	-3	2	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/	Désaccord très fort : LFI veut partager davantage les richesses, faire contribuer plus fortement les hauts revenus et les grandes fortunes, limiter les écarts de rémunération et conditionner les aides publiques aux entreprises. Pour LFI, sur Q1 (« Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques. »), elle contredit presque entièrement le choix proposé : -3.	72	0.1227	Refuser les injonctions de la Commission et du Conseil formulées dans le cadre du Semestre européen, qui promeuvent la privatisation et la mise en concurrence des services publics, les coupes dans les dépenses publiques et l’affaiblissement de nos systèmes de protection sociale, de santé et des droits sociaux des travailleurs (par exemple, l’intensification de la concurrence dans le secteur de l’électricité et du ferroviaire, la baisse des allocations familiales et des aides au logement)	Réviser la directive sur les marchés publics afin d’en interdire l’accès aux entreprises ne respectant pas le droit du travail, favoriser l’approvisionnement local et systématiser les conditionnalités écologiques et sociales	Garantir la transparence fiscale des multinationales en les obligeant à déclarer publiquement leur chiffre d’affaires et les impôts qu’elles paient dans chaque pays où elles disposent d’une activité
2	Économie	Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque.	-1	2	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/	Réserve modérée : LFI veut partager davantage les richesses, faire contribuer plus fortement les hauts revenus et les grandes fortunes, limiter les écarts de rémunération et conditionner les aides publiques aux entreprises. Pour LFI, sur Q2 (« Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	72	0.0959	Fixer à la Banque centrale européenne (BCE) de nouveaux objectifs prioritaires comme la lutte contre les inégalités et le chômage et le financement de la bifurcation écologique	Réviser la directive sur les marchés publics afin d’en interdire l’accès aux entreprises ne respectant pas le droit du travail, favoriser l’approvisionnement local et systématiser les conditionnalités écologiques et sociales	« Détruire la misère ! Oui, cela est possible ! Les législateurs et les gouvernants doivent y songer sans cesse ; car, en pareille matière, tant que le possible n’est pas fait, le devoir n’est pas rempli. »
3	Économie	L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités.	3	3	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/	Accord très fort : LFI veut partager davantage les richesses, faire contribuer plus fortement les hauts revenus et les grandes fortunes, limiter les écarts de rémunération et conditionner les aides publiques aux entreprises. Pour LFI, sur Q3 (« L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités. »), cette orientation reprend presque entièrement le choix proposé : +3.	72	0.1007	Abolir les règles d’austérité anti-services publics Taxer les riches et les superprofits Mettre en place une allocation d’autonomie contre la pauvreté de la jeunesse	Fixer à la Banque centrale européenne (BCE) de nouveaux objectifs prioritaires comme la lutte contre les inégalités et le chômage et le financement de la bifurcation écologique	Instaurer un impôt universel sur les entreprises (basant leur taxation sur l’activité effectivement réalisée dans les pays européens) et sur les revenus des particuliers dans les paradis fiscaux pour lutter contre l’évasion fiscale
5	Économie	Le salaire minimum devrait être augmenté significativement.	3	3	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/	Accord très fort : LFI veut partager davantage les richesses, faire contribuer plus fortement les hauts revenus et les grandes fortunes, limiter les écarts de rémunération et conditionner les aides publiques aux entreprises. Pour LFI, sur Q5 (« Le salaire minimum devrait être augmenté significativement. »), cette orientation reprend presque entièrement le choix proposé : +3.	72	0.3000	Interdire les stages non rémunérés, assurer la rémunération adéquate des stagiaires et des apprentis, refuser l’abaissement du salaire minimum pour les jeunes travailleurs	Rendre obligatoire la transparence salariale au sein des entreprises et fixer un salaire maximum autorisé pour limiter l’écart de 1 à 20 entre le salaire le plus bas et le salaire le plus haut dans une entreprise	Instaurer un taux minimum d’imposition des multinationales effectif et sans aucune exception de 25% et une assiette commune consolidée sur les sociétés
6	Économie	Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels.	-3	2	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-3-sortir-du-libre-echange-et-relocaliser/	Désaccord très fort : LFI veut soustraire plusieurs biens essentiels à la logique de marché, développer des filières et pôles publics et encadrer fortement les entreprises par des objectifs sociaux et écologiques. Pour LFI, sur Q6 (« Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels. »), elle contredit presque entièrement le choix proposé : -3.	53	0.2381	Développer des filières publiques, à l’échelle de la France ou de l’Union européenne, pour la production de l’ensemble des biens et services nécessaires à la planification écologique et qui remplissent des besoins essentiels (médicaments, produits alimentaires, biens de consommation courants) pour retrouver notre souveraineté	Réformer le cadre des aides d’État pour subventionner directement des secteurs stratégiques clefs, notamment dans le cadre de la planification écologique	Étendre le devoir de vigilance des entreprises adopté au niveau européen à l’ensemble des grandes entreprises, y compris dans le secteur financier, durcir les sanctions administratives pour les entreprises qui violent les droits humains ou détruisent l’environnement dans leur chaîne de production, et faciliter l’accès à la justice pour les victimes en donnant la possibilité aux ONG ou aux associations de les représenter
7	Économie	L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays.	3	3	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-3-sortir-du-libre-echange-et-relocaliser/	Accord très fort : LFI veut soustraire plusieurs biens essentiels à la logique de marché, développer des filières et pôles publics et encadrer fortement les entreprises par des objectifs sociaux et écologiques. Pour LFI, sur Q7 (« L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays. »), cette orientation reprend presque entièrement le choix proposé : +3.	53	0.1000	« L’activité économique n’a de sens qu’au service d’autre chose qu’elle-même. »	Garantir un contrôle citoyen sur ce service public par la mise en place d’un organisme de contrôle indépendant, une obligation de transparence et la publication d’indicateurs définis démocratiquement dans le cadre d’un contrat de service public	Renforcer les sanctions et la responsabilité civile et pénale du chef d’entreprise et des administrateurs d’entreprises en cas d’infractions sociales ou environnementales dans l’ensemble de leur chaîne de sous-traitance et d’approvisionnement, y compris hors UE
8	Économie	La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation.	-3	2	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-3-sortir-du-libre-echange-et-relocaliser/	Désaccord très fort : LFI veut soustraire plusieurs biens essentiels à la logique de marché, développer des filières et pôles publics et encadrer fortement les entreprises par des objectifs sociaux et écologiques. Pour LFI, sur Q8 (« La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation. »), elle contredit presque entièrement le choix proposé : -3.	53	0.1579	Garantir que le prix payé par le consommateur final reflète uniquement les coûts de production plutôt que la spéculation pour que la facture des usagers n’alimente plus les dividendes des actionnaires et que les marges soient uniquement réinvesties dans la qualité du réseau et le développement des énergies renouvelables	Faire primer, via une clause de proximité, les critères sociaux et écologiques et de proximité sur le critère de prix dans les appels d’offres publics	Mettre un terme à la concurrence libre et non-faussée qui empêche la constitution de pôles publics (énergie, transports, etc.) et la sortie des biens communs du marché
9	État	La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire.	-3	3	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/	Désaccord très fort : LFI veut partager davantage les richesses, faire contribuer plus fortement les hauts revenus et les grandes fortunes, limiter les écarts de rémunération et conditionner les aides publiques aux entreprises. Pour LFI, sur Q9 (« La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire. »), elle contredit presque entièrement le choix proposé : -3.	72	0.1287	Garantir un euro numérique 100% public, qui ne soit ni développé ni commercialisé par des plateformes privées, qui respecte la vie privée des usagers et ne remplace pas l’argent liquide	Obliger la BCE à financer les politiques sociales et écologiques des États, en l’autorisant à acheter directement la dette des États sans passer par les banques privées, et en mettant en place une autorisation de découvert des États auprès d’elle (qui ainsi ne devront plus se financer sur les marchés financiers)	Refuser le retour de l’austérité budgétaire et annuler la dette
10	État	L'État devrait garantir un niveau élevé de protection sociale, même si cela implique une fiscalité importante.	3	3	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/	Accord très fort : LFI veut partager davantage les richesses, faire contribuer plus fortement les hauts revenus et les grandes fortunes, limiter les écarts de rémunération et conditionner les aides publiques aux entreprises. Pour LFI, sur Q10 (« L'État devrait garantir un niveau élevé de protection sociale, même si cela implique une fiscalité importante. »), cette orientation reprend presque entièrement le choix proposé : +3.	72	0.1876	Imposer une conditionnalité sociale et écologique à toutes les entreprises bénéficiant d’aides publiques, et favoriser l’Économie sociale et solidaire (ESS) dans l’attribution des aides d’État	Refuser les injonctions de la Commission et du Conseil formulées dans le cadre du Semestre européen, qui promeuvent la privatisation et la mise en concurrence des services publics, les coupes dans les dépenses publiques et l’affaiblissement de nos systèmes de protection sociale, de santé et des droits sociaux des travailleurs (par exemple, l’intensification de la concurrence dans le secteur de l’électricité et du ferroviaire, la baisse des allocations familiales et des aides au logement)	Renforcer la fiscalité écologique avec une taxe sur le dumping écologique et social aux frontières de l’espace économique européen et une taxe kérosène
12	État	L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables.	3	3	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-3-sortir-du-libre-echange-et-relocaliser/	Accord très fort : LFI veut soustraire plusieurs biens essentiels à la logique de marché, développer des filières et pôles publics et encadrer fortement les entreprises par des objectifs sociaux et écologiques. Pour LFI, sur Q12 (« L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables. »), cette orientation reprend presque entièrement le choix proposé : +3.	53	0.0953	Mettre un terme aux accords de libre-échange pour relocaliser l’économie et encadrer strictement le commerce international	Remettre en place un service public national de l’électricité hors du marché tout en maintenant les interconnexions au niveau européen afin de garantir la solidarité entre États membres et ainsi assurer la sécurité d’approvisionnement sans passer par le marché	Réformer le cadre des aides d’État pour subventionner directement des secteurs stratégiques clefs, notamment dans le cadre de la planification écologique
