qid	theme	question	score	confidence	source	justification
1	Économie	Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques.	1	2	https://www.gov.pl/web/primeminister/poland-a-year-of-breakthrough---the-prime-minister-unveils-polands-2025-economic-plan	Accord modéré : codage fondé sur les documents officiels retenus pour le thème « Économie ». Niveau de preuve : orientation cohérente étayée par plusieurs éléments.
2	Économie	Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque.	1	1	https://www.gov.pl/web/primeminister/poland-a-year-of-breakthrough---the-prime-minister-unveils-polands-2025-economic-plan	Accord modéré : codage fondé sur les documents officiels retenus pour le thème « Économie ». Niveau de preuve : analogie prudente, sans proposition parfaitement équivalente.
3	Économie	L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités.	0	1	https://www.gov.pl/web/primeminister/poland-a-year-of-breakthrough---the-prime-minister-unveils-polands-2025-economic-plan	Position neutre, partagée ou non arrêtée : codage fondé sur les documents officiels retenus pour le thème « Économie ». Niveau de preuve : analogie prudente, sans proposition parfaitement équivalente.
6	Économie	Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels.	1	1	https://www.gov.pl/web/primeminister/poland-a-year-of-breakthrough---the-prime-minister-unveils-polands-2025-economic-plan	Accord modéré : codage fondé sur les documents officiels retenus pour le thème « Économie ». Niveau de preuve : analogie prudente, sans proposition parfaitement équivalente.
7	Économie	L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays.	1	1	https://www.gov.pl/web/primeminister/poland-a-year-of-breakthrough---the-prime-minister-unveils-polands-2025-economic-plan	Accord modéré : codage fondé sur les documents officiels retenus pour le thème « Économie ». Niveau de preuve : analogie prudente, sans proposition parfaitement équivalente.
8	Économie	La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation.	2	1	https://www.gov.pl/web/primeminister/poland-a-year-of-breakthrough---the-prime-minister-unveils-polands-2025-economic-plan	Accord net : codage fondé sur les documents officiels retenus pour le thème « Économie ». Niveau de preuve : analogie prudente, sans proposition parfaitement équivalente.
9	État	La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire.	0	2	https://www.gov.pl/web/primeminister/poland-a-year-of-breakthrough---the-prime-minister-unveils-polands-2025-economic-plan	Position neutre, partagée ou non arrêtée : codage fondé sur les documents officiels retenus pour le thème « État ». Niveau de preuve : orientation cohérente étayée par plusieurs éléments.
10	État	L'État devrait garantir un niveau élevé de protection sociale, même si cela implique une fiscalité importante.	2	3	https://www.gov.pl/web/primeminister/poland-a-year-of-breakthrough---the-prime-minister-unveils-polands-2025-economic-plan	Accord net : codage fondé sur les documents officiels retenus pour le thème « État ». Niveau de preuve : position ou mesure explicitement documentée.
12	État	L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables.	1	1	https://www.gov.pl/web/primeminister/poland-a-year-of-breakthrough---the-prime-minister-unveils-polands-2025-economic-plan	Accord modéré : codage fondé sur les documents officiels retenus pour le thème « État ». Niveau de preuve : analogie prudente, sans proposition parfaitement équivalente.
13	État	Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics obligatoires.	0	1	https://www.gov.pl/web/primeminister/poland-a-year-of-breakthrough---the-prime-minister-unveils-polands-2025-economic-plan	Position neutre, partagée ou non arrêtée : codage fondé sur les documents officiels retenus pour le thème « État ». Niveau de preuve : analogie prudente, sans proposition parfaitement équivalente.
