qid	theme	question	score	confidence	source	justification	fetch_paragraphs	best_score	evidence_1	evidence_2	evidence_3
1	Économie	Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques.	3	3	https://www.udr.fr/grandforumlibertes	Accord très fort : L’UDR veut une forte baisse des prélèvements, supprimer l’IFI et la plupart des droits de succession, réduire les impôts de production et financer ces baisses par des économies massives. Pour UDR, sur Q1 (« Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques. »), cette orientation reprend presque entièrement le choix proposé : +3.	0	0			
2	Économie	Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque.	3	2	https://www.udr.fr/grandforumlibertes	Accord très fort : L’UDR veut une forte baisse des prélèvements, supprimer l’IFI et la plupart des droits de succession, réduire les impôts de production et financer ces baisses par des économies massives. Pour UDR, sur Q2 (« Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque. »), cette orientation reprend presque entièrement le choix proposé : +3.	0	0			
3	Économie	L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités.	-3	3	https://www.udr.fr/grandforumlibertes	Désaccord très fort : L’UDR veut une forte baisse des prélèvements, supprimer l’IFI et la plupart des droits de succession, réduire les impôts de production et financer ces baisses par des économies massives. Pour UDR, sur Q3 (« L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités. »), elle contredit presque entièrement le choix proposé : -3.	0	0			
4	Économie	Les entreprises devraient être obligées de limiter l’écart entre la rémunération de leurs dirigeants et celle de leurs salariés les moins bien payés.	-3	3	https://www.assemblee-nationale.fr/dyn/docs/RAPPANR5L17B0618.raw	Désaccord fort : l’UDR s’est explicitement opposée au plafonnement de 1 à 20, présenté comme contraire à la liberté d’entreprendre et comme une intervention excessive dans la fixation des rémunérations.	238	0.3048	En France, à la fin des années 1970, le rapport moyen entre le salaire ouvrier et la rémunération des dirigeants des grandes entreprises (hors stock-options et attributions gratuites d’actions) était de l’ordre de 1 à 40 ( [1] ) . Cet écart se creuse depuis d’année en année. D’après l’association Oxfam, entre 2011 et 2021, l’écart de rémunération entre le salaire moyen des dirigeants des cent plus grandes entreprises cotées en Bourse et le salaire médian de leurs salariés est ainsi passé de 64 à 97 et de 96 à 163 pour les seules entreprises du CAC 40 . Sur la période analysée, la rémunération des dirigeants a augmenté de 66 % tandis que celle des salariés de ces mêmes entreprises, de 21 % ( [2] ) .	L’article 1 er plafonne la rémunération maximale dans une entreprise à vingt fois le montant du salaire le plus faible versé dans cette même entreprise. Cet écart est cohérent avec ce qui se pratique dans le secteur public depuis 2012. Je tiens à souligner que la très grande majorité des entreprises le respectent déjà, si bien que les seules concernées par notre proposition de loi sont les moins vertueuses. Si la rémunération la plus basse d’une entreprise se situe au niveau du Smic, son PDG pourra percevoir 340 000 euros net par an, soit 28 500 euros par mois ! Or, d’après l’Institut national de la statistique et des études économiques (Insee), la rémunération moyenne des dirigeants d’entreprise s’élève à 5 000 euros net par mois, soit quatre fois le Smic, très loin des montants stratosphériques qui justifient cette proposition de loi. Notre proposition procède enfin d’un cercle vertueux car elle fixe non pas un plafond mais un écart. Si les dirigeants les mieux payés veulent continuer de l’être, ils le pourront à condition d’augmenter à due proportion les salaires les plus bas.	Mme Béatrice Bellay (SOC). Nous remercions nos camarades du groupe LFI-NFP d’avoir déposé cette proposition de loi, qui reprend celle de notre collègue Dominique Potier, discutée en 2021 et visant à répondre au problème moral, social et même sociétal que posent les écarts de salaire. De 2011 à 2021, la rémunération des dirigeants des cent plus grandes entreprises françaises a crû en moyenne de 66 %, tandis que celle des salariés n’augmentait que de 21 %. On fait croire que les PDG sont plus méritants que les salariés, et que les résultats des entreprises ne reposent que sur leur génie exceptionnel, au point de justifier qu’ils perçoivent des rémunérations des milliers de fois supérieures. Ce modèle nous mène vers une rupture au sein de notre société ; il nourrit le mécontentement de nos concitoyens, qui ne le comprennent pas. Les arguments que l’on nous oppose ne sont pas admissibles.
5	Économie	Le salaire minimum devrait être augmenté significativement.	-2	2	https://www.udr.fr/grandforumlibertes	Désaccord net : L’UDR veut une forte baisse des prélèvements, supprimer l’IFI et la plupart des droits de succession, réduire les impôts de production et financer ces baisses par des économies massives. Pour UDR, sur Q5 (« Le salaire minimum devrait être augmenté significativement. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.	0	0			
6	Économie	Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels.	2	2	https://www.udr.fr/priorites	Accord net : L’UDR veut réduire le périmètre de l’État, supprimer de nombreuses normes, baisser les cotisations et introduire une part obligatoire de capitalisation dans les retraites. Pour UDR, sur Q6 (« Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	0	0			
7	Économie	L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays.	-2	2	https://www.udr.fr/priorites	Désaccord net : L’UDR veut réduire le périmètre de l’État, supprimer de nombreuses normes, baisser les cotisations et introduire une part obligatoire de capitalisation dans les retraites. Pour UDR, sur Q7 (« L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.	0	0			
8	Économie	La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation.	3	2	https://www.udr.fr/priorites	Accord très fort : L’UDR veut réduire le périmètre de l’État, supprimer de nombreuses normes, baisser les cotisations et introduire une part obligatoire de capitalisation dans les retraites. Pour UDR, sur Q8 (« La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation. »), cette orientation reprend presque entièrement le choix proposé : +3.	0	0			
9	État	La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire.	3	3	https://www.udr.fr/grandforumlibertes	Accord très fort : L’UDR veut une forte baisse des prélèvements, supprimer l’IFI et la plupart des droits de succession, réduire les impôts de production et financer ces baisses par des économies massives. Pour UDR, sur Q9 (« La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire. »), cette orientation reprend presque entièrement le choix proposé : +3.	0	0			
10	État	L'État devrait garantir un niveau élevé de protection sociale, même si cela implique une fiscalité importante.	-1	2	https://www.udr.fr/grandforumlibertes	Réserve modérée : L’UDR veut une forte baisse des prélèvements, supprimer l’IFI et la plupart des droits de succession, réduire les impôts de production et financer ces baisses par des économies massives. Pour UDR, sur Q10 (« L'État devrait garantir un niveau élevé de protection sociale, même si cela implique une fiscalité importante. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	0	0			
