qid	theme	question	score	confidence	current_source	current_justification	old_source	old_justification
1	Économie	Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques.	1	2	https://rassemblementnational.fr/22-mesures	Accord modéré : Le RN veut baisser plusieurs impôts et taxes pour les ménages et entreprises, supprimer l’IFI au profit d’un impôt sur la fortune financière et réduire les droits de succession pour les familles modestes et moyennes. Pour RN, sur Q1 (« Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques. »), elle incline dans ce sens sans adopter toute la proposition : +1.	https://rassemblementnational.fr/documents/202406-programme.pdf	Accord modéré : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
2	Économie	Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque.	1	1	https://rassemblementnational.fr/22-mesures	Accord modéré : Le RN veut baisser plusieurs impôts et taxes pour les ménages et entreprises, supprimer l’IFI au profit d’un impôt sur la fortune financière et réduire les droits de succession pour les familles modestes et moyennes. Pour RN, sur Q2 (« Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque. »), elle incline dans ce sens sans adopter toute la proposition : +1.	https://rassemblementnational.fr/documents/202406-programme.pdf	Accord modéré : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.
3	Économie	L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités.	-1	2	https://rassemblementnational.fr/22-mesures	Réserve modérée : Le RN veut baisser plusieurs impôts et taxes pour les ménages et entreprises, supprimer l’IFI au profit d’un impôt sur la fortune financière et réduire les droits de succession pour les familles modestes et moyennes. Pour RN, sur Q3 (« L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	https://rassemblementnational.fr/documents/202406-programme.pdf	Réserve : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
6	Économie	Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels.	0	1	https://rassemblementnational.fr/22-mesures	Position intermédiaire : Le RN combine baisse d’impôts et soutien aux entreprises avec intervention publique, patriotisme économique, renationalisation des autoroutes et fonds souverain ; sa ligne n’est donc ni libérale pure ni étatiste pure. Pour RN, sur Q6 (« Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels. »), elle ne tranche pas clairement l’arbitrage précis posé : 0.	https://rassemblementnational.fr/documents/202406-programme.pdf	Position équilibrée ou non tranchée : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.
7	Économie	L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays.	2	2	https://rassemblementnational.fr/22-mesures	Accord net : Le RN combine baisse d’impôts et soutien aux entreprises avec intervention publique, patriotisme économique, renationalisation des autoroutes et fonds souverain ; sa ligne n’est donc ni libérale pure ni étatiste pure. Pour RN, sur Q7 (« L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	https://rassemblementnational.fr/documents/202406-programme.pdf	Accord net : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
8	Économie	La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation.	0	1	https://rassemblementnational.fr/22-mesures	Position intermédiaire : Le RN combine baisse d’impôts et soutien aux entreprises avec intervention publique, patriotisme économique, renationalisation des autoroutes et fonds souverain ; sa ligne n’est donc ni libérale pure ni étatiste pure. Pour RN, sur Q8 (« La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation. »), elle ne tranche pas clairement l’arbitrage précis posé : 0.	https://rassemblementnational.fr/documents/202406-programme.pdf	Position équilibrée ou non tranchée : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.
12	État	L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables.	2	2	https://rassemblementnational.fr/22-mesures	Accord net : Le RN combine baisse d’impôts et soutien aux entreprises avec intervention publique, patriotisme économique, renationalisation des autoroutes et fonds souverain ; sa ligne n’est donc ni libérale pure ni étatiste pure. Pour RN, sur Q12 (« L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	https://rassemblementnational.fr/documents/202406-programme.pdf	Accord net : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
13	État	Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics obligatoires.	0	1	https://rassemblementnational.fr/22-mesures	Position intermédiaire : Le RN combine baisse d’impôts et soutien aux entreprises avec intervention publique, patriotisme économique, renationalisation des autoroutes et fonds souverain ; sa ligne n’est donc ni libérale pure ni étatiste pure. Pour RN, sur Q13 (« Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics… »), elle ne tranche pas clairement l’arbitrage précis posé : 0.	https://rassemblementnational.fr/documents/202406-programme.pdf	Position équilibrée ou non tranchée : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.
14	Social / société	La société devrait accepter beaucoup plus largement les différents modes de vie, même lorsqu'ils s'éloignent des normes traditionnelles.	-2	3	https://rassemblementnational.fr/22-mesures	Désaccord net : Le RN met l’accent sur l’identité, l’assimilation, l’autorité et la transmission, tout en revendiquant les libertés publiques et en contestant les dispositifs qu’il estime restreindre excessivement la liberté d’expression. Pour RN, sur Q14 (« La société devrait accepter beaucoup plus largement les différents modes de vie, même lorsqu'ils s'éloignent des normes traditionnelles. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.	https://rassemblementnational.fr/livrets-thematiques	Réserve : codage cohérent avec la ligne programmatique générale du parti sur social / société.
15	Démocratie	Un gouvernement devrait pouvoir faire adopter le budget sans vote de l’Assemblée nationale lorsqu’aucune majorité stable ne se dégage, afin d’éviter un blocage institutionnel.	0	2	https://www.assemblee-nationale.fr/dyn/actualites-accueil-hub/adoption-du-plf2026-en-lecture-definitive-apres-l-engagement-de-la-responsabilite-du-gouvernement-sur-le-projet-de-loi-et-le-rejet-de-2-motions-d	Position intermédiaire : -1. Pour RN, sur Q15 (« Un gouvernement devrait pouvoir faire adopter le budget sans vote de l’Assemblée nationale lorsqu’aucune majorité stable ne se dégage, afin d’éviter un… »), elle ne tranche pas clairement l’arbitrage précis posé : 0.	https://www.assemblee-nationale.fr/dyn/actualites-accueil-hub/adoption-du-plf2026-en-lecture-definitive-apres-l-engagement-de-la-responsabilite-du-gouvernement-sur-le-projet-de-loi-et-le-rejet-de-2-motions-d	Le RN a combattu des budgets adoptés par 49.3 et soutenu des motions de censure. Une partie du rejet porte toutefois sur le contenu du budget plutôt que sur une doctrine d’abolition du mécanisme : -1.
