qid	theme	question	LFI_score	LFI_conf	PCF_score	PCF_conf	Les Écologistes_score	Les Écologistes_conf	PS_score	PS_conf	Renaissance_score	Renaissance_conf	MoDem_score	MoDem_conf	Horizons_score	Horizons_conf	LFH_score	LFH_conf	LR_score	LR_conf	Nouvelle Énergie_score	Nouvelle Énergie_conf	UDR_score	UDR_conf	RN_score	RN_conf	Reconquête_score	Reconquête_conf	Allemagne_score	Allemagne_conf	Espagne_score	Espagne_conf	Suisse_score	Suisse_conf	Finlande_score	Finlande_conf	Royaume-Uni_score	Royaume-Uni_conf	Danemark_score	Danemark_conf	Pays-Bas_score	Pays-Bas_conf	Pologne_score	Pologne_conf
1	Économie	Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques.	-3	2	-3	2	-3	2	-2	2	2	2	1	2	3	2	0	2	3	2	3	3	3	3	1	2	3	2	2	3	-1	2	2	3	3	3	0	2	1	3	2	3	1	2
2	Économie	Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque.	-1	2	-2	2	-1	2	0	2	2	2	0	1	2	2	1	3	2	2	2	2	3	2	1	1	2	1	1	2	-1	2	1	2	2	2	-1	2	0	2	1	1	1	1
3	Économie	L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités.	3	3	3	3	3	2	2	3	-1	2	0	2	-2	2	1	3	-3	2	-3	2	-3	3	-1	2	-3	2	-1	2	2	3	-1	2	-2	2	1	2	0	2	-1	1	0	1
4	Économie	Les entreprises devraient être obligées de limiter l’écart entre la rémunération de leurs dirigeants et celle de leurs salariés les moins bien payés.	3	3	3	3	3	3	3	3	-3	3	-1	3	-3	3	0	2	-3	3	-2	2	-3	3	-2	3	-3	2	0	3	1	3	-2	3	-1	3	-1	2	0	2	0	3	0	2
5	Économie	Le salaire minimum devrait être augmenté significativement.	3	3	3	3	3	2	2	3	-1	2	0	2	-2	2	-2	3	-2	2	-2	2	-2	2	0	2	-2	2	1	3	3	3	-2	2	-2	2	2	3	-2	1	1	1	1	3
6	Économie	Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels.	-3	2	-3	2	-2	2	-1	2	2	2	1	1	2	2	0	2	2	2	2	2	2	2	0	1	2	1	1	2	-1	2	2	2	2	3	0	2	1	2	2	1	1	1
7	Économie	L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays.	3	3	3	3	2	2	3	2	-1	2	-1	2	-1	2	1	2	-1	2	-2	2	-2	2	2	2	-2	2	1	3	1	2	-2	2	2	3	2	3	-1	1	1	1	1	1
8	Économie	La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation.	-3	2	-3	2	-2	2	-1	2	2	2	1	2	2	2	1	2	2	2	3	3	3	2	0	1	2	1	2	2	-1	2	2	3	2	2	0	2	1	2	2	1	2	1
9	État	La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire.	-3	3	-3	3	-2	2	-1	2	2	2	2	2	3	2	1	3	3	2	3	3	3	3	1	2	3	2	2	3	-1	2	2	3	3	3	0	2	-1	3	2	3	0	2
10	État	L'État devrait garantir un niveau élevé de protection sociale, même si cela implique une fiscalité importante.	3	3	3	3	3	2	3	3	0	2	1	2	0	2	2	3	-1	2	-1	2	-1	2	1	2	-2	2	1	3	3	3	1	3	1	3	2	3	3	3	1	1	2	3
