count	justification	examples
91	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.	LFI|Q32|3|https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf || LFI|Q42|3|https://lafranceinsoumise.fr/wp-content/uploads/2024/05/PROGRAMME-UNION-POPULAIRE_EURO-2024.pdf || LFI|Q44|2|https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/ || LFI|Q45|2|https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/ || LFI|Q59|3|https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf || LFI|Q68|3|https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf || LFI|Q77|3|https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/ || LFI|Q79|3|https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf || PCF|Q32|2|https://www.pcf.fr/europe_le_programme_un_argumentaire_utile_aux_militants_et_un_outil_de_campagne_efficace || PCF|Q42|3|https://www.pcf.fr/europe_le_programme_un_argumentaire_utile_aux_militants_et_un_outil_de_campagne_efficace || PCF|Q44|3|https://www.pcf.fr/feuille_de_route_confnat_pcf || PCF|Q45|2|https://www.pcf.fr/feuille_de_route_confnat_pcf
59	Accord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.	LFI|Q21|3|https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf || LFI|Q64|2|https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf || PCF|Q64|2|https://www.pcf.fr/immigration_est_un_enjeu_de_classe || PCF|Q93|2|https://www.pcf.fr/feuille_de_route_confnat_pcf || Les Écologistes|Q21|2|https://lesecologistes.fr/pages/358vv7W974UgosGhCBbIPT/notre-projet || Les Écologistes|Q64|2|https://lesecologistes.fr/pages/358vv7W974UgosGhCBbIPT/notre-projet || Les Écologistes|Q71|2|https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf || PS|Q21|2|https://www.parti-socialiste.fr/pour_une_politique_migratoire_internationale_et_europeenne || PS|Q28|2|https://www.parti-socialiste.fr/pour_une_politique_migratoire_internationale_et_europeenne || PS|Q37|2|https://parti-socialiste.fr/vie-parlementaire/notre-declaration-politique-17eme-legislature/ || PS|Q54|2|https://parti-socialiste.fr/vie-parlementaire/notre-declaration-politique-17eme-legislature/ || PS|Q61|2|https://www.parti-socialiste.fr/pour_une_politique_migratoire_internationale_et_europeenne
46	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.	LFI|Q3|3|https://lafranceinsoumise.fr/ || LFI|Q5|3|https://lafranceinsoumise.fr/ || LFI|Q7|3|https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/ || LFI|Q10|3|https://lafranceinsoumise.fr/ || LFI|Q12|3|https://lafranceinsoumise.fr/ || LFI|Q26|3|https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf || LFI|Q53|3|https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/ || PCF|Q3|3|https://www.pcf.fr/contrat_de_legislature_projet_propos_par_le_pcf || PCF|Q5|3|https://www.pcf.fr/contrat_de_legislature_projet_propos_par_le_pcf || PCF|Q7|3|https://www.pcf.fr/contrat_de_legislature_projet_propos_par_le_pcf || PCF|Q10|3|https://www.pcf.fr/contrat_de_legislature_projet_propos_par_le_pcf || PCF|Q12|3|https://www.pcf.fr/contrat_de_legislature_projet_propos_par_le_pcf
38	Accord net : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.	LFI|Q39|2|https://lafranceinsoumise.fr/wp-content/uploads/2024/05/PROGRAMME-UNION-POPULAIRE_EURO-2024.pdf || LFI|Q74|2|https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/ || PCF|Q39|2|https://www.pcf.fr/europe_le_programme_un_argumentaire_utile_aux_militants_et_un_outil_de_campagne_efficace || PCF|Q68|2|https://www.pcf.fr/europe_le_programme_un_argumentaire_utile_aux_militants_et_un_outil_de_campagne_efficace || Les Écologistes|Q7|2|https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf || Les Écologistes|Q74|2|https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf || PS|Q12|2|https://parti-socialiste.fr/vie-parlementaire/notre-declaration-politique-17eme-legislature/ || PS|Q74|2|https://parti-socialiste.fr/vie-parlementaire/notre-declaration-politique-17eme-legislature/ || Renaissance|Q1|2|https://parti-renaissance.fr/ || Renaissance|Q9|2|https://parti-renaissance.fr/ || Renaissance|Q29|2|https://parti-renaissance.fr/ || Renaissance|Q32|2|https://parti-renaissance.fr/
35	Désaccord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.	LFI|Q1|-3|https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/ || LFI|Q25|-3|https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf || LFI|Q29|-3|https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf || LFI|Q46|-2|https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/ || LFI|Q49|-3|https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/ || LFI|Q51|-3|https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/ || LFI|Q55|-3|https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/ || LFI|Q57|-3|https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf || LFI|Q60|-3|https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf || LFI|Q69|-3|https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf || PCF|Q1|-3|https://www.pcf.fr/feuille_de_route_confnat_pcf || PCF|Q46|-3|https://www.pcf.fr/feuille_de_route_confnat_pcf
35	Désaccord net : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.	LFI|Q27|-2|https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf || PCF|Q23|-2|https://www.pcf.fr/immigration_est_un_enjeu_de_classe || PCF|Q25|-2|https://www.pcf.fr/immigration_est_un_enjeu_de_classe || PCF|Q29|-2|https://www.pcf.fr/immigration_est_un_enjeu_de_classe || PCF|Q51|-2|https://www.pcf.fr/feuille_de_route_confnat_pcf || Les Écologistes|Q9|-2|https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf || Les Écologistes|Q27|-2|https://lesecologistes.fr/pages/358vv7W974UgosGhCBbIPT/notre-projet || Les Écologistes|Q42|-2|https://lesecologistes.fr/pages/358vv7W974UgosGhCBbIPT/notre-projet || PS|Q1|-2|https://parti-socialiste.fr/vie-parlementaire/notre-declaration-politique-17eme-legislature/ || PS|Q20|-2|https://www.parti-socialiste.fr/pour_une_politique_migratoire_internationale_et_europeenne || PS|Q23|-2|https://www.parti-socialiste.fr/pour_une_politique_migratoire_internationale_et_europeenne || PS|Q24|-2|https://www.parti-socialiste.fr/pour_une_politique_migratoire_internationale_et_europeenne
26	Désaccord net : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.	LFI|Q48|-2|https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/ || LFI|Q72|-2|https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/ || LFI|Q75|-2|https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/ || PCF|Q58|-2|https://www.pcf.fr/immigration_est_un_enjeu_de_classe || Les Écologistes|Q48|-2|https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf || Les Écologistes|Q75|-2|https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf || PS|Q50|-2|https://parti-socialiste.fr/vie-parlementaire/notre-declaration-politique-17eme-legislature/ || PS|Q75|-2|https://parti-socialiste.fr/vie-parlementaire/notre-declaration-politique-17eme-legislature/ || Renaissance|Q75|-2|https://parti-renaissance.fr/ || MoDem|Q16|-2|https://www.mouvementdemocrate.fr/ || MoDem|Q75|-2|https://www.mouvementdemocrate.fr/actualites/marc-fesneau-un-chemin-vers-un-cap-collectif-et-vers-jose-le-mot-une-esperance-video || Horizons|Q16|-2|https://horizonsleparti.fr/le-manifeste/
23	Réserve : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.	LFI|Q38|-1|https://lafranceinsoumise.fr/wp-content/uploads/2024/05/PROGRAMME-UNION-POPULAIRE_EURO-2024.pdf || LFI|Q63|-1|https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf || PCF|Q27|-1|https://www.pcf.fr/immigration_est_un_enjeu_de_classe || PCF|Q78|-1|https://www.pcf.fr/immigration_est_un_enjeu_de_classe || Les Écologistes|Q63|-1|https://lesecologistes.fr/pages/358vv7W974UgosGhCBbIPT/notre-projet || Les Écologistes|Q78|-1|https://lesecologistes.fr/pages/358vv7W974UgosGhCBbIPT/notre-projet || PS|Q9|-1|https://parti-socialiste.fr/vie-parlementaire/notre-declaration-politique-17eme-legislature/ || PS|Q27|-1|https://www.parti-socialiste.fr/pour_une_politique_migratoire_internationale_et_europeenne || PS|Q29|-1|https://www.parti-socialiste.fr/pour_une_politique_migratoire_internationale_et_europeenne || Renaissance|Q3|-1|https://parti-renaissance.fr/ || Renaissance|Q5|-1|https://parti-renaissance.fr/ || Renaissance|Q7|-1|https://parti-renaissance.fr/
19	Position équilibrée ou non tranchée : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.	LFI|Q40|0|https://lafranceinsoumise.fr/wp-content/uploads/2024/05/PROGRAMME-UNION-POPULAIRE_EURO-2024.pdf || LFI|Q41|0|https://lafranceinsoumise.fr/wp-content/uploads/2024/05/PROGRAMME-UNION-POPULAIRE_EURO-2024.pdf || LFI|Q78|0|https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf || PCF|Q40|0|https://www.pcf.fr/europe_le_programme_un_argumentaire_utile_aux_militants_et_un_outil_de_campagne_efficace || PCF|Q41|0|https://www.pcf.fr/europe_le_programme_un_argumentaire_utile_aux_militants_et_un_outil_de_campagne_efficace || PS|Q63|0|https://www.parti-socialiste.fr/pour_une_politique_migratoire_internationale_et_europeenne || PS|Q69|0|https://parti-socialiste.fr/vie-parlementaire/notre-declaration-politique-17eme-legislature/ || Renaissance|Q12|0|https://parti-renaissance.fr/ || Renaissance|Q26|0|https://parti-renaissance.fr/ || Renaissance|Q45|0|https://parti-renaissance.fr/ || Renaissance|Q74|0|https://parti-renaissance.fr/ || MoDem|Q20|0|https://www.mouvementdemocrate.fr/
19	Accord modéré : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.	PS|Q58|1|https://www.parti-socialiste.fr/pour_une_politique_migratoire_internationale_et_europeenne || Renaissance|Q54|1|https://parti-renaissance.fr/ || Renaissance|Q64|1|https://parti-renaissance.fr/ || MoDem|Q6|1|https://www.mouvementdemocrate.fr/actualites/marc-fesneau-un-chemin-vers-un-cap-collectif-et-vers-jose-le-mot-une-esperance-video || MoDem|Q13|1|https://www.mouvementdemocrate.fr/actualites/marc-fesneau-un-chemin-vers-un-cap-collectif-et-vers-jose-le-mot-une-esperance-video || MoDem|Q48|1|https://www.mouvementdemocrate.fr/actualites/marc-fesneau-un-chemin-vers-un-cap-collectif-et-vers-jose-le-mot-une-esperance-video || MoDem|Q54|1|https://www.mouvementdemocrate.fr/actualites/marc-fesneau-un-chemin-vers-un-cap-collectif-et-vers-jose-le-mot-une-esperance-video || MoDem|Q71|1|https://www.mouvementdemocrate.fr/vers-une-transition-ecologique-solidaire-7925 || MoDem|Q72|1|https://www.mouvementdemocrate.fr/actualites/marc-fesneau-un-chemin-vers-un-cap-collectif-et-vers-jose-le-mot-une-esperance-video || MoDem|Q73|1|https://www.mouvementdemocrate.fr/actualites/marc-fesneau-un-chemin-vers-un-cap-collectif-et-vers-jose-le-mot-une-esperance-video || Horizons|Q37|1|https://horizonsleparti.fr/le-manifeste/ || Horizons|Q54|1|https://horizonsleparti.fr/le-manifeste/
