qid	theme	score	confidence	current_source	current_justification	old_source	old_justification
1	Économie	-3	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Désaccord très fort : Les Écologistes veulent une fiscalité plus progressive, des rémunérations plus égalitaires et une économie dans laquelle les besoins essentiels et la justice sociale priment sur l’accumulation et la seule croissance du PIB. Pour Les Écologistes, sur Q1 (« Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques. »), elle contredit presque entièrement le choix proposé : -3.	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Désaccord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
2	Économie	-1	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Réserve modérée : Les Écologistes veulent une fiscalité plus progressive, des rémunérations plus égalitaires et une économie dans laquelle les besoins essentiels et la justice sociale priment sur l’accumulation et la seule croissance du PIB. Pour Les Écologistes, sur Q2 (« Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Réserve : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
3	Économie	3	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Accord très fort : Les Écologistes veulent une fiscalité plus progressive, des rémunérations plus égalitaires et une économie dans laquelle les besoins essentiels et la justice sociale priment sur l’accumulation et la seule croissance du PIB. Pour Les Écologistes, sur Q3 (« L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités. »), cette orientation reprend presque entièrement le choix proposé : +3.	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
5	Économie	3	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Accord très fort : Les Écologistes veulent une fiscalité plus progressive, des rémunérations plus égalitaires et une économie dans laquelle les besoins essentiels et la justice sociale priment sur l’accumulation et la seule croissance du PIB. Pour Les Écologistes, sur Q5 (« Le salaire minimum devrait être augmenté significativement. »), cette orientation reprend presque entièrement le choix proposé : +3.	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
6	Économie	-2	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Désaccord net : Les Écologistes défendent une économie mixte avec des services publics essentiels, des communs renforcés et des marchés encadrés par des seuils, calendriers et incitations décidés démocratiquement. Pour Les Écologistes, sur Q6 (« Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Désaccord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
7	Économie	2	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Accord net : Les Écologistes défendent une économie mixte avec des services publics essentiels, des communs renforcés et des marchés encadrés par des seuils, calendriers et incitations décidés démocratiquement. Pour Les Écologistes, sur Q7 (« L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Accord net : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
8	Économie	-2	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Désaccord net : Les Écologistes défendent une économie mixte avec des services publics essentiels, des communs renforcés et des marchés encadrés par des seuils, calendriers et incitations décidés démocratiquement. Pour Les Écologistes, sur Q8 (« La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Désaccord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
9	État	-2	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Désaccord net : Les Écologistes veulent une fiscalité plus progressive, des rémunérations plus égalitaires et une économie dans laquelle les besoins essentiels et la justice sociale priment sur l’accumulation et la seule croissance du PIB. Pour Les Écologistes, sur Q9 (« La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Désaccord net : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
10	État	3	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Accord très fort : Les Écologistes veulent une fiscalité plus progressive, des rémunérations plus égalitaires et une économie dans laquelle les besoins essentiels et la justice sociale priment sur l’accumulation et la seule croissance du PIB. Pour Les Écologistes, sur Q10 (« L'État devrait garantir un niveau élevé de protection sociale, même si cela implique une fiscalité importante. »), cette orientation reprend presque entièrement le choix proposé : +3.	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
12	État	3	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Accord très fort : Les Écologistes défendent une économie mixte avec des services publics essentiels, des communs renforcés et des marchés encadrés par des seuils, calendriers et incitations décidés démocratiquement. Pour Les Écologistes, sur Q12 (« L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables. »), cette orientation reprend presque entièrement le choix proposé : +3.	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
