qid	theme	score	confidence	current_source	current_justification	old_source	old_justification
4	Économie	0	2	https://lafrancehumaniste.fr/articles/la-rupture-du-pacte-social.html	Position intermédiaire : La France Humaniste critique les inégalités excessives et accepte des conditions sociales sur les entreprises bénéficiant d’argent public, mais aucune proposition de plafond général entre rémunérations hautes et basses n’est établie.	https://lafrancehumaniste.fr/articles/la-rupture-du-pacte-social.html	Position non tranchée : La France Humaniste critique les inégalités excessives et accepte des conditions sociales sur les entreprises bénéficiant d’argent public, mais aucune proposition de plafond général entre rémunérations hautes et basses n’est établie.
17	Social / société	2	3	https://lafrancehumaniste.fr/articles/le-moment-francais-sorbonne.html	Accord net : La France Humaniste revendique un humanisme universaliste, la liberté individuelle, la dignité et un cadre républicain commun plutôt qu’une politique d’assignation identitaire. Pour LFH, sur Q17 (« Les politiques publiques devraient chercher à corriger activement les discriminations historiques ou structurelles entre groupes sociaux. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	https://lafrancehumaniste.fr/articles/le-moment-francais-sorbonne.html	Accord net : codage fondé sur les documents officiels retenus pour le thème « Social / société ». Niveau de preuve : position ou mesure explicitement documentée.
19	Social / société	2	3	https://lafrancehumaniste.fr/articles/le-moment-francais-sorbonne.html	Accord net : La France Humaniste revendique un humanisme universaliste, la liberté individuelle, la dignité et un cadre républicain commun plutôt qu’une politique d’assignation identitaire. Pour LFH, sur Q19 (« Certaines traditions et valeurs culturelles méritent d'être préservées même si elles évoluent moins vite que la société. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	https://lafrancehumaniste.fr/articles/le-moment-francais-sorbonne.html	Accord net : codage fondé sur les documents officiels retenus pour le thème « Social / société ». Niveau de preuve : position ou mesure explicitement documentée.
22	Immigration / droits sociaux	2	2	https://lafrancehumaniste.fr/articles/chemin-gaulliste.html	Accord net : La France Humaniste défend une conception républicaine opposée à la préférence nationale du RN ; l’égalité de traitement après installation durable est cohérente avec cette ligne, sans proposition aussi précise sur tous les dispositifs.	https://lafrancehumaniste.fr/articles/chemin-gaulliste.html	La France Humaniste défend une conception républicaine opposée à la préférence nationale du RN ; l’égalité de traitement après installation durable est cohérente avec cette ligne, sans proposition aussi précise sur tous les dispositifs.
24	Immigration	2	2	https://lafrancehumaniste.fr/articles/la-france-face-au-piege-identitaire.html	Accord net : Dominique de Villepin défend une politique migratoire maîtrisée mais humaniste, attachée à l’intégration, à la dignité des personnes et au respect des engagements internationaux de la France. Pour LFH, sur Q24 (« La France devrait être beaucoup plus stricte concernant l'expulsion des étrangers condamnés pour des crimes graves. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	https://lafrancehumaniste.fr/articles/la-france-face-au-piege-identitaire.html	Accord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
28	Sécurité / justice	2	2	https://lafrancehumaniste.fr/articles/la-lutte-antiterroriste.html	Accord net : La France Humaniste défend l’autorité de l’État et l’ordre républicain tout en maintenant une forte exigence de proportionnalité, d’État de droit et de protection des libertés. Pour LFH, sur Q28 (« Il vaut mieux investir dans la prévention et la réinsertion que dans l'augmentation des sanctions. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	https://lafrancehumaniste.fr/articles/la-lutte-antiterroriste.html	Accord fort : codage fondé sur les documents officiels retenus pour le thème « Sécurité / justice ». Niveau de preuve : orientation cohérente étayée par plusieurs éléments.
36	Écologie	2	2	https://lafrancehumaniste.fr/articles/pourquoi-je-suis-ecogaulliste.html	Accord net : Dominique de Villepin fait de l’urgence climatique un enjeu de souveraineté et propose taxe carbone, planification, adaptation et investissement public, avec une transition conçue comme condition de la prospérité. Pour LFH, sur Q36 (« Il est justifié d'interdire certains produits ou comportements très polluants même lorsque les consommateurs les souhaitent. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	https://lafrancehumaniste.fr/articles/pourquoi-je-suis-ecogaulliste.html	Accord net : codage fondé sur les documents officiels retenus pour le thème « Écologie ». Niveau de preuve : orientation cohérente étayée par plusieurs éléments.
39	Europe	0	3	https://lafrancehumaniste.fr/articles/moment-europeen-europe-souveraine.html	Position intermédiaire : La France Humaniste refuse à la fois le fédéralisme uniforme et le souverainisme de repli ; elle cherche à articuler souveraineté nationale et capacité d'action européenne, sans accepter clairement l'arbitrage formulé par la question.	https://lafrancehumaniste.fr/articles/moment-europeen-europe-souveraine.html	Position équilibrée : La France Humaniste refuse à la fois le fédéralisme uniforme et le souverainisme de repli ; elle cherche à articuler souveraineté nationale et capacité d'action européenne, sans accepter clairement l'arbitrage formulé par la question.
45	Fiscalité / patrimoine	1	1	https://lafrancehumaniste.fr/articles/le-sursaut-budgetaire.html	Accord modéré : Dominique de Villepin défend une contribution accrue des très hauts patrimoines et s'est montré favorable au principe d'une taxation minimale des grandes fortunes. En revanche, aucune position suffisamment précise n'établit qu'il souhaite maintenir une imposition française du patrimoine mondial après l'expatriation ; l'accord est donc limité à +1.	https://lafrancehumaniste.fr/articles/le-sursaut-budgetaire.html	Accord modéré et prudent : Dominique de Villepin défend une contribution accrue des très hauts patrimoines et s'est montré favorable au principe d'une taxation minimale des grandes fortunes. En revanche, aucune position suffisamment précise n'établit qu'il souhaite maintenir une imposition française du patrimoine mondial après l'expatriation ; l'accord est donc limité à +1.
47	Outre-mer / vie chère	1	1	https://lafrancehumaniste.fr/articles/la-grande-adaptation-du-territoire.html	Accord modéré : La France Humaniste insiste sur la solidarité nationale, la justice des distances et le rééquilibrage territorial. Aucune proposition ultramarine de subvention des prix aussi précise n’est publiée ; accord prudent retenu à +1.	https://lafrancehumaniste.fr/articles/la-grande-adaptation-du-territoire.html	La France Humaniste insiste sur la solidarité nationale, la justice des distances et le rééquilibrage territorial. Aucune proposition ultramarine de subvention des prix aussi précise n’est publiée ; accord prudent retenu à +1.
