qid	theme	question	score	confidence	source	justification
1	Économie	Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques.	3	2	https://programme.ericzemmour.fr/	Accord très fort : Le programme d’Éric Zemmour défend une baisse marquée des impôts et charges sur les travailleurs et les entreprises, la réduction de la dépense publique et une politique favorable au travail, à l’industrie et à la propriété. Pour Reconquête, sur Q1 (« Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques. »), cette orientation reprend presque entièrement le choix proposé : +3.
2	Économie	Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque.	2	1	https://programme.ericzemmour.fr/	Accord net : Le programme d’Éric Zemmour défend une baisse marquée des impôts et charges sur les travailleurs et les entreprises, la réduction de la dépense publique et une politique favorable au travail, à l’industrie et à la propriété. Pour Reconquête, sur Q2 (« Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.
3	Économie	L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités.	-3	2	https://programme.ericzemmour.fr/	Désaccord très fort : Le programme d’Éric Zemmour défend une baisse marquée des impôts et charges sur les travailleurs et les entreprises, la réduction de la dépense publique et une politique favorable au travail, à l’industrie et à la propriété. Pour Reconquête, sur Q3 (« L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités. »), elle contredit presque entièrement le choix proposé : -3.
5	Économie	Le salaire minimum devrait être augmenté significativement.	-2	2	https://programme.ericzemmour.fr/	Désaccord net : Le programme d’Éric Zemmour défend une baisse marquée des impôts et charges sur les travailleurs et les entreprises, la réduction de la dépense publique et une politique favorable au travail, à l’industrie et à la propriété. Pour Reconquête, sur Q5 (« Le salaire minimum devrait être augmenté significativement. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.
6	Économie	Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels.	2	1	https://programme.ericzemmour.fr/	Accord net : Reconquête défend l’initiative privée, la baisse des normes et des prélèvements et la compétitivité, tout en assumant une intervention de l’État pour la souveraineté industrielle, énergétique et stratégique. Pour Reconquête, sur Q6 (« Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.
7	Économie	L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays.	-2	2	https://programme.ericzemmour.fr/	Désaccord net : Reconquête défend l’initiative privée, la baisse des normes et des prélèvements et la compétitivité, tout en assumant une intervention de l’État pour la souveraineté industrielle, énergétique et stratégique. Pour Reconquête, sur Q7 (« L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.
8	Économie	La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation.	2	1	https://programme.ericzemmour.fr/	Accord net : Reconquête défend l’initiative privée, la baisse des normes et des prélèvements et la compétitivité, tout en assumant une intervention de l’État pour la souveraineté industrielle, énergétique et stratégique. Pour Reconquête, sur Q8 (« La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.
9	État	La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire.	3	2	https://programme.ericzemmour.fr/	Accord très fort : Le programme d’Éric Zemmour défend une baisse marquée des impôts et charges sur les travailleurs et les entreprises, la réduction de la dépense publique et une politique favorable au travail, à l’industrie et à la propriété. Pour Reconquête, sur Q9 (« La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire. »), cette orientation reprend presque entièrement le choix proposé : +3.
10	État	L'État devrait garantir un niveau élevé de protection sociale, même si cela implique une fiscalité importante.	-2	2	https://programme.ericzemmour.fr/	Désaccord net : Le programme d’Éric Zemmour défend une baisse marquée des impôts et charges sur les travailleurs et les entreprises, la réduction de la dépense publique et une politique favorable au travail, à l’industrie et à la propriété. Pour Reconquête, sur Q10 (« L'État devrait garantir un niveau élevé de protection sociale, même si cela implique une fiscalité importante. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.
12	État	L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables.	-2	2	https://programme.ericzemmour.fr/	Désaccord net : Reconquête défend l’initiative privée, la baisse des normes et des prélèvements et la compétitivité, tout en assumant une intervention de l’État pour la souveraineté industrielle, énergétique et stratégique. Pour Reconquête, sur Q12 (« L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.
