qid	theme	question	score	confidence	source	justification	fetch_paragraphs	best_score	evidence_1	evidence_2	evidence_3
1	Économie	Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques.	3	2	https://horizonsleparti.fr/le-manifeste/	Accord très fort : Horizons rejette l’idée d’un argent public illimité, veut restaurer la compétitivité, valoriser le travail et l’effort et privilégier des finances publiques soutenables. Pour Horizons, sur Q1 (« Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques. »), cette orientation reprend presque entièrement le choix proposé : +3.	30	0.0701	7. La justice sociale comme fondement du pacte républicain, qui impose un équilibre absolu entre droits et devoirs. Nous croyons que la solidarité nationale est une chance et une nécessité, dont la contrepartie est la revalorisation du travail et du mérite comme piliers d’une société prospère et digne.	5. Un humanisme républicain qui fait de l’éducation l’objectif prioritaire de l’effort national. Nous sommes persuadés que l’éducation constitue la mère des batailles, qui commande la capacité du pays à innover, à former des citoyens éclairés et à relancer l’ascenseur social. Nous croyons que la science et l’esprit des Lumières doivent éclairer toutes les politiques publiques et servir de fondement au débat démocratique. Nous nous battons pour l’égalité réelle entre les hommes et les femmes dans la vie collective.	
2	Économie	Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque.	2	2	https://horizonsleparti.fr/le-manifeste/	Accord net : Horizons rejette l’idée d’un argent public illimité, veut restaurer la compétitivité, valoriser le travail et l’effort et privilégier des finances publiques soutenables. Pour Horizons, sur Q2 (« Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	30	0.0758	7. La justice sociale comme fondement du pacte républicain, qui impose un équilibre absolu entre droits et devoirs. Nous croyons que la solidarité nationale est une chance et une nécessité, dont la contrepartie est la revalorisation du travail et du mérite comme piliers d’une société prospère et digne.		
3	Économie	L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités.	-2	2	https://horizonsleparti.fr/le-manifeste/	Désaccord net : Horizons rejette l’idée d’un argent public illimité, veut restaurer la compétitivité, valoriser le travail et l’effort et privilégier des finances publiques soutenables. Pour Horizons, sur Q3 (« L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.	30	0.0654	16. L’illusion de l’argent public magique qui admet que l’État redistribue une richesse qu’il n’a pas, en faisant peser le poids de notre mode de vie d’aujourd’hui sur les générations futures.	2. La poursuite de la transformation du pays pour faire face aux défis qu’il traverse et aux dangers qui le guettent. Nous estimons que les renoncements à réformer aujourd’hui préparent nos faiblesses de demain : il est urgent de construire une France plus forte et plus juste, une économie plus compétitive et plus innovante, un État moins dispendieux et recentré sur ses missions essentielles.	8. L’organisation décentralisée de la République avec une répartition plus efficace des compétences entre des collectivités au rôle clarifié et un État renforcé sur ses prérogatives régaliennes. Nous défendons la démocratie représentative dans le cadre des institutions de la Vème République qui permettent à chaque citoyen de faire valoir son opinion tout en garantissant la force de gouverner du pouvoir exécutif.
5	Économie	Le salaire minimum devrait être augmenté significativement.	-2	2	https://horizonsleparti.fr/le-manifeste/	Désaccord net : Horizons rejette l’idée d’un argent public illimité, veut restaurer la compétitivité, valoriser le travail et l’effort et privilégier des finances publiques soutenables. Pour Horizons, sur Q5 (« Le salaire minimum devrait être augmenté significativement. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.	30	0			
6	Économie	Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels.	2	2	https://horizonsleparti.fr/le-manifeste/	Accord net : Horizons veut réformer l’État et l’économie pour favoriser le travail, la production et l’initiative, tout en conservant des politiques publiques fortes dans les secteurs stratégiques et sociaux. Pour Horizons, sur Q6 (« Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	30	0.0563	16. L’illusion de l’argent public magique qui admet que l’État redistribue une richesse qu’il n’a pas, en faisant peser le poids de notre mode de vie d’aujourd’hui sur les générations futures.	2. La poursuite de la transformation du pays pour faire face aux défis qu’il traverse et aux dangers qui le guettent. Nous estimons que les renoncements à réformer aujourd’hui préparent nos faiblesses de demain : il est urgent de construire une France plus forte et plus juste, une économie plus compétitive et plus innovante, un État moins dispendieux et recentré sur ses missions essentielles.	8. L’organisation décentralisée de la République avec une répartition plus efficace des compétences entre des collectivités au rôle clarifié et un État renforcé sur ses prérogatives régaliennes. Nous défendons la démocratie représentative dans le cadre des institutions de la Vème République qui permettent à chaque citoyen de faire valoir son opinion tout en garantissant la force de gouverner du pouvoir exécutif.
7	Économie	L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays.	-1	2	https://horizonsleparti.fr/le-manifeste/	Réserve modérée : Horizons veut réformer l’État et l’économie pour favoriser le travail, la production et l’initiative, tout en conservant des politiques publiques fortes dans les secteurs stratégiques et sociaux. Pour Horizons, sur Q7 (« L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	30	0.1043	8. L’organisation décentralisée de la République avec une répartition plus efficace des compétences entre des collectivités au rôle clarifié et un État renforcé sur ses prérogatives régaliennes. Nous défendons la démocratie représentative dans le cadre des institutions de la Vème République qui permettent à chaque citoyen de faire valoir son opinion tout en garantissant la force de gouverner du pouvoir exécutif.	2. La poursuite de la transformation du pays pour faire face aux défis qu’il traverse et aux dangers qui le guettent. Nous estimons que les renoncements à réformer aujourd’hui préparent nos faiblesses de demain : il est urgent de construire une France plus forte et plus juste, une économie plus compétitive et plus innovante, un État moins dispendieux et recentré sur ses missions essentielles.	Nous nous rassemblons au sein d’un parti politique car nous croyons profondément à l’engagement et à l’action politique comme fondements de la démocratie. Nous pensons que la politique peut changer la vie des Français lorsqu’elle propose un constat lucide des enjeux et des lignes claires d’action.
8	Économie	La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation.	2	2	https://horizonsleparti.fr/le-manifeste/	Accord net : Horizons veut réformer l’État et l’économie pour favoriser le travail, la production et l’initiative, tout en conservant des politiques publiques fortes dans les secteurs stratégiques et sociaux. Pour Horizons, sur Q8 (« La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	30	0.0748	3. La liberté comme valeur cardinale de la République. La liberté d’entreprendre et d’échanger, garante de l’innovation et du progrès. La liberté de croire ou de ne pas croire dans le cadre fixé par la laïcité. La liberté de s’exprimer, de débattre et de rire comme conditions fondamentales de la vie collective.		
9	État	La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire.	3	2	https://horizonsleparti.fr/le-manifeste/	Accord très fort : Horizons rejette l’idée d’un argent public illimité, veut restaurer la compétitivité, valoriser le travail et l’effort et privilégier des finances publiques soutenables. Pour Horizons, sur Q9 (« La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire. »), cette orientation reprend presque entièrement le choix proposé : +3.	30	0.1293	16. L’illusion de l’argent public magique qui admet que l’État redistribue une richesse qu’il n’a pas, en faisant peser le poids de notre mode de vie d’aujourd’hui sur les générations futures.	13. Les démagogues qui abaissent la controverse démocratique à un jeu d’invectives et bannissent la raison et la mesure du débat public.	7. La justice sociale comme fondement du pacte républicain, qui impose un équilibre absolu entre droits et devoirs. Nous croyons que la solidarité nationale est une chance et une nécessité, dont la contrepartie est la revalorisation du travail et du mérite comme piliers d’une société prospère et digne.
10	État	L'État devrait garantir un niveau élevé de protection sociale, même si cela implique une fiscalité importante.	0	2	https://horizonsleparti.fr/le-manifeste/	Position intermédiaire : Horizons rejette l’idée d’un argent public illimité, veut restaurer la compétitivité, valoriser le travail et l’effort et privilégier des finances publiques soutenables. Pour Horizons, sur Q10 (« L'État devrait garantir un niveau élevé de protection sociale, même si cela implique une fiscalité importante. »), elle ne tranche pas clairement l’arbitrage précis posé : 0.	30	0.0772	7. La justice sociale comme fondement du pacte républicain, qui impose un équilibre absolu entre droits et devoirs. Nous croyons que la solidarité nationale est une chance et une nécessité, dont la contrepartie est la revalorisation du travail et du mérite comme piliers d’une société prospère et digne.	16. L’illusion de l’argent public magique qui admet que l’État redistribue une richesse qu’il n’a pas, en faisant peser le poids de notre mode de vie d’aujourd’hui sur les générations futures.	2. La poursuite de la transformation du pays pour faire face aux défis qu’il traverse et aux dangers qui le guettent. Nous estimons que les renoncements à réformer aujourd’hui préparent nos faiblesses de demain : il est urgent de construire une France plus forte et plus juste, une économie plus compétitive et plus innovante, un État moins dispendieux et recentré sur ses missions essentielles.
12	État	L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables.	0	2	https://horizonsleparti.fr/le-manifeste/	Position intermédiaire : Horizons veut réformer l’État et l’économie pour favoriser le travail, la production et l’initiative, tout en conservant des politiques publiques fortes dans les secteurs stratégiques et sociaux. Pour Horizons, sur Q12 (« L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables. »), elle ne tranche pas clairement l’arbitrage précis posé : 0.	30	0.1047	2. La poursuite de la transformation du pays pour faire face aux défis qu’il traverse et aux dangers qui le guettent. Nous estimons que les renoncements à réformer aujourd’hui préparent nos faiblesses de demain : il est urgent de construire une France plus forte et plus juste, une économie plus compétitive et plus innovante, un État moins dispendieux et recentré sur ses missions essentielles.	16. L’illusion de l’argent public magique qui admet que l’État redistribue une richesse qu’il n’a pas, en faisant peser le poids de notre mode de vie d’aujourd’hui sur les générations futures.	6. Une ambition écologique pour la France, fondée sur les notions de progrès, de sobriété et de durabilité. Nous croyons que cette ambition passe par l’instauration d’une politique efficace de décarbonation de notre économie, la préservation de la biodiversité et un investissement accru dans l’excellence des filières énergétiques et agricoles françaises.
13	État	Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics obligatoires.	2	2	https://horizonsleparti.fr/le-manifeste/	Accord net : Horizons veut réformer l’État et l’économie pour favoriser le travail, la production et l’initiative, tout en conservant des politiques publiques fortes dans les secteurs stratégiques et sociaux. Pour Horizons, sur Q13 (« Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics… »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	30	0.0974	3. La liberté comme valeur cardinale de la République. La liberté d’entreprendre et d’échanger, garante de l’innovation et du progrès. La liberté de croire ou de ne pas croire dans le cadre fixé par la laïcité. La liberté de s’exprimer, de débattre et de rire comme conditions fondamentales de la vie collective.	11. Les ennemis de la laïcité qui refusent de se soumettre à ce cadre de liberté et de neutralité au nom d’une vision dévoyée de la liberté de culte et du multiculturalisme.	16. L’illusion de l’argent public magique qui admet que l’État redistribue une richesse qu’il n’a pas, en faisant peser le poids de notre mode de vie d’aujourd’hui sur les générations futures.
14	Social / société	La société devrait accepter beaucoup plus largement les différents modes de vie, même lorsqu'ils s'éloignent des normes traditionnelles.	1	2	https://horizonsleparti.fr/le-manifeste/	Accord modéré : Horizons défend la laïcité et l’universalisme républicain, combat les assignations identitaires et rejette à la fois le multiculturalisme communautaire et les atteintes aux libertés démocratiques. Pour Horizons, sur Q14 (« La société devrait accepter beaucoup plus largement les différents modes de vie, même lorsqu'ils s'éloignent des normes traditionnelles. »), elle incline dans ce sens sans adopter toute la proposition : +1.	30	0.1133	Nous nous rassemblons au sein d’un parti politique car nous croyons profondément à l’engagement et à l’action politique comme fondements de la démocratie. Nous pensons que la politique peut changer la vie des Français lorsqu’elle propose un constat lucide des enjeux et des lignes claires d’action.	7. La justice sociale comme fondement du pacte républicain, qui impose un équilibre absolu entre droits et devoirs. Nous croyons que la solidarité nationale est une chance et une nécessité, dont la contrepartie est la revalorisation du travail et du mérite comme piliers d’une société prospère et digne.	16. L’illusion de l’argent public magique qui admet que l’État redistribue une richesse qu’il n’a pas, en faisant peser le poids de notre mode de vie d’aujourd’hui sur les générations futures.
16	Social / société	Réduire les inégalités peut parfois justifier de restreindre certaines libertés individuelles.	-2	2	https://horizonsleparti.fr/le-manifeste/	Désaccord net : Horizons défend la laïcité et l’universalisme républicain, combat les assignations identitaires et rejette à la fois le multiculturalisme communautaire et les atteintes aux libertés démocratiques. Pour Horizons, sur Q16 (« Réduire les inégalités peut parfois justifier de restreindre certaines libertés individuelles. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.	30	0.0716	20. Les naïfs et les populistes de l’immigration qui estiment que la France est en situation d’accueillir toute la misère du monde ou, à l’inverse, font croire que le pays peut vivre en autarcie derrière des frontières étanches.	Nous nous rassemblons au sein d’un parti politique car nous croyons profondément à l’engagement et à l’action politique comme fondements de la démocratie. Nous pensons que la politique peut changer la vie des Français lorsqu’elle propose un constat lucide des enjeux et des lignes claires d’action.	
17	Social / société	Les politiques publiques devraient chercher à corriger activement les discriminations historiques ou structurelles entre groupes sociaux.	1	2	https://horizonsleparti.fr/le-manifeste/	Accord modéré : Horizons défend la laïcité et l’universalisme républicain, combat les assignations identitaires et rejette à la fois le multiculturalisme communautaire et les atteintes aux libertés démocratiques. Pour Horizons, sur Q17 (« Les politiques publiques devraient chercher à corriger activement les discriminations historiques ou structurelles entre groupes sociaux. »), elle incline dans ce sens sans adopter toute la proposition : +1.	30	0.1072	5. Un humanisme républicain qui fait de l’éducation l’objectif prioritaire de l’effort national. Nous sommes persuadés que l’éducation constitue la mère des batailles, qui commande la capacité du pays à innover, à former des citoyens éclairés et à relancer l’ascenseur social. Nous croyons que la science et l’esprit des Lumières doivent éclairer toutes les politiques publiques et servir de fondement au débat démocratique. Nous nous battons pour l’égalité réelle entre les hommes et les femmes dans la vie collective.		
19	Social / société	Certaines traditions et valeurs culturelles méritent d'être préservées même si elles évoluent moins vite que la société.	2	2	https://horizonsleparti.fr/le-manifeste/	Accord net : Horizons défend la laïcité et l’universalisme républicain, combat les assignations identitaires et rejette à la fois le multiculturalisme communautaire et les atteintes aux libertés démocratiques. Pour Horizons, sur Q19 (« Certaines traditions et valeurs culturelles méritent d'être préservées même si elles évoluent moins vite que la société. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	30	0.0842	Vous partagez nos valeurs ? Rejoignez le parti Horizons !	7. La justice sociale comme fondement du pacte républicain, qui impose un équilibre absolu entre droits et devoirs. Nous croyons que la solidarité nationale est une chance et une nécessité, dont la contrepartie est la revalorisation du travail et du mérite comme piliers d’une société prospère et digne.	1. L’unité et la cohésion de la France autour de ses valeurs, de son histoire et de sa culture. Nous avons pour ambition de construire une stratégie globale pour la France afin d’assurer sa compétitivité, sa prospérité et sa puissance sur le long terme.
20	Immigration	La France devrait réduire le nombre d'immigrants qu'elle accueille chaque année.	2	2	https://horizonsleparti.fr/le-manifeste/	Accord net : Horizons rejette l’idée que la France puisse accueillir sans limite et insiste sur l’intégration, la maîtrise des flux et une culture commune, sans défendre pour autant l’autarcie ou la fermeture totale. Pour Horizons, sur Q20 (« La France devrait réduire le nombre d'immigrants qu'elle accueille chaque année. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	30	0.0930	8. L’organisation décentralisée de la République avec une répartition plus efficace des compétences entre des collectivités au rôle clarifié et un État renforcé sur ses prérogatives régaliennes. Nous défendons la démocratie représentative dans le cadre des institutions de la Vème République qui permettent à chaque citoyen de faire valoir son opinion tout en garantissant la force de gouverner du pouvoir exécutif.		
21	Immigration	L'immigration économique est globalement bénéfique pour l'économie française.	2	2	https://horizonsleparti.fr/le-manifeste/	Accord net : Horizons rejette l’idée que la France puisse accueillir sans limite et insiste sur l’intégration, la maîtrise des flux et une culture commune, sans défendre pour autant l’autarcie ou la fermeture totale. Pour Horizons, sur Q21 (« L'immigration économique est globalement bénéfique pour l'économie française. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	30	0.1147	17. L’esprit de défaite, de repentance et de honte qui méprise la grandeur du récit national et conduit à nier la possibilité d’une culture et d’une histoire communes, qui font la fierté française.	20. Les naïfs et les populistes de l’immigration qui estiment que la France est en situation d’accueillir toute la misère du monde ou, à l’inverse, font croire que le pays peut vivre en autarcie derrière des frontières étanches.	6. Une ambition écologique pour la France, fondée sur les notions de progrès, de sobriété et de durabilité. Nous croyons que cette ambition passe par l’instauration d’une politique efficace de décarbonation de notre économie, la préservation de la biodiversité et un investissement accru dans l’excellence des filières énergétiques et agricoles françaises.
23	Immigration	L'accès à la nationalité française devrait être rendu plus exigeant.	1	2	https://horizonsleparti.fr/le-manifeste/	Accord modéré : Horizons rejette l’idée que la France puisse accueillir sans limite et insiste sur l’intégration, la maîtrise des flux et une culture commune, sans défendre pour autant l’autarcie ou la fermeture totale. Pour Horizons, sur Q23 (« L'accès à la nationalité française devrait être rendu plus exigeant. »), elle incline dans ce sens sans adopter toute la proposition : +1.	30	0.1260	17. L’esprit de défaite, de repentance et de honte qui méprise la grandeur du récit national et conduit à nier la possibilité d’une culture et d’une histoire communes, qui font la fierté française.		
24	Immigration	La France devrait être beaucoup plus stricte concernant l'expulsion des étrangers condamnés pour des crimes graves.	3	2	https://horizonsleparti.fr/le-manifeste/	Accord très fort : Horizons rejette l’idée que la France puisse accueillir sans limite et insiste sur l’intégration, la maîtrise des flux et une culture commune, sans défendre pour autant l’autarcie ou la fermeture totale. Pour Horizons, sur Q24 (« La France devrait être beaucoup plus stricte concernant l'expulsion des étrangers condamnés pour des crimes graves. »), cette orientation reprend presque entièrement le choix proposé : +3.	30	0			
25	Immigration	Même lorsque l'immigration est économiquement bénéfique, elle peut être légitimement limitée pour préserver la cohésion culturelle du pays.	2	2	https://horizonsleparti.fr/le-manifeste/	Accord net : Horizons rejette l’idée que la France puisse accueillir sans limite et insiste sur l’intégration, la maîtrise des flux et une culture commune, sans défendre pour autant l’autarcie ou la fermeture totale. Pour Horizons, sur Q25 (« Même lorsque l'immigration est économiquement bénéfique, elle peut être légitimement limitée pour préserver la cohésion culturelle du pays. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	30	0.1997	20. Les naïfs et les populistes de l’immigration qui estiment que la France est en situation d’accueillir toute la misère du monde ou, à l’inverse, font croire que le pays peut vivre en autarcie derrière des frontières étanches.	1. L’unité et la cohésion de la France autour de ses valeurs, de son histoire et de sa culture. Nous avons pour ambition de construire une stratégie globale pour la France afin d’assurer sa compétitivité, sa prospérité et sa puissance sur le long terme.	Nous nous rassemblons au sein d’un parti politique car nous croyons profondément à l’engagement et à l’action politique comme fondements de la démocratie. Nous pensons que la politique peut changer la vie des Français lorsqu’elle propose un constat lucide des enjeux et des lignes claires d’action.
26	Immigration	La France devrait accueillir davantage de réfugiés lorsqu'ils fuient une guerre ou une persécution, même si cela représente un coût économique.	-1	2	https://horizonsleparti.fr/le-manifeste/	Réserve modérée : Horizons rejette l’idée que la France puisse accueillir sans limite et insiste sur l’intégration, la maîtrise des flux et une culture commune, sans défendre pour autant l’autarcie ou la fermeture totale. Pour Horizons, sur Q26 (« La France devrait accueillir davantage de réfugiés lorsqu'ils fuient une guerre ou une persécution, même si cela représente un coût économique. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	30	0.0716	20. Les naïfs et les populistes de l’immigration qui estiment que la France est en situation d’accueillir toute la misère du monde ou, à l’inverse, font croire que le pays peut vivre en autarcie derrière des frontières étanches.	Nous nous rassemblons au sein d’un parti politique car nous croyons profondément à l’engagement et à l’action politique comme fondements de la démocratie. Nous pensons que la politique peut changer la vie des Français lorsqu’elle propose un constat lucide des enjeux et des lignes claires d’action.	
27	Sécurité / justice	Les peines de prison effectives devraient être plus sévères, même si cela augmente fortement la population carcérale.	2	2	https://horizonsleparti.fr/le-manifeste/	Accord net : Horizons place l’autorité de l’État et la sécurité parmi ses priorités, avec une ligne de fermeté régalienne mais inscrite dans l’État de droit et le refus des extrêmes. Pour Horizons, sur Q27 (« Les peines de prison effectives devraient être plus sévères, même si cela augmente fortement la population carcérale. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	30	0			
29	Sécurité / justice	La police devrait disposer de pouvoirs plus importants pour lutter contre la criminalité, quitte à accepter davantage de contrôles sur certaines libertés individuelles.	2	2	https://horizonsleparti.fr/le-manifeste/	Accord net : Horizons place l’autorité de l’État et la sécurité parmi ses priorités, avec une ligne de fermeté régalienne mais inscrite dans l’État de droit et le refus des extrêmes. Pour Horizons, sur Q29 (« La police devrait disposer de pouvoirs plus importants pour lutter contre la criminalité, quitte à accepter davantage de contrôles sur certaines… »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	30	0.0753	12. Les extrêmes de tous bords qui dressent les Français les uns contre les autres en agitant les peurs et les mensonges.		
32	Écologie	La lutte contre le changement climatique doit rester prioritaire même lorsqu'elle réduit la croissance économique à court terme.	2	2	https://horizonsleparti.fr/le-manifeste/	Accord net : Horizons refuse la décroissance qu’il juge ruineuse tout en reconnaissant l’urgence climatique ; il privilégie l’innovation, l’adaptation, la technologie et une transition compatible avec la production. Pour Horizons, sur Q32 (« La lutte contre le changement climatique doit rester prioritaire même lorsqu'elle réduit la croissance économique à court terme. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	30	0.1442	9. L’indépendance Nationale dans un monde dangereux et instable, où la France doit conserver les moyens de rester maîtresse de son destin. Nous estimons que la France doit demeurer capable de défendre elle-même ses intérêts nationaux, ses valeurs et ses alliances en restaurant les outils de sa puissance.	15. Les partisans de la décroissance ruineuse pour le pays et impuissante à répondre à l’urgence climatique.	12. Les extrêmes de tous bords qui dressent les Français les uns contre les autres en agitant les peurs et les mensonges.
33	Écologie	Il faut accepter une hausse importante du prix des énergies fossiles pour accélérer la transition écologique.	1	2	https://horizonsleparti.fr/le-manifeste/	Accord modéré : Horizons refuse la décroissance qu’il juge ruineuse tout en reconnaissant l’urgence climatique ; il privilégie l’innovation, l’adaptation, la technologie et une transition compatible avec la production. Pour Horizons, sur Q33 (« Il faut accepter une hausse importante du prix des énergies fossiles pour accélérer la transition écologique. »), elle incline dans ce sens sans adopter toute la proposition : +1.	30	0.0734	6. Une ambition écologique pour la France, fondée sur les notions de progrès, de sobriété et de durabilité. Nous croyons que cette ambition passe par l’instauration d’une politique efficace de décarbonation de notre économie, la préservation de la biodiversité et un investissement accru dans l’excellence des filières énergétiques et agricoles françaises.		
35	Écologie	Les politiques écologiques devraient reposer principalement sur des mécanismes de marché comme la taxe carbone plutôt que sur des interdictions.	2	2	https://horizonsleparti.fr/le-manifeste/	Accord net : Horizons refuse la décroissance qu’il juge ruineuse tout en reconnaissant l’urgence climatique ; il privilégie l’innovation, l’adaptation, la technologie et une transition compatible avec la production. Pour Horizons, sur Q35 (« Les politiques écologiques devraient reposer principalement sur des mécanismes de marché comme la taxe carbone plutôt que sur des interdictions. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	30	0.0532	5. Un humanisme républicain qui fait de l’éducation l’objectif prioritaire de l’effort national. Nous sommes persuadés que l’éducation constitue la mère des batailles, qui commande la capacité du pays à innover, à former des citoyens éclairés et à relancer l’ascenseur social. Nous croyons que la science et l’esprit des Lumières doivent éclairer toutes les politiques publiques et servir de fondement au débat démocratique. Nous nous battons pour l’égalité réelle entre les hommes et les femmes dans la vie collective.		
36	Écologie	Il est justifié d'interdire certains produits ou comportements très polluants même lorsque les consommateurs les souhaitent.	1	2	https://horizonsleparti.fr/le-manifeste/	Accord modéré : Horizons refuse la décroissance qu’il juge ruineuse tout en reconnaissant l’urgence climatique ; il privilégie l’innovation, l’adaptation, la technologie et une transition compatible avec la production. Pour Horizons, sur Q36 (« Il est justifié d'interdire certains produits ou comportements très polluants même lorsque les consommateurs les souhaitent. »), elle incline dans ce sens sans adopter toute la proposition : +1.	30	0			
37	Écologie	Les pays riches devraient supporter une part prépondérante du coût de la transition écologique mondiale.	1	1	https://horizonsleparti.fr/le-manifeste/	Accord modéré : Horizons refuse la décroissance qu’il juge ruineuse tout en reconnaissant l’urgence climatique ; il privilégie l’innovation, l’adaptation, la technologie et une transition compatible avec la production. Pour Horizons, sur Q37 (« Les pays riches devraient supporter une part prépondérante du coût de la transition écologique mondiale. »), elle incline dans ce sens sans adopter toute la proposition : +1.	30	0.0695	6. Une ambition écologique pour la France, fondée sur les notions de progrès, de sobriété et de durabilité. Nous croyons que cette ambition passe par l’instauration d’une politique efficace de décarbonation de notre économie, la préservation de la biodiversité et un investissement accru dans l’excellence des filières énergétiques et agricoles françaises.	15. Les partisans de la décroissance ruineuse pour le pays et impuissante à répondre à l’urgence climatique.	20. Les naïfs et les populistes de l’immigration qui estiment que la France est en situation d’accueillir toute la misère du monde ou, à l’inverse, font croire que le pays peut vivre en autarcie derrière des frontières étanches.
38	Europe	La France devrait transférer davantage de compétences à l'Union européenne afin de renforcer son poids économique et géopolitique.	2	2	https://horizonsleparti.fr/le-manifeste/	Accord net : Horizons voit l’Europe comme un levier de prospérité et de souveraineté française, tout en demandant davantage de subsidiarité et le respect des choix fondamentaux du peuple français. Pour Horizons, sur Q38 (« La France devrait transférer davantage de compétences à l'Union européenne afin de renforcer son poids économique et géopolitique. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	30	0.0830	16. L’illusion de l’argent public magique qui admet que l’État redistribue une richesse qu’il n’a pas, en faisant peser le poids de notre mode de vie d’aujourd’hui sur les générations futures.	8. L’organisation décentralisée de la République avec une répartition plus efficace des compétences entre des collectivités au rôle clarifié et un État renforcé sur ses prérogatives régaliennes. Nous défendons la démocratie représentative dans le cadre des institutions de la Vème République qui permettent à chaque citoyen de faire valoir son opinion tout en garantissant la force de gouverner du pouvoir exécutif.	
39	Europe	La France devrait conserver autant que possible sa souveraineté nationale, même si cela réduit son influence au niveau européen.	-2	2	https://horizonsleparti.fr/le-manifeste/	Désaccord net : Horizons voit l’Europe comme un levier de prospérité et de souveraineté française, tout en demandant davantage de subsidiarité et le respect des choix fondamentaux du peuple français. Pour Horizons, sur Q39 (« La France devrait conserver autant que possible sa souveraineté nationale, même si cela réduit son influence au niveau européen. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.	30	0.1722	10. Le projet Européen comme la voie de la prospérité et de la souveraineté de la France. Mais nous portons l’exigence d’une Europe plus respectueuse du principe de subsidiarité, de l’intérêt collectif des Européens et des choix fondamentaux du peuple français.	9. L’indépendance Nationale dans un monde dangereux et instable, où la France doit conserver les moyens de rester maîtresse de son destin. Nous estimons que la France doit demeurer capable de défendre elle-même ses intérêts nationaux, ses valeurs et ses alliances en restaurant les outils de sa puissance.	Les instances nationales Iéna Commission nationale d’investiture Les parlementaires L’Assemblée des maires Secrétaires nationaux Le pôle Idées Le pôle Jeunes
40	Europe	L'euro est globalement bénéfique pour la France malgré la perte de certains instruments de politique économique.	3	2	https://horizonsleparti.fr/le-manifeste/	Accord très fort : Horizons voit l’Europe comme un levier de prospérité et de souveraineté française, tout en demandant davantage de subsidiarité et le respect des choix fondamentaux du peuple français. Pour Horizons, sur Q40 (« L'euro est globalement bénéfique pour la France malgré la perte de certains instruments de politique économique. »), cette orientation reprend presque entièrement le choix proposé : +3.	30	0			
