qid	theme	question	score	confidence	source	justification
17	Social / société	Les politiques publiques devraient chercher à corriger activement les discriminations historiques ou structurelles entre groupes sociaux.	2	3	https://lafrancehumaniste.fr/articles/le-moment-francais-sorbonne.html	Accord net : La France Humaniste revendique un humanisme universaliste, la liberté individuelle, la dignité et un cadre républicain commun plutôt qu’une politique d’assignation identitaire. Pour LFH, sur Q17 (« Les politiques publiques devraient chercher à corriger activement les discriminations historiques ou structurelles entre groupes sociaux. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.
19	Social / société	Certaines traditions et valeurs culturelles méritent d'être préservées même si elles évoluent moins vite que la société.	2	3	https://lafrancehumaniste.fr/articles/le-moment-francais-sorbonne.html	Accord net : La France Humaniste revendique un humanisme universaliste, la liberté individuelle, la dignité et un cadre républicain commun plutôt qu’une politique d’assignation identitaire. Pour LFH, sur Q19 (« Certaines traditions et valeurs culturelles méritent d'être préservées même si elles évoluent moins vite que la société. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.
24	Immigration	La France devrait être beaucoup plus stricte concernant l'expulsion des étrangers condamnés pour des crimes graves.	2	2	https://lafrancehumaniste.fr/articles/la-france-face-au-piege-identitaire.html	Accord net : Dominique de Villepin défend une politique migratoire maîtrisée mais humaniste, attachée à l’intégration, à la dignité des personnes et au respect des engagements internationaux de la France. Pour LFH, sur Q24 (« La France devrait être beaucoup plus stricte concernant l'expulsion des étrangers condamnés pour des crimes graves. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.
28	Sécurité / justice	Il vaut mieux investir dans la prévention et la réinsertion que dans l'augmentation des sanctions.	2	2	https://lafrancehumaniste.fr/articles/la-lutte-antiterroriste.html	Accord net : La France Humaniste défend l’autorité de l’État et l’ordre républicain tout en maintenant une forte exigence de proportionnalité, d’État de droit et de protection des libertés. Pour LFH, sur Q28 (« Il vaut mieux investir dans la prévention et la réinsertion que dans l'augmentation des sanctions. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.
36	Écologie	Il est justifié d'interdire certains produits ou comportements très polluants même lorsque les consommateurs les souhaitent.	2	2	https://lafrancehumaniste.fr/articles/pourquoi-je-suis-ecogaulliste.html	Accord net : Dominique de Villepin fait de l’urgence climatique un enjeu de souveraineté et propose taxe carbone, planification, adaptation et investissement public, avec une transition conçue comme condition de la prospérité. Pour LFH, sur Q36 (« Il est justifié d'interdire certains produits ou comportements très polluants même lorsque les consommateurs les souhaitent. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.
54	État / entreprises	L'État devrait davantage utiliser son pouvoir d'actionnaire pour orienter les grandes entreprises françaises vers des objectifs industriels de long terme.	3	3	https://lafrancehumaniste.fr/articles/un-nouveau-monde-du-travail.html	Accord très fort : La France Humaniste défend une économie productive avec un État stratège, une protection sociale rénovée et des mécanismes de marché encadrés lorsque l’intérêt collectif l’exige. Pour LFH, sur Q54 (« L'État devrait davantage utiliser son pouvoir d'actionnaire pour orienter les grandes entreprises françaises vers des objectifs industriels de long terme. »), cette orientation reprend presque entièrement le choix proposé : +3.
64	Libertés / expression	Une personne qui tient publiquement des propos profondément offensants mais qui n'appelle ni à la violence ni à commettre une infraction devrait être protégée par la liberté d'expression.	2	3	https://lafrancehumaniste.fr/articles/la-lutte-antiterroriste.html	Accord net : La France Humaniste revendique un humanisme universaliste, la liberté individuelle, la dignité et un cadre républicain commun plutôt qu’une politique d’assignation identitaire. Pour LFH, sur Q64 (« Une personne qui tient publiquement des propos profondément offensants mais qui n'appelle ni à la violence ni à commettre une infraction devrait être… »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.
66	Sécurité	Lorsqu’un conducteur refuse d’obtempérer et prend la fuite, les policiers devraient pouvoir utiliser leur arme à feu même si le danger pour leur vie n’est pas immédiat.	-1	2	https://lafrancehumaniste.fr/articles/la-lutte-antiterroriste.html	Réserve modérée : La France Humaniste défend l’autorité de l’État et l’ordre républicain tout en maintenant une forte exigence de proportionnalité, d’État de droit et de protection des libertés. Pour LFH, sur Q66 (« Lorsqu’un conducteur refuse d’obtempérer et prend la fuite, les policiers devraient pouvoir utiliser leur arme à feu même si le danger pour leur vie… »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.
88	Défense / dissuasion nucléaire	La dissuasion nucléaire française devrait aussi protéger les partenaires européens, tout en laissant à la France seule la décision finale de l'employer.	3	3	https://lafrancehumaniste.fr/articles/moment-europeen-europe-souveraine.html	Accord très fort : Dominique de Villepin défend une Europe souveraine fondée sur la coopération, la mutualisation et des politiques communes plus fortes, tout en préservant un rôle central aux États. Pour LFH, sur Q88 (« La dissuasion nucléaire française devrait aussi protéger les partenaires européens, tout en laissant à la France seule la décision finale de l'employer. »), cette orientation reprend presque entièrement le choix proposé : +3.
89	Santé / fin de vie	Une personne majeure atteinte d'une maladie grave et incurable provoquant des souffrances insupportables devrait pouvoir recevoir une aide médicale à mourir dans un cadre strictement contrôlé.	1	1	https://lafrancehumaniste.fr/articles/protection-sociale.html	Accord modéré : La France Humaniste revendique un humanisme universaliste, la liberté individuelle, la dignité et un cadre républicain commun plutôt qu’une politique d’assignation identitaire. Pour LFH, sur Q89 (« Une personne majeure atteinte d'une maladie grave et incurable provoquant des souffrances insupportables devrait pouvoir recevoir une aide médicale à… »), elle incline dans ce sens sans adopter toute la proposition : +1.
93	Numérique / intelligence artificielle	Les administrations publiques devraient privilégier des modèles d'intelligence artificielle hébergés en Europe, même s'ils sont temporairement moins performants ou plus coûteux que leurs concurrents étrangers.	2	3	https://lafrancehumaniste.fr/articles/protection-sociale.html	Accord net : Dominique de Villepin défend une protection sociale forte mais rénovée, un État stratège et des services essentiels accessibles, avec une attention à leur soutenabilité financière. Pour LFH, sur Q93 (« Les administrations publiques devraient privilégier des modèles d'intelligence artificielle hébergés en Europe, même s'ils sont temporairement moins… »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.
