qid	theme	question	score	confidence	source	justification	fetch_paragraphs	best_score	evidence_1	evidence_2	evidence_3
1	Économie	Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques.	1	2	https://www.gov.pl/web/primeminister/poland-a-year-of-breakthrough---the-prime-minister-unveils-polands-2025-economic-plan	Accord modéré : Le gouvernement Tusk combine investissement, entrepreneuriat, fonds européens et politiques sociales, avec une ligne économique plus centriste que dirigiste. Pour Pologne, sur Q1 (« Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques. »), elle incline dans ce sens sans adopter toute la proposition : +1.	37	0.0625	The year 2025 is also set to be transformative for Poland’s capital market, with support for investors and deregulation aimed at making the Warsaw Stock Exchange more competitive.	"""We have made the decision to build the first nuclear power plant, located in the Kashubian region. We have also decided to enable—though this will require private capital investment, as not everything will be publicly funded—the identification of a second potential site for another nuclear power plant,"" announced Donald Tusk."	"""2025 will be a long-awaited year of positive,"" said Prime Minister Donald Tusk as he began his speech at the Warsaw Stock Exchange on Monday. Alongside Finance Minister Andrzej Domański, he presented Poland’s economic development strategy for the coming year. The plan is based on six pillars: investment in science, energy transformation, modern technologies, the development of ports and railways, a dynamic capital market, and support and cooperation with businesses. The total investment value is expected to reach up to PLN 700 billion this year, the highest amount in the history of the Polish economy."
2	Économie	Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque.	1	1	https://www.gov.pl/web/primeminister/poland-a-year-of-breakthrough---the-prime-minister-unveils-polands-2025-economic-plan	Accord modéré : Le gouvernement Tusk combine investissement, entrepreneuriat, fonds européens et politiques sociales, avec une ligne économique plus centriste que dirigiste. Pour Pologne, sur Q2 (« Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque. »), elle incline dans ce sens sans adopter toute la proposition : +1.	37	0			
3	Économie	L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités.	0	1	https://www.gov.pl/web/primeminister/poland-a-year-of-breakthrough---the-prime-minister-unveils-polands-2025-economic-plan	Position intermédiaire : Le gouvernement Tusk combine investissement, entrepreneuriat, fonds européens et politiques sociales, avec une ligne économique plus centriste que dirigiste. Pour Pologne, sur Q3 (« L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités. »), elle ne tranche pas clairement l’arbitrage précis posé : 0.	37	0			
6	Économie	Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels.	1	1	https://www.gov.pl/web/primeminister/poland-a-year-of-breakthrough---the-prime-minister-unveils-polands-2025-economic-plan	Accord modéré : La coalition du 15 octobre veut améliorer la compétitivité, simplifier l’environnement des entreprises et attirer l’investissement tout en conservant des protections sociales importantes. Pour Pologne, sur Q6 (« Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels. »), elle incline dans ce sens sans adopter toute la proposition : +1.	37	0			
7	Économie	L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays.	1	1	https://www.gov.pl/web/primeminister/poland-a-year-of-breakthrough---the-prime-minister-unveils-polands-2025-economic-plan	Accord modéré : La coalition du 15 octobre veut améliorer la compétitivité, simplifier l’environnement des entreprises et attirer l’investissement tout en conservant des protections sociales importantes. Pour Pologne, sur Q7 (« L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays. »), elle incline dans ce sens sans adopter toute la proposition : +1.	37	0			
8	Économie	La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation.	2	1	https://www.gov.pl/web/primeminister/poland-a-year-of-breakthrough---the-prime-minister-unveils-polands-2025-economic-plan	Accord net : La coalition du 15 octobre veut améliorer la compétitivité, simplifier l’environnement des entreprises et attirer l’investissement tout en conservant des protections sociales importantes. Pour Pologne, sur Q8 (« La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	37	0.0885	Polish scientists achieve global success and enhance Poland’s reputation abroad. Every zloty invested in research and innovation generates between 4 and 7 zlotys in economic returns.		
9	État	La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire.	0	2	https://www.gov.pl/web/primeminister/poland-a-year-of-breakthrough---the-prime-minister-unveils-polands-2025-economic-plan	Position intermédiaire : Le gouvernement Tusk combine investissement, entrepreneuriat, fonds européens et politiques sociales, avec une ligne économique plus centriste que dirigiste. Pour Pologne, sur Q9 (« La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire. »), elle ne tranche pas clairement l’arbitrage précis posé : 0.	37	0			
10	État	L'État devrait garantir un niveau élevé de protection sociale, même si cela implique une fiscalité importante.	2	3	https://www.gov.pl/web/primeminister/poland-a-year-of-breakthrough---the-prime-minister-unveils-polands-2025-economic-plan	Accord net : Le gouvernement Tusk combine investissement, entrepreneuriat, fonds européens et politiques sociales, avec une ligne économique plus centriste que dirigiste. Pour Pologne, sur Q10 (« L'État devrait garantir un niveau élevé de protection sociale, même si cela implique une fiscalité importante. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	37	0			
12	État	L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables.	1	1	https://www.gov.pl/web/primeminister/poland-a-year-of-breakthrough---the-prime-minister-unveils-polands-2025-economic-plan	Accord modéré : La coalition du 15 octobre veut améliorer la compétitivité, simplifier l’environnement des entreprises et attirer l’investissement tout en conservant des protections sociales importantes. Pour Pologne, sur Q12 (« L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables. »), elle incline dans ce sens sans adopter toute la proposition : +1.	37	0			
13	État	Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics obligatoires.	0	1	https://www.gov.pl/web/primeminister/poland-a-year-of-breakthrough---the-prime-minister-unveils-polands-2025-economic-plan	Position intermédiaire : La coalition du 15 octobre veut améliorer la compétitivité, simplifier l’environnement des entreprises et attirer l’investissement tout en conservant des protections sociales importantes. Pour Pologne, sur Q13 (« Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics… »), elle ne tranche pas clairement l’arbitrage précis posé : 0.	37	0			
14	Social / société	La société devrait accepter beaucoup plus largement les différents modes de vie, même lorsqu'ils s'éloignent des normes traditionnelles.	1	1	https://www.gov.pl/web/primeminister/expose	Accord modéré : La coalition Tusk met l’accent sur le rétablissement de l’État de droit et des libertés, mais rassemble des partis du centre-droit à la gauche et reste partagée sur plusieurs sujets de société. Pour Pologne, sur Q14 (« La société devrait accepter beaucoup plus largement les différents modes de vie, même lorsqu'ils s'éloignent des normes traditionnelles. »), elle incline dans ce sens sans adopter toute la proposition : +1.	69	0			
16	Social / société	Réduire les inégalités peut parfois justifier de restreindre certaines libertés individuelles.	-1	1	https://www.gov.pl/web/primeminister/expose	Réserve modérée : La coalition Tusk met l’accent sur le rétablissement de l’État de droit et des libertés, mais rassemble des partis du centre-droit à la gauche et reste partagée sur plusieurs sujets de société. Pour Pologne, sur Q16 (« Réduire les inégalités peut parfois justifier de restreindre certaines libertés individuelles. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	69	0			
17	Social / société	Les politiques publiques devraient chercher à corriger activement les discriminations historiques ou structurelles entre groupes sociaux.	1	1	https://www.gov.pl/web/primeminister/expose	Accord modéré : La coalition Tusk met l’accent sur le rétablissement de l’État de droit et des libertés, mais rassemble des partis du centre-droit à la gauche et reste partagée sur plusieurs sujets de société. Pour Pologne, sur Q17 (« Les politiques publiques devraient chercher à corriger activement les discriminations historiques ou structurelles entre groupes sociaux. »), elle incline dans ce sens sans adopter toute la proposition : +1.	69	0			
19	Social / société	Certaines traditions et valeurs culturelles méritent d'être préservées même si elles évoluent moins vite que la société.	2	1	https://www.gov.pl/web/primeminister/expose	Accord net : La coalition Tusk met l’accent sur le rétablissement de l’État de droit et des libertés, mais rassemble des partis du centre-droit à la gauche et reste partagée sur plusieurs sujets de société. Pour Pologne, sur Q19 (« Certaines traditions et valeurs culturelles méritent d'être préservées même si elles évoluent moins vite que la société. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	69	0			
20	Immigration	La France devrait réduire le nombre d'immigrants qu'elle accueille chaque année.	3	3	https://www.gov.pl/web/primeminister/taking-back-control-ensuring-security	Accord très fort : Le gouvernement Tusk a fortement durci sa politique face à l’immigration irrégulière et à la frontière biélorusse, tout en conservant immigration de travail et exigences d’intégration. Pour Pologne, sur Q20 (« La France devrait réduire le nombre d'immigrants qu'elle accueille chaque année. »), cette orientation reprend presque entièrement le choix proposé : +3.	32	0.0833	Over the past eight years, the Polish state has lost control over the wave of illegal migration and the influx of immigrants has become a weapon in the internal political fights. Between 2018 and 2023, Poland issued more than 6 million visas, most of which (3.8 million) were work visas.	In recent months, Poland has rebuilt its credibility on the international stage and has become the key country responsible for the security of the eastern border of the European Union, both in terms of defence against foreign states and irregular immigrants. Poland will spend 4.3% of its GDP on defence this year and 4.7% next year, topping the list of spenders among NATO member states.	
21	Immigration	L'immigration économique est globalement bénéfique pour l'économie française.	2	1	https://www.gov.pl/web/primeminister/taking-back-control-ensuring-security	Accord net : Le gouvernement Tusk a fortement durci sa politique face à l’immigration irrégulière et à la frontière biélorusse, tout en conservant immigration de travail et exigences d’intégration. Pour Pologne, sur Q21 (« L'immigration économique est globalement bénéfique pour l'économie française. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	32	0			
23	Immigration	L'accès à la nationalité française devrait être rendu plus exigeant.	2	3	https://www.gov.pl/web/primeminister/taking-back-control-ensuring-security	Accord net : Le gouvernement Tusk a fortement durci sa politique face à l’immigration irrégulière et à la frontière biélorusse, tout en conservant immigration de travail et exigences d’intégration. Pour Pologne, sur Q23 (« L'accès à la nationalité française devrait être rendu plus exigeant. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	32	0			
24	Immigration	La France devrait être beaucoup plus stricte concernant l'expulsion des étrangers condamnés pour des crimes graves.	3	3	https://www.gov.pl/web/primeminister/taking-back-control-ensuring-security	Accord très fort : Le gouvernement Tusk a fortement durci sa politique face à l’immigration irrégulière et à la frontière biélorusse, tout en conservant immigration de travail et exigences d’intégration. Pour Pologne, sur Q24 (« La France devrait être beaucoup plus stricte concernant l'expulsion des étrangers condamnés pour des crimes graves. »), cette orientation reprend presque entièrement le choix proposé : +3.	32	0			
26	Immigration	La France devrait accueillir davantage de réfugiés lorsqu'ils fuient une guerre ou une persécution, même si cela représente un coût économique.	0	1	https://www.gov.pl/web/primeminister/taking-back-control-ensuring-security	Position intermédiaire : Le gouvernement Tusk a fortement durci sa politique face à l’immigration irrégulière et à la frontière biélorusse, tout en conservant immigration de travail et exigences d’intégration. Pour Pologne, sur Q26 (« La France devrait accueillir davantage de réfugiés lorsqu'ils fuient une guerre ou une persécution, même si cela représente un coût économique. »), elle ne tranche pas clairement l’arbitrage précis posé : 0.	32	0			
27	Sécurité / justice	Les peines de prison effectives devraient être plus sévères, même si cela augmente fortement la population carcérale.	2	1	https://www.gov.pl/web/primeminister/expose	Accord net : Le gouvernement Tusk donne une priorité élevée à la sécurité, à la défense, à la police et au contrôle des frontières dans un cadre démocratique et européen. Pour Pologne, sur Q27 (« Les peines de prison effectives devraient être plus sévères, même si cela augmente fortement la population carcérale. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	69	0			
28	Sécurité / justice	Il vaut mieux investir dans la prévention et la réinsertion que dans l'augmentation des sanctions.	1	1	https://www.gov.pl/web/primeminister/expose	Accord modéré : Le gouvernement Tusk donne une priorité élevée à la sécurité, à la défense, à la police et au contrôle des frontières dans un cadre démocratique et européen. Pour Pologne, sur Q28 (« Il vaut mieux investir dans la prévention et la réinsertion que dans l'augmentation des sanctions. »), elle incline dans ce sens sans adopter toute la proposition : +1.	69	0			
29	Sécurité / justice	La police devrait disposer de pouvoirs plus importants pour lutter contre la criminalité, quitte à accepter davantage de contrôles sur certaines libertés individuelles.	2	3	https://www.gov.pl/web/primeminister/expose	Accord net : Le gouvernement Tusk donne une priorité élevée à la sécurité, à la défense, à la police et au contrôle des frontières dans un cadre démocratique et européen. Pour Pologne, sur Q29 (« La police devrait disposer de pouvoirs plus importants pour lutter contre la criminalité, quitte à accepter davantage de contrôles sur certaines… »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	69	0			
33	Écologie	Il faut accepter une hausse importante du prix des énergies fossiles pour accélérer la transition écologique.	-2	3	https://www.gov.pl/web/primeminister/poland-a-year-of-breakthrough---the-prime-minister-unveils-polands-2025-economic-plan	Désaccord net : La politique polonaise accélère renouvelables et nucléaire mais accorde aussi une grande importance au coût de la transition, à l’industrie et à la sécurité énergétique. Pour Pologne, sur Q33 (« Il faut accepter une hausse importante du prix des énergies fossiles pour accélérer la transition écologique. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.	37	0			
36	Écologie	Il est justifié d'interdire certains produits ou comportements très polluants même lorsque les consommateurs les souhaitent.	0	1	https://www.gov.pl/web/primeminister/poland-a-year-of-breakthrough---the-prime-minister-unveils-polands-2025-economic-plan	Position intermédiaire : La politique polonaise accélère renouvelables et nucléaire mais accorde aussi une grande importance au coût de la transition, à l’industrie et à la sécurité énergétique. Pour Pologne, sur Q36 (« Il est justifié d'interdire certains produits ou comportements très polluants même lorsque les consommateurs les souhaitent. »), elle ne tranche pas clairement l’arbitrage précis posé : 0.	37	0			
37	Écologie	Les pays riches devraient supporter une part prépondérante du coût de la transition écologique mondiale.	0	1	https://www.gov.pl/web/primeminister/poland-a-year-of-breakthrough---the-prime-minister-unveils-polands-2025-economic-plan	Position intermédiaire : La politique polonaise accélère renouvelables et nucléaire mais accorde aussi une grande importance au coût de la transition, à l’industrie et à la sécurité énergétique. Pour Pologne, sur Q37 (« Les pays riches devraient supporter une part prépondérante du coût de la transition écologique mondiale. »), elle ne tranche pas clairement l’arbitrage précis posé : 0.	37	0			
40	Europe	L'euro est globalement bénéfique pour la France malgré la perte de certains instruments de politique économique.	-1	1	https://www.gov.pl/web/primeminister/poland-doubles-down-on-alliances-as-pm-tusk-returns-from-epc-summit	Réserve modérée : Le gouvernement Tusk est nettement pro-européen et cherche à replacer la Pologne au cœur de l’Union tout en défendant fermement ses intérêts nationaux. Pour Pologne, sur Q40 (« L'euro est globalement bénéfique pour la France malgré la perte de certains instruments de politique économique. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	28	0			
