qid	theme	question	score	confidence	source	justification	fetch_paragraphs	best_score	evidence_1	evidence_2	evidence_3
1	Économie	Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques.	-1	2	https://www.lamoncloa.gob.es/Documents/2025/appendix-II-map-of-commitments-december.pdf	Réserve modérée : La coalition PSOE–Sumar défend un État social renforcé, la redistribution, les droits du travail et une intervention publique active. Pour Espagne, sur Q1 (« Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	29	0			
2	Économie	Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque.	-1	2	https://www.lamoncloa.gob.es/Documents/2025/appendix-II-map-of-commitments-december.pdf	Réserve modérée : La coalition PSOE–Sumar défend un État social renforcé, la redistribution, les droits du travail et une intervention publique active. Pour Espagne, sur Q2 (« Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	29	0			
6	Économie	Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels.	-1	2	https://www.lamoncloa.gob.es/Documents/2025/appendix-II-map-of-commitments-december.pdf	Réserve modérée : La coalition PSOE–Sumar défend un État social renforcé, la redistribution, les droits du travail et une intervention publique active. Pour Espagne, sur Q6 (« Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	29	0.0479	December 2025 53 Bolster consumer rights 16 54 Review the Artists' Statute 3 55 Strengthen measures to protect consumers of financial services 4 56 Strengthen the culture industry 5 198 Mitigate the negative impacts of the trade war instigated by the Trump administration and build up a structure to protect our economy 1 200 Increase investment in security and defence, to attain the technical and human capabilities defined by NATO 5 Total commitments: 58 302 2.	STRENGTHEN THE WELFARE STATE Number Commitment Number of pronouncements 57 Ensure equitable universal access to healthcare and improve management of the National Health System 3 58 Continue to strengthen primary care and disease prevention 7 59 Take measures to reduce waiting lists in the National Health System 4 60 Look after National Health System professionals to improve healthcare and retain talent 5 61 Deliver on the right to high-quality public mental health services for all 7 62 Improve the range of services offered by the National Health System 11 63 Continue to modernize and innovate in the health system 10 64 Advance towards the optimization of the medication system 1 65 Improve public health surveillance and Spain’s capacity to respond to health crises 3 66 Develop instruments and policies which guarantee the right to a healthy and sustainable lifestyle, especially in childhood and adolescence 10 67 Implement and complement the road map to improve early care as a subjective right of all children 3 68 Adopt measures to prevent and treat addiction 4 69 Continue to increase funding for public education 1	
7	Économie	L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays.	1	2	https://www.lamoncloa.gob.es/Documents/2025/appendix-II-map-of-commitments-december.pdf	Accord modéré : La coalition PSOE–Sumar défend un État social renforcé, la redistribution, les droits du travail et une intervention publique active. Pour Espagne, sur Q7 (« L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays. »), elle incline dans ce sens sans adopter toute la proposition : +1.	29	0			
8	Économie	La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation.	-1	2	https://www.lamoncloa.gob.es/Documents/2025/appendix-II-map-of-commitments-december.pdf	Réserve modérée : La coalition PSOE–Sumar défend un État social renforcé, la redistribution, les droits du travail et une intervention publique active. Pour Espagne, sur Q8 (« La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	29	0			
9	État	La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire.	-1	2	https://www.lamoncloa.gob.es/Documents/2025/appendix-II-map-of-commitments-december.pdf	Réserve modérée : La coalition PSOE–Sumar défend un État social renforcé, la redistribution, les droits du travail et une intervention publique active. Pour Espagne, sur Q9 (« La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	29	0.0507	December 2025 114 Intensify public policy evaluation, increase accountability and expand transparency mechanisms 6 115 Implement safety initiatives to benefit vulnerable groups 4 116 Implement the Democratic Memory Act 3 196 Implement an Action Plan for Democracy, to empower Spain to protect and strengthen its democracy 2 199 Defend the quality, equity and prestige of our university system, penalizing practices that tarnish the reputation of our universities, both public and private, to ensure that they meet our standards of quality 1 201 Approve and implement a plan to combat corruption 1 Total commitments: 63 307 3.	STRENGTHEN THE WELFARE STATE Number Commitment Number of pronouncements 57 Ensure equitable universal access to healthcare and improve management of the National Health System 3 58 Continue to strengthen primary care and disease prevention 7 59 Take measures to reduce waiting lists in the National Health System 4 60 Look after National Health System professionals to improve healthcare and retain talent 5 61 Deliver on the right to high-quality public mental health services for all 7 62 Improve the range of services offered by the National Health System 11 63 Continue to modernize and innovate in the health system 10 64 Advance towards the optimization of the medication system 1 65 Improve public health surveillance and Spain’s capacity to respond to health crises 3 66 Develop instruments and policies which guarantee the right to a healthy and sustainable lifestyle, especially in childhood and adolescence 10 67 Implement and complement the road map to improve early care as a subjective right of all children 3 68 Adopt measures to prevent and treat addiction 4 69 Continue to increase funding for public education 1	IMPROVE ACCESS TO HOUSING Number Commitment Number of pronouncements 117 Implement the measures provided for in the Right to Housing Act to contain and regulate rent prices and to guarantee protection mechanisms regarding evictions 5 118 Establish and apply mechanisms to safeguard and promote the right to decent, adequate and affordable housing in urban and rural areas 5 119 Make 184,000 State-owned homes available for affordable rent, expanding the public portfolio of homes available for affordable rent to 20% of all housing 5 120 Support young people's access to housing through incentives to buy or rent 7 121 Implement mortgage relief measures 4 122 Formulate a legal and tax framework to increase the number of homes available for rent 3 123 Review the legislation on tourist accommodation and on housing not used for residential purposes in areas declared as high-pressure 3 124 Give priority to and boost the renovation of housing, especially to improve energy efficiency 3 125 Advance in the planning of housing policy, incorporating transparency and participation 3 126 Boost urban regeneration and implement Spain's urban agenda 3
13	État	Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics obligatoires.	-2	2	https://www.lamoncloa.gob.es/Documents/2025/appendix-II-map-of-commitments-december.pdf	Désaccord net : La coalition PSOE–Sumar défend un État social renforcé, la redistribution, les droits du travail et une intervention publique active. Pour Espagne, sur Q13 (« Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics… »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.	29	0			
19	Social / société	Certaines traditions et valeurs culturelles méritent d'être préservées même si elles évoluent moins vite que la société.	-1	2	https://www.lamoncloa.gob.es/Documents/2025/appendix-II-map-of-commitments-december.pdf	Réserve modérée : Le gouvernement est progressiste sur l’égalité, les modes de vie et la lutte contre les discriminations. Pour Espagne, sur Q19 (« Certaines traditions et valeurs culturelles méritent d'être préservées même si elles évoluent moins vite que la société. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	29	0			
20	Immigration	La France devrait réduire le nombre d'immigrants qu'elle accueille chaque année.	-2	2	https://www.lamoncloa.gob.es/Documents/2025/appendix-II-map-of-commitments-december.pdf	Désaccord net : La ligne est relativement ouverte et fondée sur les droits, avec maintien des expulsions en cas de criminalité grave. Pour Espagne, sur Q20 (« La France devrait réduire le nombre d'immigrants qu'elle accueille chaque année. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.	29	0			
23	Immigration	L'accès à la nationalité française devrait être rendu plus exigeant.	-1	2	https://www.lamoncloa.gob.es/Documents/2025/appendix-II-map-of-commitments-december.pdf	Réserve modérée : La ligne est relativement ouverte et fondée sur les droits, avec maintien des expulsions en cas de criminalité grave. Pour Espagne, sur Q23 (« L'accès à la nationalité française devrait être rendu plus exigeant. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	29	0			
