qid	theme	question	score	confidence	source	justification
2	Économie	Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque.	1	2	https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970	Accord modéré : L’accord CDU/CSU–SPD combine compétitivité, allègement administratif, investissement public et maintien de l’État social. Transposition ou inférence prudente.
3	Économie	L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités.	-1	2	https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970	Réserve : L’accord CDU/CSU–SPD combine compétitivité, allègement administratif, investissement public et maintien de l’État social. Transposition ou inférence prudente.
6	Économie	Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels.	1	2	https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970	Accord modéré : L’accord CDU/CSU–SPD combine compétitivité, allègement administratif, investissement public et maintien de l’État social. Transposition ou inférence prudente.
8	Économie	La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation.	2	2	https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970	Accord net : L’accord CDU/CSU–SPD combine compétitivité, allègement administratif, investissement public et maintien de l’État social. Transposition ou inférence prudente.
12	État	L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables.	1	2	https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970	Accord modéré : L’accord CDU/CSU–SPD combine compétitivité, allègement administratif, investissement public et maintien de l’État social. Transposition ou inférence prudente.
13	État	Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics obligatoires.	1	2	https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970	Accord modéré : L’accord CDU/CSU–SPD combine compétitivité, allègement administratif, investissement public et maintien de l’État social. Transposition ou inférence prudente.
14	Social / société	La société devrait accepter beaucoup plus largement les différents modes de vie, même lorsqu'ils s'éloignent des normes traditionnelles.	2	2	https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970	Accord net : La coalition est socialement modérée : protection des libertés et lutte contre les discriminations, avec une place maintenue pour les traditions. Transposition ou inférence prudente.
17	Social / société	Les politiques publiques devraient chercher à corriger activement les discriminations historiques ou structurelles entre groupes sociaux.	2	2	https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970	Accord net : La coalition est socialement modérée : protection des libertés et lutte contre les discriminations, avec une place maintenue pour les traditions. Transposition ou inférence prudente.
19	Social / société	Certaines traditions et valeurs culturelles méritent d'être préservées même si elles évoluent moins vite que la société.	1	2	https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970	Accord modéré : La coalition est socialement modérée : protection des libertés et lutte contre les discriminations, avec une place maintenue pour les traditions. Transposition ou inférence prudente.
23	Immigration	L'accès à la nationalité française devrait être rendu plus exigeant.	2	2	https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970	Accord net : Le gouvernement veut réduire l’immigration irrégulière tout en facilitant l’immigration qualifiée et l’intégration. Transposition ou inférence prudente.
25	Immigration	Même lorsque l'immigration est économiquement bénéfique, elle peut être légitimement limitée pour préserver la cohésion culturelle du pays.	2	2	https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970	Accord net : Le gouvernement veut réduire l’immigration irrégulière tout en facilitant l’immigration qualifiée et l’intégration. Transposition ou inférence prudente.
27	Sécurité / justice	Les peines de prison effectives devraient être plus sévères, même si cela augmente fortement la population carcérale.	1	2	https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970	Accord modéré : La ligne gouvernementale renforce les moyens de sécurité et l’exécution des décisions, sous contrôle de l’État de droit. Transposition ou inférence prudente.
