qid	theme	question	score	confidence	source	justification	fetch_paragraphs	best_score	evidence_1	evidence_2	evidence_3
1	Économie	Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques.	1	2	https://rassemblementnational.fr/22-mesures	Accord modéré : Le RN veut baisser plusieurs impôts et taxes pour les ménages et entreprises, supprimer l’IFI au profit d’un impôt sur la fortune financière et réduire les droits de succession pour les familles modestes et moyennes. Pour RN, sur Q1 (« Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques. »), elle incline dans ce sens sans adopter toute la proposition : +1.	82	0.1540	Supprimer les ARS et réduire à 10% les postes administratifs dans les hôpitaux pour libérer des moyens pour les soignants.	Supprimer la bureaucratie de l’Education nationale pour libérer des moyens financiers, réduire les effectifs des classes et arrêter les fermetures d’écoles.	Supprimer les impôts sur l’héritage direct pour les familles modestes et les classes moyennes.
2	Économie	Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque.	1	1	https://rassemblementnational.fr/22-mesures	Accord modéré : Le RN veut baisser plusieurs impôts et taxes pour les ménages et entreprises, supprimer l’IFI au profit d’un impôt sur la fortune financière et réduire les droits de succession pour les familles modestes et moyennes. Pour RN, sur Q2 (« Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque. »), elle incline dans ce sens sans adopter toute la proposition : +1.	82	0.0966	Revaloriser les salaires des personnels soignants à hauteur de leur travail.	4 Baisser la TVA de 20% à 5.5% sur les produits énergétiques (carburants, fioul, gaz et électricité) en tant que biens de première nécessité.	Réindexer les retraites sur l’inflation pour un pouvoir d’achat respectueux d’une vie de travail.
3	Économie	L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités.	-1	2	https://rassemblementnational.fr/22-mesures	Réserve modérée : Le RN veut baisser plusieurs impôts et taxes pour les ménages et entreprises, supprimer l’IFI au profit d’un impôt sur la fortune financière et réduire les droits de succession pour les familles modestes et moyennes. Pour RN, sur Q3 (« L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	82	0.1126	21 Créer un ministère d’État de la Mer et de l’Outre-mer.	16 Supprimer l’IFI qui taxe l’enracinement et créer un IFF, impôt sur la fortune financière, pour taxer la spéculation.	Supprimer les ARS et réduire à 10% les postes administratifs dans les hôpitaux pour libérer des moyens pour les soignants.
4	Économie	Les entreprises devraient être obligées de limiter l’écart entre la rémunération de leurs dirigeants et celle de leurs salariés les moins bien payés.	-2	3	https://www.assemblee-nationale.fr/dyn/docs/RAPPANR5L17B0618.raw	Désaccord net : le RN a rejeté le principe d’un plafond légal entre plus basse et plus haute rémunération, tout en reconnaissant certains excès et en préférant agir sur les bas salaires ou les indemnités exceptionnelles des dirigeants.	238	0.3048	En France, à la fin des années 1970, le rapport moyen entre le salaire ouvrier et la rémunération des dirigeants des grandes entreprises (hors stock-options et attributions gratuites d’actions) était de l’ordre de 1 à 40 ( [1] ) . Cet écart se creuse depuis d’année en année. D’après l’association Oxfam, entre 2011 et 2021, l’écart de rémunération entre le salaire moyen des dirigeants des cent plus grandes entreprises cotées en Bourse et le salaire médian de leurs salariés est ainsi passé de 64 à 97 et de 96 à 163 pour les seules entreprises du CAC 40 . Sur la période analysée, la rémunération des dirigeants a augmenté de 66 % tandis que celle des salariés de ces mêmes entreprises, de 21 % ( [2] ) .	L’article 1 er plafonne la rémunération maximale dans une entreprise à vingt fois le montant du salaire le plus faible versé dans cette même entreprise. Cet écart est cohérent avec ce qui se pratique dans le secteur public depuis 2012. Je tiens à souligner que la très grande majorité des entreprises le respectent déjà, si bien que les seules concernées par notre proposition de loi sont les moins vertueuses. Si la rémunération la plus basse d’une entreprise se situe au niveau du Smic, son PDG pourra percevoir 340 000 euros net par an, soit 28 500 euros par mois ! Or, d’après l’Institut national de la statistique et des études économiques (Insee), la rémunération moyenne des dirigeants d’entreprise s’élève à 5 000 euros net par mois, soit quatre fois le Smic, très loin des montants stratosphériques qui justifient cette proposition de loi. Notre proposition procède enfin d’un cercle vertueux car elle fixe non pas un plafond mais un écart. Si les dirigeants les mieux payés veulent continuer de l’être, ils le pourront à condition d’augmenter à due proportion les salaires les plus bas.	Mme Béatrice Bellay (SOC). Nous remercions nos camarades du groupe LFI-NFP d’avoir déposé cette proposition de loi, qui reprend celle de notre collègue Dominique Potier, discutée en 2021 et visant à répondre au problème moral, social et même sociétal que posent les écarts de salaire. De 2011 à 2021, la rémunération des dirigeants des cent plus grandes entreprises françaises a crû en moyenne de 66 %, tandis que celle des salariés n’augmentait que de 21 %. On fait croire que les PDG sont plus méritants que les salariés, et que les résultats des entreprises ne reposent que sur leur génie exceptionnel, au point de justifier qu’ils perçoivent des rémunérations des milliers de fois supérieures. Ce modèle nous mène vers une rupture au sein de notre société ; il nourrit le mécontentement de nos concitoyens, qui ne le comprennent pas. Les arguments que l’on nous oppose ne sont pas admissibles.
5	Économie	Le salaire minimum devrait être augmenté significativement.	0	2	https://rassemblementnational.fr/documents/202406-programme.pdf	Position intermédiaire : le RN privilégie surtout l'augmentation du salaire net par des baisses de cotisations et des exonérations plutôt qu'une hausse générale et significative du SMIC.	65	0			
6	Économie	Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels.	0	1	https://rassemblementnational.fr/22-mesures	Position intermédiaire : Le RN combine baisse d’impôts et soutien aux entreprises avec intervention publique, patriotisme économique, renationalisation des autoroutes et fonds souverain ; sa ligne n’est donc ni libérale pure ni étatiste pure. Pour RN, sur Q6 (« Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels. »), elle ne tranche pas clairement l’arbitrage précis posé : 0.	82	0.1027	Lancer un plan de réhabilitation de l’habitat ancien grâce à des aides efficaces.	21 Créer un ministère d’État de la Mer et de l’Outre-mer.	19 Créer un « fonds souverain français » pour augmenter la rémunération de l’épargne des Français et l’orienter vers des secteurs stratégiques et l’innovation.
7	Économie	L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays.	2	2	https://rassemblementnational.fr/22-mesures	Accord net : Le RN combine baisse d’impôts et soutien aux entreprises avec intervention publique, patriotisme économique, renationalisation des autoroutes et fonds souverain ; sa ligne n’est donc ni libérale pure ni étatiste pure. Pour RN, sur Q7 (« L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	82	0.0925	Réindexer les retraites sur l’inflation pour un pouvoir d’achat respectueux d’une vie de travail.	21 Créer un ministère d’État de la Mer et de l’Outre-mer.	
8	Économie	La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation.	0	1	https://rassemblementnational.fr/22-mesures	Position intermédiaire : Le RN combine baisse d’impôts et soutien aux entreprises avec intervention publique, patriotisme économique, renationalisation des autoroutes et fonds souverain ; sa ligne n’est donc ni libérale pure ni étatiste pure. Pour RN, sur Q8 (« La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation. »), elle ne tranche pas clairement l’arbitrage précis posé : 0.	82	0.1307	13 Défendre nos agriculteurs et une alimentation de qualité pour tous.	Généraliser l’étiquetage sur l’origine et la qualité des produits alimentaires.	19 Créer un « fonds souverain français » pour augmenter la rémunération de l’épargne des Français et l’orienter vers des secteurs stratégiques et l’innovation.
9	État	La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire.	1	2	https://rassemblementnational.fr/documents/202406-programme.pdf	Accord modéré : le RN propose désormais des économies et une réduction de certaines dépenses publiques, tout en maintenant des dépenses sociales, régaliennes et interventionnistes importantes.	65	0.1818	L ’IMPÉRATIF DE TRANSMISSION. 18 1 Mettre l’État au service de la prospérité nationale Lancer dès le Projet de loi de finances pour 2025, un plan de rationalisation des agences publiques de l’Etat (suppression notamment des ARS, réduction des dépenses de fonctionnement) Privatiser l’audiovisuel public Réduire la dépense sociale par la mise en place de la priorité nationale Simplifier drastiquement le millefeuille territorial pour réduire la dépense et rendre du pouvoir aux élus de proximité Depuis des décennies, les gouvernements successifs ont déconstruit l’école, entrainant un effon- drement de son niveau qui prive notre jeunesse d’avenir et pénalise les acteurs économiques.	Les choix économiques des gouvernements précédents reposent sur une conception naïve des flux mondiaux et de la concurrence internationale, qui affaiblit la France sur la scène européenne, en- trainant la création de mini-jobs, le gaspillage de l’argent public et la dégradation profonde du tissu économique national.	Négocier une réforme du mandat de la BCE pour la tourner vers l’emploi, la productivité et le financement de projets stratégiques de long terme Sortir des règles européennes de fixation des prix de l’énergie qui affaiblissent notre compétitivité Lancer le plan Marie Curie de relance du nucléaire (EPR, SMR, réacteurs à neutrons rapides) Protéger les barrages hydroélectriques de la mise en concurrence voulue par Bruxelles Investir dans les barrages hydroélectriques pour augmenter leur capacité de production Sortir définitivement du charbon en convertissant les centrales en biomasse et développer les technologies vertes comme l’hydrogène et la géothermie Depuis trop longtemps, et singulièrement depuis le référendum de 2005, une grande partie du peuple a le sentiment que les décisions politiques se font sans son assentiment.
10	État	L'État devrait garantir un niveau élevé de protection sociale, même si cela implique une fiscalité importante.	1	2	https://rassemblementnational.fr/documents/202406-programme.pdf	Accord modéré : le RN veut préserver une protection sociale élevée pour les Français, mais refuse qu'elle repose sur une fiscalité globalement élevée et cherche parallèlement à réduire plusieurs prélèvements.	65	0.1498	Nous devons désormais rebâtir une politique, fondée sur la libération des forces économiques, la protection des entreprises et des travailleurs, et la remise en ordre de l’État et de sa place dans l’économie.	8 9 LE TEMPS DES RÉFORMES D ans la continuité du programme présidentiel de 2022 de Marine Le Pen, le temps des réformes visera à répondre à trois enjeux fondamentaux de notre pays : LE DEVOIR DE PROTECTION LE BESOIN DE PROJECTION LE SOUCI DE TRANSMISSION C es politiques seront lancées dès l’automne 2024 et découleront en partie des conclusions : DE LA COMMISSION D’ÉVALUATION DES COMPTES PUBLICS DES ÉTATS GÉNÉRAUX DE LA SIMPLIFICATION DE LA CONFÉRENCE SOCIALE SUR LES SALAIRES ET LES CONDITIONS DE TRAVAIL	L ’IMPÉRATIF DE TRANSMISSION. 18 1 Mettre l’État au service de la prospérité nationale Lancer dès le Projet de loi de finances pour 2025, un plan de rationalisation des agences publiques de l’Etat (suppression notamment des ARS, réduction des dépenses de fonctionnement) Privatiser l’audiovisuel public Réduire la dépense sociale par la mise en place de la priorité nationale Simplifier drastiquement le millefeuille territorial pour réduire la dépense et rendre du pouvoir aux élus de proximité Depuis des décennies, les gouvernements successifs ont déconstruit l’école, entrainant un effon- drement de son niveau qui prive notre jeunesse d’avenir et pénalise les acteurs économiques.
