qid	theme	question	score	confidence	current_source	current_justification	old_source	old_justification
1	Économie	Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques.	3	3	https://www.unenouvelleenergie.fr/notre-programme/reussir-une-nouvelle-ambition-francaise/	Accord très fort : Nouvelle Énergie veut réduire fortement les charges sur le capital et le travail, les impôts de production et les rigidités du droit du travail, tout en privilégiant l’investissement, le mérite et la prise de risque. Pour Nouvelle Énergie, sur Q1 (« Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques. »), cette orientation reprend presque entièrement le choix proposé : +3.	https://www.unenouvelleenergie.fr/notre-programme/	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
2	Économie	Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque.	2	2	https://www.unenouvelleenergie.fr/notre-programme/reussir-une-nouvelle-ambition-francaise/	Accord net : Nouvelle Énergie veut réduire fortement les charges sur le capital et le travail, les impôts de production et les rigidités du droit du travail, tout en privilégiant l’investissement, le mérite et la prise de risque. Pour Nouvelle Énergie, sur Q2 (« Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	https://www.unenouvelleenergie.fr/notre-programme/	Accord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
3	Économie	L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités.	-3	2	https://www.unenouvelleenergie.fr/notre-programme/reussir-une-nouvelle-ambition-francaise/	Désaccord très fort : Nouvelle Énergie veut réduire fortement les charges sur le capital et le travail, les impôts de production et les rigidités du droit du travail, tout en privilégiant l’investissement, le mérite et la prise de risque. Pour Nouvelle Énergie, sur Q3 (« L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités. »), elle contredit presque entièrement le choix proposé : -3.	https://www.unenouvelleenergie.fr/notre-programme/	Désaccord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
5	Économie	Le salaire minimum devrait être augmenté significativement.	-2	2	https://www.unenouvelleenergie.fr/notre-programme/reussir-une-nouvelle-ambition-francaise/	Désaccord net : Nouvelle Énergie veut réduire fortement les charges sur le capital et le travail, les impôts de production et les rigidités du droit du travail, tout en privilégiant l’investissement, le mérite et la prise de risque. Pour Nouvelle Énergie, sur Q5 (« Le salaire minimum devrait être augmenté significativement. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.	https://www.unenouvelleenergie.fr/notre-programme/	Désaccord net : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
6	Économie	Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels.	2	2	https://www.unenouvelleenergie.fr/notre-programme/	Accord net : Nouvelle Énergie revendique une doctrine ordo-libérale fondée sur la liberté et la responsabilité individuelles, un État recentré sur ses missions essentielles et une confiance prioritaire dans l’initiative privée. Pour Nouvelle Énergie, sur Q6 (« Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	https://www.unenouvelleenergie.fr/notre-programme/	Accord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
7	Économie	L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays.	-2	2	https://www.unenouvelleenergie.fr/notre-programme/	Désaccord net : Nouvelle Énergie revendique une doctrine ordo-libérale fondée sur la liberté et la responsabilité individuelles, un État recentré sur ses missions essentielles et une confiance prioritaire dans l’initiative privée. Pour Nouvelle Énergie, sur Q7 (« L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.	https://www.unenouvelleenergie.fr/notre-programme/	Désaccord net : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
8	Économie	La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation.	3	3	https://www.unenouvelleenergie.fr/notre-programme/	Accord très fort : Nouvelle Énergie revendique une doctrine ordo-libérale fondée sur la liberté et la responsabilité individuelles, un État recentré sur ses missions essentielles et une confiance prioritaire dans l’initiative privée. Pour Nouvelle Énergie, sur Q8 (« La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation. »), cette orientation reprend presque entièrement le choix proposé : +3.	https://www.unenouvelleenergie.fr/notre-programme/	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
9	État	La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire.	3	3	https://www.unenouvelleenergie.fr/notre-programme/reussir-une-nouvelle-ambition-francaise/	Accord très fort : Nouvelle Énergie veut réduire fortement les charges sur le capital et le travail, les impôts de production et les rigidités du droit du travail, tout en privilégiant l’investissement, le mérite et la prise de risque. Pour Nouvelle Énergie, sur Q9 (« La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire. »), cette orientation reprend presque entièrement le choix proposé : +3.	https://www.unenouvelleenergie.fr/notre-programme/	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
10	État	L'État devrait garantir un niveau élevé de protection sociale, même si cela implique une fiscalité importante.	-1	2	https://www.unenouvelleenergie.fr/notre-programme/reussir-une-nouvelle-ambition-francaise/	Réserve modérée : Nouvelle Énergie veut réduire fortement les charges sur le capital et le travail, les impôts de production et les rigidités du droit du travail, tout en privilégiant l’investissement, le mérite et la prise de risque. Pour Nouvelle Énergie, sur Q10 (« L'État devrait garantir un niveau élevé de protection sociale, même si cela implique une fiscalité importante. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	https://www.unenouvelleenergie.fr/notre-programme/	Réserve : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
12	État	L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables.	-2	2	https://www.unenouvelleenergie.fr/notre-programme/	Désaccord net : Nouvelle Énergie revendique une doctrine ordo-libérale fondée sur la liberté et la responsabilité individuelles, un État recentré sur ses missions essentielles et une confiance prioritaire dans l’initiative privée. Pour Nouvelle Énergie, sur Q12 (« L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.	https://www.unenouvelleenergie.fr/notre-programme/	Désaccord net : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
13	État	Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics obligatoires.	3	3	https://www.unenouvelleenergie.fr/notre-programme/	Accord très fort : Nouvelle Énergie revendique une doctrine ordo-libérale fondée sur la liberté et la responsabilité individuelles, un État recentré sur ses missions essentielles et une confiance prioritaire dans l’initiative privée. Pour Nouvelle Énergie, sur Q13 (« Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics… »), cette orientation reprend presque entièrement le choix proposé : +3.	https://www.unenouvelleenergie.fr/notre-programme/	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
14	Social / société	La société devrait accepter beaucoup plus largement les différents modes de vie, même lorsqu'ils s'éloignent des normes traditionnelles.	0	2	https://www.unenouvelleenergie.fr/decouvrir-notre-parti/notre-credo/	Position intermédiaire : Nouvelle Énergie place la liberté individuelle, la responsabilité, le mérite et l’universalisme républicain au centre de son projet, tout en rejetant les courants identitaires qu’elle qualifie de racialistes ou wokistes. Pour Nouvelle Énergie, sur Q14 (« La société devrait accepter beaucoup plus largement les différents modes de vie, même lorsqu'ils s'éloignent des normes traditionnelles. »), elle ne tranche pas clairement l’arbitrage précis posé : 0.	https://www.unenouvelleenergie.fr/notre-programme/	Position équilibrée ou non tranchée : codage cohérent avec la ligne programmatique générale du parti sur social / société.
16	Social / société	Réduire les inégalités peut parfois justifier de restreindre certaines libertés individuelles.	-3	2	https://www.unenouvelleenergie.fr/decouvrir-notre-parti/notre-credo/	Désaccord très fort : Nouvelle Énergie place la liberté individuelle, la responsabilité, le mérite et l’universalisme républicain au centre de son projet, tout en rejetant les courants identitaires qu’elle qualifie de racialistes ou wokistes. Pour Nouvelle Énergie, sur Q16 (« Réduire les inégalités peut parfois justifier de restreindre certaines libertés individuelles. »), elle contredit presque entièrement le choix proposé : -3.	https://www.unenouvelleenergie.fr/notre-programme/	Désaccord fort : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.
17	Social / société	Les politiques publiques devraient chercher à corriger activement les discriminations historiques ou structurelles entre groupes sociaux.	-1	2	https://www.unenouvelleenergie.fr/decouvrir-notre-parti/notre-credo/	Réserve modérée : Nouvelle Énergie place la liberté individuelle, la responsabilité, le mérite et l’universalisme républicain au centre de son projet, tout en rejetant les courants identitaires qu’elle qualifie de racialistes ou wokistes. Pour Nouvelle Énergie, sur Q17 (« Les politiques publiques devraient chercher à corriger activement les discriminations historiques ou structurelles entre groupes sociaux. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	https://www.unenouvelleenergie.fr/notre-programme/	Réserve : codage cohérent avec la ligne programmatique générale du parti sur social / société.
