qid	theme	question	score	confidence	source	justification
17	Social / société	Les politiques publiques devraient chercher à corriger activement les discriminations historiques ou structurelles entre groupes sociaux.	2	3	https://lafrancehumaniste.fr/articles/le-moment-francais-sorbonne.html	Accord net : codage fondé sur les documents officiels retenus pour le thème « Social / société ». Niveau de preuve : position ou mesure explicitement documentée.
19	Social / société	Certaines traditions et valeurs culturelles méritent d'être préservées même si elles évoluent moins vite que la société.	2	3	https://lafrancehumaniste.fr/articles/le-moment-francais-sorbonne.html	Accord net : codage fondé sur les documents officiels retenus pour le thème « Social / société ». Niveau de preuve : position ou mesure explicitement documentée.
24	Immigration	La France devrait être beaucoup plus stricte concernant l'expulsion des étrangers condamnés pour des crimes graves.	2	2	https://lafrancehumaniste.fr/articles/la-france-face-au-piege-identitaire.html	Accord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
28	Sécurité / justice	Il vaut mieux investir dans la prévention et la réinsertion que dans l'augmentation des sanctions.	2	2	https://lafrancehumaniste.fr/articles/la-lutte-antiterroriste.html	Accord fort : codage fondé sur les documents officiels retenus pour le thème « Sécurité / justice ». Niveau de preuve : orientation cohérente étayée par plusieurs éléments.
36	Écologie	Il est justifié d'interdire certains produits ou comportements très polluants même lorsque les consommateurs les souhaitent.	2	2	https://lafrancehumaniste.fr/articles/pourquoi-je-suis-ecogaulliste.html	Accord net : codage fondé sur les documents officiels retenus pour le thème « Écologie ». Niveau de preuve : orientation cohérente étayée par plusieurs éléments.
54	État / entreprises	L'État devrait davantage utiliser son pouvoir d'actionnaire pour orienter les grandes entreprises françaises vers des objectifs industriels de long terme.	3	3	https://lafrancehumaniste.fr/articles/le-sursaut-budgetaire.html	Accord fort : codage fondé sur les documents officiels retenus pour le thème « État / entreprises ». Niveau de preuve : position ou mesure explicitement documentée.
64	Libertés / expression	Une personne qui tient publiquement des propos profondément offensants mais qui n'appelle ni à la violence ni à commettre une infraction devrait être protégée par la liberté d'expression.	2	3	https://lafrancehumaniste.fr/articles/la-lutte-antiterroriste.html	Accord net : codage fondé sur les documents officiels retenus pour le thème « Libertés / expression ». Niveau de preuve : position ou mesure explicitement documentée.
66	Sécurité	Lorsqu’un conducteur refuse d’obtempérer et prend la fuite, les policiers devraient pouvoir utiliser leur arme à feu même si le danger pour leur vie n’est pas immédiat.	-1	2	https://lafrancehumaniste.fr/articles/la-lutte-antiterroriste.html	Réserve : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
88	Défense / dissuasion nucléaire	La dissuasion nucléaire française devrait aussi protéger les partenaires européens, tout en laissant à la France seule la décision finale de l'employer.	3	3	https://lafrancehumaniste.fr/articles/moment-europeen-europe-souveraine.html	Accord fort : codage fondé sur les documents officiels retenus pour le thème « Défense / dissuasion nucléaire ». Niveau de preuve : position ou mesure explicitement documentée.
89	Santé / fin de vie	Une personne majeure atteinte d'une maladie grave et incurable provoquant des souffrances insupportables devrait pouvoir recevoir une aide médicale à mourir dans un cadre strictement contrôlé.	1	1	https://lafrancehumaniste.fr/articles/protection-sociale.html	Accord modéré : codage fondé sur les documents officiels retenus pour le thème « Santé / fin de vie ». Niveau de preuve : analogie prudente, sans proposition parfaitement équivalente.
93	Numérique / intelligence artificielle	Les administrations publiques devraient privilégier des modèles d'intelligence artificielle hébergés en Europe, même s'ils sont temporairement moins performants ou plus coûteux que leurs concurrents étrangers.	2	3	https://lafrancehumaniste.fr/articles/ia-pouvoir-de-dire-non-monopole-americain.html	Accord fort : codage fondé sur les documents officiels retenus pour le thème « Numérique / intelligence artificielle ». Niveau de preuve : position ou mesure explicitement documentée.
