qid	theme	question	score	confidence	current_source	current_justification	old_source	old_justification
1	Économie	Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques.	-3	2	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/	Désaccord très fort : LFI veut partager davantage les richesses, faire contribuer plus fortement les hauts revenus et les grandes fortunes, limiter les écarts de rémunération et conditionner les aides publiques aux entreprises. Pour LFI, sur Q1 (« Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques. »), elle contredit presque entièrement le choix proposé : -3.	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/	Désaccord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
2	Économie	Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque.	-1	2	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/	Réserve modérée : LFI veut partager davantage les richesses, faire contribuer plus fortement les hauts revenus et les grandes fortunes, limiter les écarts de rémunération et conditionner les aides publiques aux entreprises. Pour LFI, sur Q2 (« Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	https://lafranceinsoumise.fr/	Réserve : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
3	Économie	L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités.	3	3	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/	Accord très fort : LFI veut partager davantage les richesses, faire contribuer plus fortement les hauts revenus et les grandes fortunes, limiter les écarts de rémunération et conditionner les aides publiques aux entreprises. Pour LFI, sur Q3 (« L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités. »), cette orientation reprend presque entièrement le choix proposé : +3.	https://lafranceinsoumise.fr/	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
5	Économie	Le salaire minimum devrait être augmenté significativement.	3	3	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/	Accord très fort : LFI veut partager davantage les richesses, faire contribuer plus fortement les hauts revenus et les grandes fortunes, limiter les écarts de rémunération et conditionner les aides publiques aux entreprises. Pour LFI, sur Q5 (« Le salaire minimum devrait être augmenté significativement. »), cette orientation reprend presque entièrement le choix proposé : +3.	https://lafranceinsoumise.fr/	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
6	Économie	Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels.	-3	2	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-3-sortir-du-libre-echange-et-relocaliser/	Désaccord très fort : LFI veut soustraire plusieurs biens essentiels à la logique de marché, développer des filières et pôles publics et encadrer fortement les entreprises par des objectifs sociaux et écologiques. Pour LFI, sur Q6 (« Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels. »), elle contredit presque entièrement le choix proposé : -3.	https://lafranceinsoumise.fr/	Désaccord fort : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
7	Économie	L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays.	3	3	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-3-sortir-du-libre-echange-et-relocaliser/	Accord très fort : LFI veut soustraire plusieurs biens essentiels à la logique de marché, développer des filières et pôles publics et encadrer fortement les entreprises par des objectifs sociaux et écologiques. Pour LFI, sur Q7 (« L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays. »), cette orientation reprend presque entièrement le choix proposé : +3.	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
8	Économie	La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation.	-3	2	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-3-sortir-du-libre-echange-et-relocaliser/	Désaccord très fort : LFI veut soustraire plusieurs biens essentiels à la logique de marché, développer des filières et pôles publics et encadrer fortement les entreprises par des objectifs sociaux et écologiques. Pour LFI, sur Q8 (« La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation. »), elle contredit presque entièrement le choix proposé : -3.	https://lafranceinsoumise.fr/	Désaccord fort : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
9	État	La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire.	-3	3	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/	Désaccord très fort : LFI veut partager davantage les richesses, faire contribuer plus fortement les hauts revenus et les grandes fortunes, limiter les écarts de rémunération et conditionner les aides publiques aux entreprises. Pour LFI, sur Q9 (« La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire. »), elle contredit presque entièrement le choix proposé : -3.	https://lafranceinsoumise.fr/	Désaccord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
10	État	L'État devrait garantir un niveau élevé de protection sociale, même si cela implique une fiscalité importante.	3	3	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/	Accord très fort : LFI veut partager davantage les richesses, faire contribuer plus fortement les hauts revenus et les grandes fortunes, limiter les écarts de rémunération et conditionner les aides publiques aux entreprises. Pour LFI, sur Q10 (« L'État devrait garantir un niveau élevé de protection sociale, même si cela implique une fiscalité importante. »), cette orientation reprend presque entièrement le choix proposé : +3.	https://lafranceinsoumise.fr/	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
12	État	L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables.	3	3	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-3-sortir-du-libre-echange-et-relocaliser/	Accord très fort : LFI veut soustraire plusieurs biens essentiels à la logique de marché, développer des filières et pôles publics et encadrer fortement les entreprises par des objectifs sociaux et écologiques. Pour LFI, sur Q12 (« L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables. »), cette orientation reprend presque entièrement le choix proposé : +3.	https://lafranceinsoumise.fr/	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
