qid	theme	question	score	confidence	source	justification
1	Économie	Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques.	-2	2	https://projet-socialiste.fr/projet/vivre-libres/	Désaccord net : Le Projet socialiste 2026 veut relever le SMIC, limiter à 1 pour 20 les écarts de rémunération, taxer davantage le capital et reprendre en main certains prix et marchés par la puissance publique. Pour PS, sur Q1 (« Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.
2	Économie	Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque.	0	2	https://projet-socialiste.fr/projet/vivre-libres/	Position intermédiaire : Le Projet socialiste 2026 veut relever le SMIC, limiter à 1 pour 20 les écarts de rémunération, taxer davantage le capital et reprendre en main certains prix et marchés par la puissance publique. Pour PS, sur Q2 (« Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque. »), elle ne tranche pas clairement l’arbitrage précis posé : 0.
3	Économie	L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités.	2	3	https://projet-socialiste.fr/projet/vivre-libres/	Accord net : Le Projet socialiste 2026 veut relever le SMIC, limiter à 1 pour 20 les écarts de rémunération, taxer davantage le capital et reprendre en main certains prix et marchés par la puissance publique. Pour PS, sur Q3 (« L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.
5	Économie	Le salaire minimum devrait être augmenté significativement.	2	3	https://projet-socialiste.fr/projet/vivre-libres/	Accord net : Le Projet socialiste 2026 veut relever le SMIC, limiter à 1 pour 20 les écarts de rémunération, taxer davantage le capital et reprendre en main certains prix et marchés par la puissance publique. Pour PS, sur Q5 (« Le salaire minimum devrait être augmenté significativement. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.
6	Économie	Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels.	-1	2	https://projet-socialiste.fr/projet/vivre-libres/	Réserve modérée : Le PS veut davantage de régulation publique, une économie sociale et solidaire plus importante, des prises de contrôle dans certains secteurs stratégiques et une protection sociale principalement collective. Pour PS, sur Q6 (« Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.
8	Économie	La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation.	-1	2	https://projet-socialiste.fr/projet/vivre-libres/	Réserve modérée : Le PS veut davantage de régulation publique, une économie sociale et solidaire plus importante, des prises de contrôle dans certains secteurs stratégiques et une protection sociale principalement collective. Pour PS, sur Q8 (« La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.
9	État	La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire.	-1	2	https://projet-socialiste.fr/projet/vivre-libres/	Réserve modérée : Le Projet socialiste 2026 veut relever le SMIC, limiter à 1 pour 20 les écarts de rémunération, taxer davantage le capital et reprendre en main certains prix et marchés par la puissance publique. Pour PS, sur Q9 (« La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.
10	État	L'État devrait garantir un niveau élevé de protection sociale, même si cela implique une fiscalité importante.	3	3	https://projet-socialiste.fr/projet/vivre-libres/	Accord très fort : Le Projet socialiste 2026 veut relever le SMIC, limiter à 1 pour 20 les écarts de rémunération, taxer davantage le capital et reprendre en main certains prix et marchés par la puissance publique. Pour PS, sur Q10 (« L'État devrait garantir un niveau élevé de protection sociale, même si cela implique une fiscalité importante. »), cette orientation reprend presque entièrement le choix proposé : +3.
12	État	L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables.	2	2	https://projet-socialiste.fr/projet/vivre-libres/	Accord net : Le PS veut davantage de régulation publique, une économie sociale et solidaire plus importante, des prises de contrôle dans certains secteurs stratégiques et une protection sociale principalement collective. Pour PS, sur Q12 (« L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.
13	État	Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics obligatoires.	-2	2	https://projet-socialiste.fr/projet/vivre-libres/	Désaccord net : Le PS veut davantage de régulation publique, une économie sociale et solidaire plus importante, des prises de contrôle dans certains secteurs stratégiques et une protection sociale principalement collective. Pour PS, sur Q13 (« Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics… »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.
14	Social / société	La société devrait accepter beaucoup plus largement les différents modes de vie, même lorsqu'ils s'éloignent des normes traditionnelles.	3	2	https://projet-socialiste.fr/projet/refaire-societe/	Accord très fort : Le PS défend l’égalité des droits, la lutte contre le racisme et les discriminations et une République pluraliste, tout en maintenant un cadre commun laïque et civique. Pour PS, sur Q14 (« La société devrait accepter beaucoup plus largement les différents modes de vie, même lorsqu'ils s'éloignent des normes traditionnelles. »), cette orientation reprend presque entièrement le choix proposé : +3.
16	Social / société	Réduire les inégalités peut parfois justifier de restreindre certaines libertés individuelles.	0	2	https://projet-socialiste.fr/projet/refaire-societe/	Position intermédiaire : Le PS défend l’égalité des droits, la lutte contre le racisme et les discriminations et une République pluraliste, tout en maintenant un cadre commun laïque et civique. Pour PS, sur Q16 (« Réduire les inégalités peut parfois justifier de restreindre certaines libertés individuelles. »), elle ne tranche pas clairement l’arbitrage précis posé : 0.
17	Social / société	Les politiques publiques devraient chercher à corriger activement les discriminations historiques ou structurelles entre groupes sociaux.	3	2	https://projet-socialiste.fr/projet/refaire-societe/	Accord très fort : Le PS défend l’égalité des droits, la lutte contre le racisme et les discriminations et une République pluraliste, tout en maintenant un cadre commun laïque et civique. Pour PS, sur Q17 (« Les politiques publiques devraient chercher à corriger activement les discriminations historiques ou structurelles entre groupes sociaux. »), cette orientation reprend presque entièrement le choix proposé : +3.
19	Social / société	Certaines traditions et valeurs culturelles méritent d'être préservées même si elles évoluent moins vite que la société.	-1	2	https://projet-socialiste.fr/projet/refaire-societe/	Réserve modérée : Le PS défend l’égalité des droits, la lutte contre le racisme et les discriminations et une République pluraliste, tout en maintenant un cadre commun laïque et civique. Pour PS, sur Q19 (« Certaines traditions et valeurs culturelles méritent d'être préservées même si elles évoluent moins vite que la société. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.
20	Immigration	La France devrait réduire le nombre d'immigrants qu'elle accueille chaque année.	-2	2	https://projet-socialiste.fr/projet/refaire-societe/	Désaccord net : Le Projet socialiste 2026 veut régulariser par le travail, renforcer les voies légales d’entrée et le droit d’asile, défendre l’AME et développer dès la demande de titre l’apprentissage du français et la formation civique. Pour PS, sur Q20 (« La France devrait réduire le nombre d'immigrants qu'elle accueille chaque année. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.
21	Immigration	L'immigration économique est globalement bénéfique pour l'économie française.	2	2	https://projet-socialiste.fr/projet/refaire-societe/	Accord net : Le Projet socialiste 2026 veut régulariser par le travail, renforcer les voies légales d’entrée et le droit d’asile, défendre l’AME et développer dès la demande de titre l’apprentissage du français et la formation civique. Pour PS, sur Q21 (« L'immigration économique est globalement bénéfique pour l'économie française. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.
