qid	theme	question	score	confidence	source	justification
1	Économie	Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques.	1	2	https://rassemblementnational.fr/documents/202406-programme.pdf	Accord modéré : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
2	Économie	Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque.	1	1	https://rassemblementnational.fr/documents/202406-programme.pdf	Accord modéré : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.
3	Économie	L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités.	-1	2	https://rassemblementnational.fr/documents/202406-programme.pdf	Réserve : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
6	Économie	Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels.	0	1	https://rassemblementnational.fr/documents/202406-programme.pdf	Position équilibrée ou non tranchée : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.
7	Économie	L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays.	2	2	https://rassemblementnational.fr/documents/202406-programme.pdf	Accord net : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
8	Économie	La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation.	0	1	https://rassemblementnational.fr/documents/202406-programme.pdf	Position équilibrée ou non tranchée : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.
12	État	L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables.	2	2	https://rassemblementnational.fr/documents/202406-programme.pdf	Accord net : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
13	État	Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics obligatoires.	0	1	https://rassemblementnational.fr/documents/202406-programme.pdf	Position équilibrée ou non tranchée : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.
14	Social / société	La société devrait accepter beaucoup plus largement les différents modes de vie, même lorsqu'ils s'éloignent des normes traditionnelles.	-2	3	https://rassemblementnational.fr/livrets-thematiques	Réserve : codage cohérent avec la ligne programmatique générale du parti sur social / société.
16	Social / société	Réduire les inégalités peut parfois justifier de restreindre certaines libertés individuelles.	-2	1	https://rassemblementnational.fr/livrets-thematiques	Désaccord net : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.
17	Social / société	Les politiques publiques devraient chercher à corriger activement les discriminations historiques ou structurelles entre groupes sociaux.	-1	2	https://rassemblementnational.fr/livrets-thematiques	Réserve : codage cohérent avec la ligne programmatique générale du parti sur social / société.
19	Social / société	Certaines traditions et valeurs culturelles méritent d'être préservées même si elles évoluent moins vite que la société.	3	2	https://rassemblementnational.fr/livrets-thematiques	Accord fort : codage cohérent avec la ligne programmatique générale du parti sur social / société.
20	Immigration	La France devrait réduire le nombre d'immigrants qu'elle accueille chaque année.	3	3	https://municipales2026.rassemblementnational.fr/communiques/le-rn-impose-un-tournant-historique-dans-la-lutte-contre-limmigration-illegale	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
23	Immigration	L'accès à la nationalité française devrait être rendu plus exigeant.	3	3	https://municipales2026.rassemblementnational.fr/communiques/le-rn-impose-un-tournant-historique-dans-la-lutte-contre-limmigration-illegale	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
24	Immigration	La France devrait être beaucoup plus stricte concernant l'expulsion des étrangers condamnés pour des crimes graves.	3	3	https://municipales2026.rassemblementnational.fr/communiques/le-rn-impose-un-tournant-historique-dans-la-lutte-contre-limmigration-illegale	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
25	Immigration	Même lorsque l'immigration est économiquement bénéfique, elle peut être légitimement limitée pour préserver la cohésion culturelle du pays.	3	3	https://municipales2026.rassemblementnational.fr/communiques/le-rn-impose-un-tournant-historique-dans-la-lutte-contre-limmigration-illegale	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
26	Immigration	La France devrait accueillir davantage de réfugiés lorsqu'ils fuient une guerre ou une persécution, même si cela représente un coût économique.	-3	2	https://rassemblementnational.fr/livrets-thematiques	Désaccord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
27	Sécurité / justice	Les peines de prison effectives devraient être plus sévères, même si cela augmente fortement la population carcérale.	3	2	https://rassemblementnational.fr/livrets-thematiques	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
29	Sécurité / justice	La police devrait disposer de pouvoirs plus importants pour lutter contre la criminalité, quitte à accepter davantage de contrôles sur certaines libertés individuelles.	3	2	https://rassemblementnational.fr/livrets-thematiques	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
32	Écologie	La lutte contre le changement climatique doit rester prioritaire même lorsqu'elle réduit la croissance économique à court terme.	0	2	https://rassemblementnational.fr/documents/202411-programme-europeennes.pdf	Position équilibrée ou non tranchée : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
33	Écologie	Il faut accepter une hausse importante du prix des énergies fossiles pour accélérer la transition écologique.	-2	2	https://rassemblementnational.fr/documents/202411-programme-europeennes.pdf	Désaccord net : codage cohérent avec la ligne programmatique générale du parti sur écologie.
35	Écologie	Les politiques écologiques devraient reposer principalement sur des mécanismes de marché comme la taxe carbone plutôt que sur des interdictions.	1	1	https://rassemblementnational.fr/documents/202411-programme-europeennes.pdf	Accord modéré : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.
36	Écologie	Il est justifié d'interdire certains produits ou comportements très polluants même lorsque les consommateurs les souhaitent.	-1	2	https://rassemblementnational.fr/documents/202411-programme-europeennes.pdf	Réserve : codage cohérent avec la ligne programmatique générale du parti sur écologie.
37	Écologie	Les pays riches devraient supporter une part prépondérante du coût de la transition écologique mondiale.	-2	2	https://rassemblementnational.fr/documents/202411-programme-europeennes.pdf	Désaccord net : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.
38	Europe	La France devrait transférer davantage de compétences à l'Union européenne afin de renforcer son poids économique et géopolitique.	-2	2	https://rassemblementnational.fr/documents/202411-programme-europeennes.pdf	Désaccord net : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
39	Europe	La France devrait conserver autant que possible sa souveraineté nationale, même si cela réduit son influence au niveau européen.	3	3	https://rassemblementnational.fr/documents/202411-programme-europeennes.pdf	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
40	Europe	L'euro est globalement bénéfique pour la France malgré la perte de certains instruments de politique économique.	1	2	https://rassemblementnational.fr/documents/202411-programme-europeennes.pdf	Accord modéré : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
41	Europe	L'Union européenne devrait pouvoir imposer davantage de règles communes aux États membres.	-2	2	https://rassemblementnational.fr/documents/202411-programme-europeennes.pdf	Désaccord net : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
42	Europe	En cas de conflit entre les intérêts économiques français et les règles européennes, la France devrait pouvoir désobéir à certaines règles européennes.	3	3	https://rassemblementnational.fr/documents/202411-programme-europeennes.pdf	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
43	Fiscalité / patrimoine	Il faudrait supprimer l'IFI et ne plus taxer spécifiquement le patrimoine immobilier au-delà de la fiscalité ordinaire.	2	2	https://rassemblementnational.fr/documents/202406-programme.pdf	Accord net : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
44	Fiscalité / patrimoine	L'héritage devrait être davantage taxé au-delà d'un certain seuil de patrimoine transmis, même si cela conduit certaines familles à transmettre moins de patrimoine à leurs enfants.	-2	2	https://rassemblementnational.fr/documents/202406-programme.pdf	Désaccord net : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
45	Fiscalité / patrimoine	Les très grandes fortunes devraient être imposées sur leur patrimoine mondial, même lorsqu'elles quittent la France.	-1	2	https://rassemblementnational.fr/documents/202406-programme.pdf	Réserve : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
