qid	theme	question	score	confidence	source	justification	fetch_paragraphs	best_score	evidence_1	evidence_2	evidence_3
1	Économie	Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques.	0	2	https://www.gov.uk/government/publications/plan-for-change	Position intermédiaire : Le gouvernement Labour combine croissance, investissement public, renforcement des droits du travail et discipline budgétaire modérée. Pour Royaume-Uni, sur Q1 (« Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques. »), elle ne tranche pas clairement l’arbitrage précis posé : 0.	8	0			
2	Économie	Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque.	-1	2	https://www.gov.uk/government/publications/plan-for-change	Réserve modérée : Le gouvernement Labour combine croissance, investissement public, renforcement des droits du travail et discipline budgétaire modérée. Pour Royaume-Uni, sur Q2 (« Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	8	0			
3	Économie	L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités.	1	2	https://www.gov.uk/government/publications/plan-for-change	Accord modéré : Le gouvernement Labour combine croissance, investissement public, renforcement des droits du travail et discipline budgétaire modérée. Pour Royaume-Uni, sur Q3 (« L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités. »), elle incline dans ce sens sans adopter toute la proposition : +1.	8	0			
4	Économie	Les entreprises devraient être obligées de limiter l’écart entre la rémunération de leurs dirigeants et celle de leurs salariés les moins bien payés.	-1	2	https://www.gov.uk/government/news/new-executive-pay-transparency-measures-come-into-force	Désaccord modéré : le Royaume-Uni impose la transparence des ratios entre rémunération du dirigeant et rémunération des salariés, mais n’impose pas de plafond général et la ligne gouvernementale actuelle privilégie la transparence et le fair pay plutôt qu’un ratio salarial légal obligatoire.	19	0			
6	Économie	Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels.	0	2	https://www.gov.uk/government/publications/plan-for-change	Position intermédiaire : Le gouvernement Labour combine croissance, investissement public, renforcement des droits du travail et discipline budgétaire modérée. Pour Royaume-Uni, sur Q6 (« Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels. »), elle ne tranche pas clairement l’arbitrage précis posé : 0.	8	0.0643	We also use cookies set by other sites to help us deliver content from their services.	We’d like to set additional cookies to understand how you use GOV.UK, remember your settings and improve government services.	
8	Économie	La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation.	0	2	https://www.gov.uk/government/publications/plan-for-change	Position intermédiaire : Le gouvernement Labour combine croissance, investissement public, renforcement des droits du travail et discipline budgétaire modérée. Pour Royaume-Uni, sur Q8 (« La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation. »), elle ne tranche pas clairement l’arbitrage précis posé : 0.	8	0			
9	État	La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire.	0	2	https://www.gov.uk/government/publications/plan-for-change	Position intermédiaire : Le gouvernement Labour combine croissance, investissement public, renforcement des droits du travail et discipline budgétaire modérée. Pour Royaume-Uni, sur Q9 (« La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire. »), elle ne tranche pas clairement l’arbitrage précis posé : 0.	8	0			
13	État	Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics obligatoires.	-1	2	https://www.gov.uk/government/publications/plan-for-change	Réserve modérée : Le gouvernement Labour combine croissance, investissement public, renforcement des droits du travail et discipline budgétaire modérée. Pour Royaume-Uni, sur Q13 (« Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics… »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	8	0			
14	Social / société	La société devrait accepter beaucoup plus largement les différents modes de vie, même lorsqu'ils s'éloignent des normes traditionnelles.	2	2	https://www.gov.uk/government/publications/plan-for-change	Accord net : La ligne Labour est progressiste sur les droits et les discriminations, avec un discours plus communautaire et territorial sous Andy Burnham. Pour Royaume-Uni, sur Q14 (« La société devrait accepter beaucoup plus largement les différents modes de vie, même lorsqu'ils s'éloignent des normes traditionnelles. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	8	0			
17	Social / société	Les politiques publiques devraient chercher à corriger activement les discriminations historiques ou structurelles entre groupes sociaux.	2	2	https://www.gov.uk/government/publications/plan-for-change	Accord net : La ligne Labour est progressiste sur les droits et les discriminations, avec un discours plus communautaire et territorial sous Andy Burnham. Pour Royaume-Uni, sur Q17 (« Les politiques publiques devraient chercher à corriger activement les discriminations historiques ou structurelles entre groupes sociaux. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	8	0			
19	Social / société	Certaines traditions et valeurs culturelles méritent d'être préservées même si elles évoluent moins vite que la société.	0	2	https://www.gov.uk/government/publications/plan-for-change	Position intermédiaire : La ligne Labour est progressiste sur les droits et les discriminations, avec un discours plus communautaire et territorial sous Andy Burnham. Pour Royaume-Uni, sur Q19 (« Certaines traditions et valeurs culturelles méritent d'être préservées même si elles évoluent moins vite que la société. »), elle ne tranche pas clairement l’arbitrage précis posé : 0.	8	0			
20	Immigration	La France devrait réduire le nombre d'immigrants qu'elle accueille chaque année.	2	3	https://www.gov.uk/government/news/kings-speech-to-build-a-stronger-and-fairer-britain	Accord net : Le gouvernement veut réduire l’immigration légale et irrégulière, tout en maintenant une approche relativement inclusive de l’intégration. Position directement documentée.	28	0			
21	Immigration	L'immigration économique est globalement bénéfique pour l'économie française.	2	2	https://www.gov.uk/government/news/kings-speech-to-build-a-stronger-and-fairer-britain	Accord net : Le gouvernement veut réduire l’immigration légale et irrégulière, tout en maintenant une approche relativement inclusive de l’intégration. Pour Royaume-Uni, sur Q21 (« L'immigration économique est globalement bénéfique pour l'économie française. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	28	0.1014	This includes laws to restore order and control to the immigration system, strengthen our public services and reform the state to support a more active government that is on the side of British people.	Building on the progress already made to restore order and control to our borders, legislation will be brought forwards to deliver a firm but fair immigration system that restores control and earns public trust.	
24	Immigration	La France devrait être beaucoup plus stricte concernant l'expulsion des étrangers condamnés pour des crimes graves.	3	3	https://www.gov.uk/government/news/kings-speech-to-build-a-stronger-and-fairer-britain	Accord fort : Le gouvernement veut réduire l’immigration légale et irrégulière, tout en maintenant une approche relativement inclusive de l’intégration. Position directement documentée.	28	0			
25	Immigration	Même lorsque l'immigration est économiquement bénéfique, elle peut être légitimement limitée pour préserver la cohésion culturelle du pays.	1	2	https://www.gov.uk/government/news/kings-speech-to-build-a-stronger-and-fairer-britain	Accord modéré : Le gouvernement veut réduire l’immigration légale et irrégulière, tout en maintenant une approche relativement inclusive de l’intégration. Pour Royaume-Uni, sur Q25 (« Même lorsque l'immigration est économiquement bénéfique, elle peut être légitimement limitée pour préserver la cohésion culturelle du pays. »), elle incline dans ce sens sans adopter toute la proposition : +1.	28	0.0698	This includes laws to restore order and control to the immigration system, strengthen our public services and reform the state to support a more active government that is on the side of British people.	Building on the progress already made to restore order and control to our borders, legislation will be brought forwards to deliver a firm but fair immigration system that restores control and earns public trust.	
26	Immigration	La France devrait accueillir davantage de réfugiés lorsqu'ils fuient une guerre ou une persécution, même si cela représente un coût économique.	1	2	https://www.gov.uk/government/news/kings-speech-to-build-a-stronger-and-fairer-britain	Accord modéré : Le gouvernement veut réduire l’immigration légale et irrégulière, tout en maintenant une approche relativement inclusive de l’intégration. Pour Royaume-Uni, sur Q26 (« La France devrait accueillir davantage de réfugiés lorsqu'ils fuient une guerre ou une persécution, même si cela représente un coût économique. »), elle incline dans ce sens sans adopter toute la proposition : +1.	28	0			
35	Écologie	Les politiques écologiques devraient reposer principalement sur des mécanismes de marché comme la taxe carbone plutôt que sur des interdictions.	1	2	https://www.gov.uk/government/publications/plan-for-change	Accord modéré : Le gouvernement poursuit une transition énergétique ambitieuse, avec Great British Energy, le nucléaire et les renouvelables. Pour Royaume-Uni, sur Q35 (« Les politiques écologiques devraient reposer principalement sur des mécanismes de marché comme la taxe carbone plutôt que sur des interdictions. »), elle incline dans ce sens sans adopter toute la proposition : +1.	8	0			
36	Écologie	Il est justifié d'interdire certains produits ou comportements très polluants même lorsque les consommateurs les souhaitent.	2	2	https://www.gov.uk/government/publications/plan-for-change	Accord net : Le gouvernement poursuit une transition énergétique ambitieuse, avec Great British Energy, le nucléaire et les renouvelables. Pour Royaume-Uni, sur Q36 (« Il est justifié d'interdire certains produits ou comportements très polluants même lorsque les consommateurs les souhaitent. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	8	0			
37	Écologie	Les pays riches devraient supporter une part prépondérante du coût de la transition écologique mondiale.	2	2	https://www.gov.uk/government/publications/plan-for-change	Accord net : Le gouvernement poursuit une transition énergétique ambitieuse, avec Great British Energy, le nucléaire et les renouvelables. Pour Royaume-Uni, sur Q37 (« Les pays riches devraient supporter une part prépondérante du coût de la transition écologique mondiale. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	8	0			
39	Europe	La France devrait conserver autant que possible sa souveraineté nationale, même si cela réduit son influence au niveau européen.	1	2	https://www.gov.uk/government/publications/plan-for-change	Accord modéré : Le Royaume-Uni reste hors UE ; le gouvernement Labour recherche cependant des relations plus étroites avec l’Europe. Pour Royaume-Uni, sur Q39 (« La France devrait conserver autant que possible sa souveraineté nationale, même si cela réduit son influence au niveau européen. »), elle incline dans ce sens sans adopter toute la proposition : +1.	8	0			
55	État / entreprises	Il faudrait réduire fortement les normes administratives pesant sur les entreprises, même si certaines protections environnementales ou sociales deviennent moins strictes.	-1	2	https://www.gov.uk/government/publications/plan-for-change	Réserve modérée : Le gouvernement Labour combine croissance, investissement public, renforcement des droits du travail et discipline budgétaire modérée. Pour Royaume-Uni, sur Q55 (« Il faudrait réduire fortement les normes administratives pesant sur les entreprises, même si certaines protections environnementales ou sociales… »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	8	0			
58	Immigration / assimilation	La France devrait privilégier l'immigration économique qualifiée, même si cela signifie accueillir moins de personnes peu qualifiées.	2	3	https://www.gov.uk/government/news/kings-speech-to-build-a-stronger-and-fairer-britain	Accord net : Le gouvernement veut réduire l’immigration légale et irrégulière, tout en maintenant une approche relativement inclusive de l’intégration. Position directement documentée.	28	0.0698	This includes laws to restore order and control to the immigration system, strengthen our public services and reform the state to support a more active government that is on the side of British people.	Building on the progress already made to restore order and control to our borders, legislation will be brought forwards to deliver a firm but fair immigration system that restores control and earns public trust.	
60	Immigration / assimilation	La France devrait pouvoir refuser l'entrée à un immigré légalement admissible lorsqu'il existe de fortes raisons de penser qu'il ne souhaite pas s'intégrer culturellement à la société française.	1	2	https://www.gov.uk/government/news/kings-speech-to-build-a-stronger-and-fairer-britain	Accord modéré : Le gouvernement veut réduire l’immigration légale et irrégulière, tout en maintenant une approche relativement inclusive de l’intégration. Pour Royaume-Uni, sur Q60 (« La France devrait pouvoir refuser l'entrée à un immigré légalement admissible lorsqu'il existe de fortes raisons de penser qu'il ne souhaite pas… »), elle incline dans ce sens sans adopter toute la proposition : +1.	28	0			
61	Immigration / assimilation	Le fait de conserver des pratiques culturelles ou religieuses très différentes de celles de la majorité française n'est pas en soi un problème tant que les lois françaises sont respectées.	2	2	https://www.gov.uk/government/news/kings-speech-to-build-a-stronger-and-fairer-britain	Accord net : Le gouvernement veut réduire l’immigration légale et irrégulière, tout en maintenant une approche relativement inclusive de l’intégration. Pour Royaume-Uni, sur Q61 (« Le fait de conserver des pratiques culturelles ou religieuses très différentes de celles de la majorité française n'est pas en soi un problème tant que… »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	28	0			
71	Écologie / croissance	Si la France pouvait réduire ses émissions de 20 % mais que cela réduisait son PIB de 3 %, alors que les autres pays ne faisaient aucun effort comparable, il faudrait quand même le faire.	1	2	https://www.gov.uk/government/publications/plan-for-change	Accord modéré : Le gouvernement poursuit une transition énergétique ambitieuse, avec Great British Energy, le nucléaire et les renouvelables. Pour Royaume-Uni, sur Q71 (« Si la France pouvait réduire ses émissions de 20 % mais que cela réduisait son PIB de 3 %, alors que les autres pays ne faisaient aucun effort… »), elle incline dans ce sens sans adopter toute la proposition : +1.	8	0			
79	Immigration / délinquance	Les différences de délinquance observées s’expliquent davantage par les inégalités sociales et économiques que par la culture d’origine des personnes concernées.	1	1	https://www.gov.uk/government/news/kings-speech-to-build-a-stronger-and-fairer-britain	Accord modéré : Le gouvernement veut réduire l’immigration légale et irrégulière, tout en maintenant une approche relativement inclusive de l’intégration. Comparabilité limitée ou position peu explicite.	28	0			
82	Santé / assurance maladie	L'Assurance maladie devrait rembourser intégralement les soins essentiels, quitte à réduire fortement le rôle des complémentaires santé.	3	3	https://www.gov.uk/government/publications/plan-for-change	Accord très fort : Le gouvernement Labour maintient le NHS comme service public central, tandis que l’enseignement indépendant, le secteur privé du care et certains prestataires privés restent autorisés. Pour Royaume-Uni, sur Q82 (« L'Assurance maladie devrait rembourser intégralement les soins essentiels, quitte à réduire fortement le rôle des complémentaires santé. »), cette orientation reprend presque entièrement le choix proposé : +3.	8	0			
83	Santé / hôpital	Il faut accepter de fermer ou regrouper certaines petites maternités et certains services d'urgence afin de concentrer les équipes et les équipements dans des établissements plus importants.	1	1	https://www.gov.uk/government/publications/plan-for-change	Accord modéré : Le gouvernement Labour maintient le NHS comme service public central, tandis que l’enseignement indépendant, le secteur privé du care et certains prestataires privés restent autorisés. Pour Royaume-Uni, sur Q83 (« Il faut accepter de fermer ou regrouper certaines petites maternités et certains services d'urgence afin de concentrer les équipes et les équipements… »), elle incline dans ce sens sans adopter toute la proposition : +1.	8	0.0543	We also use cookies set by other sites to help us deliver content from their services.	We’d like to set additional cookies to understand how you use GOV.UK, remember your settings and improve government services.	
84	Éducation / autonomie	Les chefs d'établissement scolaire devraient pouvoir recruter eux-même une partie de leurs enseignants et peser davantage dans leur évaluation.	3	3	https://www.gov.uk/government/news/kings-speech-to-build-a-stronger-and-fairer-britain	Accord très fort : Le gouvernement Labour maintient le NHS comme service public central, tandis que l’enseignement indépendant, le secteur privé du care et certains prestataires privés restent autorisés. Pour Royaume-Uni, sur Q84 (« Les chefs d'établissement scolaire devraient pouvoir recruter eux-même une partie de leurs enseignants et peser davantage dans leur évaluation. »), cette orientation reprend presque entièrement le choix proposé : +3.	28	0			
85	Éducation / mixité sociale	Le financement public des établissements privés sous contrat devrait être conditionné à des objectifs mesurables de mixité sociale.	0	1	https://www.gov.uk/government/news/kings-speech-to-build-a-stronger-and-fairer-britain	Position intermédiaire : Le gouvernement Labour maintient le NHS comme service public central, tandis que l’enseignement indépendant, le secteur privé du care et certains prestataires privés restent autorisés. Pour Royaume-Uni, sur Q85 (« Le financement public des établissements privés sous contrat devrait être conditionné à des objectifs mesurables de mixité sociale. »), elle ne tranche pas clairement l’arbitrage précis posé : 0.	28	0.0643	King’s Speech will strengthen public services, reform the state and reverse decline	This includes laws to restore order and control to the immigration system, strengthen our public services and reform the state to support a more active government that is on the side of British people.	Building on the progress already made to restore order and control to our borders, legislation will be brought forwards to deliver a firm but fair immigration system that restores control and earns public trust.
86	Logement / locations touristiques	Dans les zones où le logement manque, une commune devrait pouvoir interdire la location touristique régulière d'un logement qui n'est pas la résidence principale de son propriétaire.	2	2	https://www.gov.uk/government/publications/plan-for-change	Accord net : Le gouvernement Labour maintient le NHS comme service public central, tandis que l’enseignement indépendant, le secteur privé du care et certains prestataires privés restent autorisés. Pour Royaume-Uni, sur Q86 (« Dans les zones où le logement manque, une commune devrait pouvoir interdire la location touristique régulière d'un logement qui n'est pas la résidence… »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	8	0			
87	Défense / Ukraine	La France devrait continuer à fournir une aide militaire et financière importante à l'Ukraine tant que son territoire reste occupé, même si la guerre se prolonge.	3	3	https://www.gov.uk/government/news/unbreakable-bond-between-uk-and-ukraine-will-continue-under-my-government-26-july-2026	Accord très fort : Le gouvernement Burnham a réaffirmé dès son entrée en fonctions la continuité du soutien britannique à l’Ukraine et le caractère durable de l’engagement bilatéral. Pour Royaume-Uni, sur Q87 (« La France devrait continuer à fournir une aide militaire et financière importante à l'Ukraine tant que son territoire reste occupé, même si la guerre… »), cette orientation reprend presque entièrement le choix proposé : +3.	27	0.0423	The exercise builds on the full spectrum of support the UK provides Ukraine, including £3 billion a year to Ukraine for as long as it takes.	Thousands of these electronic jammers have already been gifted to Ukraine by the MOD helping its armed forces maintain drone operations and knocking Russia a step back in their illegal invasion on Ukraine.	Britain stands with Ukraine, shoulder to shoulder, and our support remains unwavering.
88	Défense / dissuasion nucléaire	La dissuasion nucléaire française devrait aussi protéger les partenaires européens, tout en laissant à la France seule la décision finale de l'employer.	2	2	https://www.gov.uk/government/news/unbreakable-bond-between-uk-and-ukraine-will-continue-under-my-government-26-july-2026	Accord net : Le Royaume-Uni est une puissance nucléaire de l’OTAN et met sa dissuasion au service de la sécurité euro-atlantique ; il soutient donc le principe d’une garantie nucléaire alliée en Europe. Pour Royaume-Uni, sur Q88 (« La dissuasion nucléaire française devrait aussi protéger les partenaires européens, tout en laissant à la France seule la décision finale de l'employer. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	27	0			
89	Santé / fin de vie	Une personne majeure atteinte d'une maladie grave et incurable provoquant des souffrances insupportables devrait pouvoir recevoir une aide médicale à mourir dans un cadre strictement contrôlé.	0	3	https://www.gov.uk/government/collections/terminally-ill-adults-end-of-life-bill	Position intermédiaire : le vote, la loi ou la position gouvernementale sur l'aide à mourir fournit un équivalent direct ou très proche. Pour Royaume-Uni, sur Q89 (« Une personne majeure atteinte d'une maladie grave et incurable provoquant des souffrances insupportables devrait pouvoir recevoir une aide médicale à… »), elle ne tranche pas clairement l’arbitrage précis posé : 0.	19	0			
90	Dépendance / EHPAD	Les groupes privés à but lucratif ne devraient plus pouvoir gérer d'EHPAD. Les établissements existants devraient progressivement devenir publics ou non lucratifs.	-2	2	https://www.gov.uk/government/publications/plan-for-change	Désaccord net : Le gouvernement Labour maintient le NHS comme service public central, tandis que l’enseignement indépendant, le secteur privé du care et certains prestataires privés restent autorisés. Pour Royaume-Uni, sur Q90 (« Les groupes privés à but lucratif ne devraient plus pouvoir gérer d'EHPAD. Les établissements existants devraient progressivement devenir publics ou… »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.	8	0			
92	Numérique / mineurs	L'accès aux réseaux sociaux devrait être interdit aux moins de 15 ans, même avec l'accord de leurs parents.	3	3	https://www.gov.uk/government/news/social-media-to-be-banned-for-under-16s-in-landmark-government-move-to-givekids-their-childhood-back	Accord très fort : le vote ou la politique publique sur l'âge d'accès aux réseaux sociaux permet de distinguer interdiction stricte, autorisation parentale et régulation plus souple. Pour Royaume-Uni, sur Q92 (« L'accès aux réseaux sociaux devrait être interdit aux moins de 15 ans, même avec l'accord de leurs parents. »), cette orientation reprend presque entièrement le choix proposé : +3.	48	0.0708	Today’s announcement follows one of the biggest national conversations held by this government, with more than 116,000 responses submitted by parents, children and experts across the country. The responses showed overwhelming public backing for tougher action. 9 in 10 parents said they would support a social media ban for children under 16.	Parents want to keep their kids safe and happy, but the online world has made that harder than ever.	This is a line in the sand. Tech giants had their chance and failed, but we’re stepping in to protect children, back parents and set a new normal for future generations.
