qid	theme	question	score	confidence	source	justification
2	Économie	Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque.	1	2	https://www.bfs.admin.ch/bfs/en/home/statistics/cross-sectional-topics/monitoring-legislature-plan.html	Accord modéré : Le Conseil fédéral suit une économie sociale de marché relativement libérale, avec discipline budgétaire et protection sociale multipiliers. Transposition ou inférence prudente.
3	Économie	L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités.	-1	2	https://www.bfs.admin.ch/bfs/en/home/statistics/cross-sectional-topics/monitoring-legislature-plan.html	Réserve : Le Conseil fédéral suit une économie sociale de marché relativement libérale, avec discipline budgétaire et protection sociale multipiliers. Transposition ou inférence prudente.
5	Économie	Le salaire minimum devrait être augmenté significativement.	-2	2	https://www.bfs.admin.ch/bfs/en/home/statistics/cross-sectional-topics/monitoring-legislature-plan.html	Désaccord net : Le Conseil fédéral suit une économie sociale de marché relativement libérale, avec discipline budgétaire et protection sociale multipiliers. Transposition ou inférence prudente.
6	Économie	Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels.	2	2	https://www.bfs.admin.ch/bfs/en/home/statistics/cross-sectional-topics/monitoring-legislature-plan.html	Accord net : Le Conseil fédéral suit une économie sociale de marché relativement libérale, avec discipline budgétaire et protection sociale multipiliers. Transposition ou inférence prudente.
7	Économie	L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays.	-2	2	https://www.bfs.admin.ch/bfs/en/home/statistics/cross-sectional-topics/monitoring-legislature-plan.html	Désaccord net : Le Conseil fédéral suit une économie sociale de marché relativement libérale, avec discipline budgétaire et protection sociale multipiliers. Transposition ou inférence prudente.
12	État	L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables.	0	2	https://www.bfs.admin.ch/bfs/en/home/statistics/cross-sectional-topics/monitoring-legislature-plan.html	Position de compromis : Le Conseil fédéral suit une économie sociale de marché relativement libérale, avec discipline budgétaire et protection sociale multipiliers. Transposition ou inférence prudente.
13	État	Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics obligatoires.	2	2	https://www.bfs.admin.ch/bfs/en/home/statistics/cross-sectional-topics/monitoring-legislature-plan.html	Accord net : Le Conseil fédéral suit une économie sociale de marché relativement libérale, avec discipline budgétaire et protection sociale multipiliers. Transposition ou inférence prudente.
14	Social / société	La société devrait accepter beaucoup plus largement les différents modes de vie, même lorsqu'ils s'éloignent des normes traditionnelles.	1	2	https://www.bfs.admin.ch/bfs/en/home/statistics/cross-sectional-topics/monitoring-legislature-plan.html	Accord modéré : Le consensus gouvernemental est modérément libéral sur les droits individuels, tout en restant prudent sur les transformations sociales. Transposition ou inférence prudente.
17	Social / société	Les politiques publiques devraient chercher à corriger activement les discriminations historiques ou structurelles entre groupes sociaux.	1	2	https://www.bfs.admin.ch/bfs/en/home/statistics/cross-sectional-topics/monitoring-legislature-plan.html	Accord modéré : Le consensus gouvernemental est modérément libéral sur les droits individuels, tout en restant prudent sur les transformations sociales. Transposition ou inférence prudente.
19	Social / société	Certaines traditions et valeurs culturelles méritent d'être préservées même si elles évoluent moins vite que la société.	2	2	https://www.bfs.admin.ch/bfs/en/home/statistics/cross-sectional-topics/monitoring-legislature-plan.html	Accord net : Le consensus gouvernemental est modérément libéral sur les droits individuels, tout en restant prudent sur les transformations sociales. Transposition ou inférence prudente.
