qid	theme	question	score	confidence	source	justification
1	Économie	Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques.	0	2	https://www.gov.uk/government/publications/plan-for-change	Position de compromis : Le gouvernement Labour combine croissance, investissement public, renforcement des droits du travail et discipline budgétaire modérée. Transposition ou inférence prudente.
2	Économie	Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque.	-1	2	https://www.gov.uk/government/publications/plan-for-change	Réserve : Le gouvernement Labour combine croissance, investissement public, renforcement des droits du travail et discipline budgétaire modérée. Transposition ou inférence prudente.
3	Économie	L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités.	1	2	https://www.gov.uk/government/publications/plan-for-change	Accord modéré : Le gouvernement Labour combine croissance, investissement public, renforcement des droits du travail et discipline budgétaire modérée. Transposition ou inférence prudente.
6	Économie	Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels.	0	2	https://www.gov.uk/government/publications/plan-for-change	Position de compromis : Le gouvernement Labour combine croissance, investissement public, renforcement des droits du travail et discipline budgétaire modérée. Transposition ou inférence prudente.
8	Économie	La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation.	0	2	https://www.gov.uk/government/publications/plan-for-change	Position de compromis : Le gouvernement Labour combine croissance, investissement public, renforcement des droits du travail et discipline budgétaire modérée. Transposition ou inférence prudente.
9	État	La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire.	0	2	https://www.gov.uk/government/publications/plan-for-change	Position de compromis : Le gouvernement Labour combine croissance, investissement public, renforcement des droits du travail et discipline budgétaire modérée. Transposition ou inférence prudente.
13	État	Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics obligatoires.	-1	2	https://www.gov.uk/government/publications/plan-for-change	Réserve : Le gouvernement Labour combine croissance, investissement public, renforcement des droits du travail et discipline budgétaire modérée. Transposition ou inférence prudente.
14	Social / société	La société devrait accepter beaucoup plus largement les différents modes de vie, même lorsqu'ils s'éloignent des normes traditionnelles.	2	2	https://www.gov.uk/government/publications/plan-for-change	Accord net : La ligne Labour est progressiste sur les droits et les discriminations, avec un discours plus communautaire et territorial sous Andy Burnham. Transposition ou inférence prudente.
17	Social / société	Les politiques publiques devraient chercher à corriger activement les discriminations historiques ou structurelles entre groupes sociaux.	2	2	https://www.gov.uk/government/publications/plan-for-change	Accord net : La ligne Labour est progressiste sur les droits et les discriminations, avec un discours plus communautaire et territorial sous Andy Burnham. Transposition ou inférence prudente.
19	Social / société	Certaines traditions et valeurs culturelles méritent d'être préservées même si elles évoluent moins vite que la société.	0	2	https://www.gov.uk/government/publications/plan-for-change	Position de compromis : La ligne Labour est progressiste sur les droits et les discriminations, avec un discours plus communautaire et territorial sous Andy Burnham. Transposition ou inférence prudente.
21	Immigration	L'immigration économique est globalement bénéfique pour l'économie française.	2	2	https://www.gov.uk/government/news/kings-speech-to-build-a-stronger-and-fairer-britain	Accord net : Le gouvernement veut réduire l’immigration légale et irrégulière, tout en maintenant une approche relativement inclusive de l’intégration. Transposition ou inférence prudente.
25	Immigration	Même lorsque l'immigration est économiquement bénéfique, elle peut être légitimement limitée pour préserver la cohésion culturelle du pays.	1	2	https://www.gov.uk/government/news/kings-speech-to-build-a-stronger-and-fairer-britain	Accord modéré : Le gouvernement veut réduire l’immigration légale et irrégulière, tout en maintenant une approche relativement inclusive de l’intégration. Transposition ou inférence prudente.
26	Immigration	La France devrait accueillir davantage de réfugiés lorsqu'ils fuient une guerre ou une persécution, même si cela représente un coût économique.	1	2	https://www.gov.uk/government/news/kings-speech-to-build-a-stronger-and-fairer-britain	Accord modéré : Le gouvernement veut réduire l’immigration légale et irrégulière, tout en maintenant une approche relativement inclusive de l’intégration. Transposition ou inférence prudente.
35	Écologie	Les politiques écologiques devraient reposer principalement sur des mécanismes de marché comme la taxe carbone plutôt que sur des interdictions.	1	2	https://www.gov.uk/government/publications/plan-for-change	Accord modéré : Le gouvernement poursuit une transition énergétique ambitieuse, avec Great British Energy, le nucléaire et les renouvelables. Transposition ou inférence prudente.
36	Écologie	Il est justifié d'interdire certains produits ou comportements très polluants même lorsque les consommateurs les souhaitent.	2	2	https://www.gov.uk/government/publications/plan-for-change	Accord net : Le gouvernement poursuit une transition énergétique ambitieuse, avec Great British Energy, le nucléaire et les renouvelables. Transposition ou inférence prudente.
37	Écologie	Les pays riches devraient supporter une part prépondérante du coût de la transition écologique mondiale.	2	2	https://www.gov.uk/government/publications/plan-for-change	Accord net : Le gouvernement poursuit une transition énergétique ambitieuse, avec Great British Energy, le nucléaire et les renouvelables. Transposition ou inférence prudente.
39	Europe	La France devrait conserver autant que possible sa souveraineté nationale, même si cela réduit son influence au niveau européen.	1	2	https://www.gov.uk/government/publications/plan-for-change	Accord modéré : Le Royaume-Uni reste hors UE ; le gouvernement Labour recherche cependant des relations plus étroites avec l’Europe. Transposition ou inférence prudente.
55	État / entreprises	Il faudrait réduire fortement les normes administratives pesant sur les entreprises, même si certaines protections environnementales ou sociales deviennent moins strictes.	-1	2	https://www.gov.uk/government/publications/plan-for-change	Réserve : Le gouvernement Labour combine croissance, investissement public, renforcement des droits du travail et discipline budgétaire modérée. Transposition ou inférence prudente.
60	Immigration / assimilation	La France devrait pouvoir refuser l'entrée à un immigré légalement admissible lorsqu'il existe de fortes raisons de penser qu'il ne souhaite pas s'intégrer culturellement à la société française.	1	2	https://www.gov.uk/government/news/kings-speech-to-build-a-stronger-and-fairer-britain	Accord modéré : Le gouvernement veut réduire l’immigration légale et irrégulière, tout en maintenant une approche relativement inclusive de l’intégration. Transposition ou inférence prudente.
61	Immigration / assimilation	Le fait de conserver des pratiques culturelles ou religieuses très différentes de celles de la majorité française n'est pas en soi un problème tant que les lois françaises sont respectées.	2	2	https://www.gov.uk/government/news/kings-speech-to-build-a-stronger-and-fairer-britain	Accord net : Le gouvernement veut réduire l’immigration légale et irrégulière, tout en maintenant une approche relativement inclusive de l’intégration. Transposition ou inférence prudente.
71	Écologie / croissance	Si la France pouvait réduire ses émissions de 20 % mais que cela réduisait son PIB de 3 %, alors que les autres pays ne faisaient aucun effort comparable, il faudrait quand même le faire.	1	2	https://www.gov.uk/government/publications/plan-for-change	Accord modéré : Le gouvernement poursuit une transition énergétique ambitieuse, avec Great British Energy, le nucléaire et les renouvelables. Transposition ou inférence prudente.
