qid	theme	score	confidence	current_source	current_justification	old_source	old_justification
1	Économie	2	2	https://doc.parti.re/Conventions-thematiques_Nouvelle-donne.pdf	Accord net : La convention économique 2025 de Renaissance assume les baisses d’impôts de production, refuse de relever les impôts des entreprises, veut réduire le coût du travail et finance ces choix par des économies sur les dépenses jugées inefficaces et des réformes de l’emploi. Pour Renaissance, sur Q1 (« Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	https://parti-renaissance.fr/	Accord net : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
2	Économie	2	2	https://doc.parti.re/Conventions-thematiques_Nouvelle-donne.pdf	Accord net : La convention économique 2025 de Renaissance assume les baisses d’impôts de production, refuse de relever les impôts des entreprises, veut réduire le coût du travail et finance ces choix par des économies sur les dépenses jugées inefficaces et des réformes de l’emploi. Pour Renaissance, sur Q2 (« Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	https://parti-renaissance.fr/	Accord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
3	Économie	-1	2	https://doc.parti.re/Conventions-thematiques_Nouvelle-donne.pdf	Réserve modérée : La convention économique 2025 de Renaissance assume les baisses d’impôts de production, refuse de relever les impôts des entreprises, veut réduire le coût du travail et finance ces choix par des économies sur les dépenses jugées inefficaces et des réformes de l’emploi. Pour Renaissance, sur Q3 (« L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	https://parti-renaissance.fr/	Réserve : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
5	Économie	-1	2	https://doc.parti.re/Conventions-thematiques_Nouvelle-donne.pdf	Réserve modérée : La convention économique 2025 de Renaissance assume les baisses d’impôts de production, refuse de relever les impôts des entreprises, veut réduire le coût du travail et finance ces choix par des économies sur les dépenses jugées inefficaces et des réformes de l’emploi. Pour Renaissance, sur Q5 (« Le salaire minimum devrait être augmenté significativement. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	https://parti-renaissance.fr/	Réserve : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
6	Économie	2	2	https://doc.parti.re/Conventions-thematiques_Nouvelle-donne.pdf	Accord net : Renaissance se présente comme le parti de la prise de risque, de l’innovation, du travail et de l’entrepreneuriat, tout en conservant un État investisseur et une planification dans les secteurs stratégiques. Pour Renaissance, sur Q6 (« Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	https://parti-renaissance.fr/	Accord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
7	Économie	-1	2	https://doc.parti.re/Conventions-thematiques_Nouvelle-donne.pdf	Réserve modérée : Renaissance se présente comme le parti de la prise de risque, de l’innovation, du travail et de l’entrepreneuriat, tout en conservant un État investisseur et une planification dans les secteurs stratégiques. Pour Renaissance, sur Q7 (« L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	https://parti-renaissance.fr/	Réserve : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
8	Économie	2	2	https://doc.parti.re/Conventions-thematiques_Nouvelle-donne.pdf	Accord net : Renaissance se présente comme le parti de la prise de risque, de l’innovation, du travail et de l’entrepreneuriat, tout en conservant un État investisseur et une planification dans les secteurs stratégiques. Pour Renaissance, sur Q8 (« La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	https://parti-renaissance.fr/	Accord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
9	État	2	2	https://doc.parti.re/Conventions-thematiques_Nouvelle-donne.pdf	Accord net : La convention économique 2025 de Renaissance assume les baisses d’impôts de production, refuse de relever les impôts des entreprises, veut réduire le coût du travail et finance ces choix par des économies sur les dépenses jugées inefficaces et des réformes de l’emploi. Pour Renaissance, sur Q9 (« La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	https://parti-renaissance.fr/	Accord net : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
12	État	0	2	https://doc.parti.re/Conventions-thematiques_Nouvelle-donne.pdf	Position intermédiaire : Renaissance se présente comme le parti de la prise de risque, de l’innovation, du travail et de l’entrepreneuriat, tout en conservant un État investisseur et une planification dans les secteurs stratégiques. Pour Renaissance, sur Q12 (« L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables. »), elle ne tranche pas clairement l’arbitrage précis posé : 0.	https://parti-renaissance.fr/	Position équilibrée ou non tranchée : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
13	État	1	2	https://doc.parti.re/Conventions-thematiques_Nouvelle-donne.pdf	Accord modéré : Renaissance se présente comme le parti de la prise de risque, de l’innovation, du travail et de l’entrepreneuriat, tout en conservant un État investisseur et une planification dans les secteurs stratégiques. Pour Renaissance, sur Q13 (« Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics… »), elle incline dans ce sens sans adopter toute la proposition : +1.	https://parti-renaissance.fr/	Accord modéré : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
