qid	theme	question	score	confidence	source	justification
1	Économie	Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques.	1	2	https://rassemblementnational.fr/22-mesures	Accord modéré : Le RN veut baisser plusieurs impôts et taxes pour les ménages et entreprises, supprimer l’IFI au profit d’un impôt sur la fortune financière et réduire les droits de succession pour les familles modestes et moyennes. Pour RN, sur Q1 (« Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques. »), elle incline dans ce sens sans adopter toute la proposition : +1.
2	Économie	Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque.	1	1	https://rassemblementnational.fr/22-mesures	Accord modéré : Le RN veut baisser plusieurs impôts et taxes pour les ménages et entreprises, supprimer l’IFI au profit d’un impôt sur la fortune financière et réduire les droits de succession pour les familles modestes et moyennes. Pour RN, sur Q2 (« Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque. »), elle incline dans ce sens sans adopter toute la proposition : +1.
3	Économie	L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités.	-1	2	https://rassemblementnational.fr/22-mesures	Réserve modérée : Le RN veut baisser plusieurs impôts et taxes pour les ménages et entreprises, supprimer l’IFI au profit d’un impôt sur la fortune financière et réduire les droits de succession pour les familles modestes et moyennes. Pour RN, sur Q3 (« L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.
4	Économie	Les entreprises devraient être obligées de limiter l’écart entre la rémunération de leurs dirigeants et celle de leurs salariés les moins bien payés.	-2	3	https://www.assemblee-nationale.fr/dyn/docs/RAPPANR5L17B0618.raw	Désaccord net : le RN a rejeté le principe d’un plafond légal entre plus basse et plus haute rémunération, tout en reconnaissant certains excès et en préférant agir sur les bas salaires ou les indemnités exceptionnelles des dirigeants.
5	Économie	Le salaire minimum devrait être augmenté significativement.	0	2	https://rassemblementnational.fr/documents/202406-programme.pdf	Position intermédiaire : le RN privilégie surtout l'augmentation du salaire net par des baisses de cotisations et des exonérations plutôt qu'une hausse générale et significative du SMIC.
6	Économie	Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels.	0	1	https://rassemblementnational.fr/22-mesures	Position intermédiaire : Le RN combine baisse d’impôts et soutien aux entreprises avec intervention publique, patriotisme économique, renationalisation des autoroutes et fonds souverain ; sa ligne n’est donc ni libérale pure ni étatiste pure. Pour RN, sur Q6 (« Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels. »), elle ne tranche pas clairement l’arbitrage précis posé : 0.
7	Économie	L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays.	2	2	https://rassemblementnational.fr/22-mesures	Accord net : Le RN combine baisse d’impôts et soutien aux entreprises avec intervention publique, patriotisme économique, renationalisation des autoroutes et fonds souverain ; sa ligne n’est donc ni libérale pure ni étatiste pure. Pour RN, sur Q7 (« L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.
8	Économie	La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation.	0	1	https://rassemblementnational.fr/22-mesures	Position intermédiaire : Le RN combine baisse d’impôts et soutien aux entreprises avec intervention publique, patriotisme économique, renationalisation des autoroutes et fonds souverain ; sa ligne n’est donc ni libérale pure ni étatiste pure. Pour RN, sur Q8 (« La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation. »), elle ne tranche pas clairement l’arbitrage précis posé : 0.
9	État	La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire.	1	2	https://rassemblementnational.fr/documents/202406-programme.pdf	Accord modéré : le RN propose désormais des économies et une réduction de certaines dépenses publiques, tout en maintenant des dépenses sociales, régaliennes et interventionnistes importantes.
10	État	L'État devrait garantir un niveau élevé de protection sociale, même si cela implique une fiscalité importante.	1	2	https://rassemblementnational.fr/documents/202406-programme.pdf	Accord modéré : le RN veut préserver une protection sociale élevée pour les Français, mais refuse qu'elle repose sur une fiscalité globalement élevée et cherche parallèlement à réduire plusieurs prélèvements.
12	État	L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables.	2	2	https://rassemblementnational.fr/22-mesures	Accord net : Le RN combine baisse d’impôts et soutien aux entreprises avec intervention publique, patriotisme économique, renationalisation des autoroutes et fonds souverain ; sa ligne n’est donc ni libérale pure ni étatiste pure. Pour RN, sur Q12 (« L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.
13	État	Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics obligatoires.	0	1	https://rassemblementnational.fr/22-mesures	Position intermédiaire : Le RN combine baisse d’impôts et soutien aux entreprises avec intervention publique, patriotisme économique, renationalisation des autoroutes et fonds souverain ; sa ligne n’est donc ni libérale pure ni étatiste pure. Pour RN, sur Q13 (« Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics… »), elle ne tranche pas clairement l’arbitrage précis posé : 0.
14	Social / société	La société devrait accepter beaucoup plus largement les différents modes de vie, même lorsqu'ils s'éloignent des normes traditionnelles.	-2	3	https://rassemblementnational.fr/22-mesures	Désaccord net : Le RN met l’accent sur l’identité, l’assimilation, l’autorité et la transmission, tout en revendiquant les libertés publiques et en contestant les dispositifs qu’il estime restreindre excessivement la liberté d’expression. Pour RN, sur Q14 (« La société devrait accepter beaucoup plus largement les différents modes de vie, même lorsqu'ils s'éloignent des normes traditionnelles. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.
15	Démocratie	Un gouvernement devrait pouvoir faire adopter le budget sans vote de l’Assemblée nationale lorsqu’aucune majorité stable ne se dégage, afin d’éviter un blocage institutionnel.	0	2	https://www.assemblee-nationale.fr/dyn/actualites-accueil-hub/adoption-du-plf2026-en-lecture-definitive-apres-l-engagement-de-la-responsabilite-du-gouvernement-sur-le-projet-de-loi-et-le-rejet-de-2-motions-d	Le RN a combattu des budgets adoptés par 49.3 et soutenu des motions de censure. Une partie du rejet porte toutefois sur le contenu du budget plutôt que sur une doctrine d’abolition du mécanisme : -1.
16	Social / société	Réduire les inégalités peut parfois justifier de restreindre certaines libertés individuelles.	-2	1	https://rassemblementnational.fr/22-mesures	Désaccord net : Le RN met l’accent sur l’identité, l’assimilation, l’autorité et la transmission, tout en revendiquant les libertés publiques et en contestant les dispositifs qu’il estime restreindre excessivement la liberté d’expression. Pour RN, sur Q16 (« Réduire les inégalités peut parfois justifier de restreindre certaines libertés individuelles. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.
17	Social / société	Les politiques publiques devraient chercher à corriger activement les discriminations historiques ou structurelles entre groupes sociaux.	-1	2	https://rassemblementnational.fr/22-mesures	Réserve modérée : Le RN met l’accent sur l’identité, l’assimilation, l’autorité et la transmission, tout en revendiquant les libertés publiques et en contestant les dispositifs qu’il estime restreindre excessivement la liberté d’expression. Pour RN, sur Q17 (« Les politiques publiques devraient chercher à corriger activement les discriminations historiques ou structurelles entre groupes sociaux. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.
18	Institutions / territoires	Les régions devraient pouvoir adopter des règles différentes en matière économique, sociale ou environnementale plutôt que d’appliquer partout les mêmes règles nationales.	-2	3	https://www.assemblee-nationale.fr/dyn/docs/RINFANR5L16B2463.raw	Désaccord net : le RN considère que l’unité de la loi et l’indivisibilité de la République doivent primer et s’oppose au renforcement général du pouvoir réglementaire local, même s’il accepte certaines souplesses de compétences entre collectivités.
