severity	reason	entityType	entity	qid	theme	question	response	confidence	justification	source
high	extreme_score_generic_justification	party	LFI	1	Économie	Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques.	-3	2	Désaccord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/
high	extreme_score_generic_justification	party	LFI	6	Économie	Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels.	-3	2	Désaccord fort : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.	https://lafranceinsoumise.fr/
high	extreme_score_generic_justification	party	LFI	8	Économie	La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation.	-3	2	Désaccord fort : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.	https://lafranceinsoumise.fr/
high	extreme_score_generic_justification	party	LFI	13	État	Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics obligatoires.	-3	2	Désaccord fort : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.	https://lafranceinsoumise.fr/
high	extreme_score_generic_justification	party	LFI	14	Social / société	La société devrait accepter beaucoup plus largement les différents modes de vie, même lorsqu'ils s'éloignent des normes traditionnelles.	3	2	Accord fort : codage cohérent avec la ligne programmatique générale du parti sur social / société.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf
high	extreme_score_generic_justification	party	LFI	17	Social / société	Les politiques publiques devraient chercher à corriger activement les discriminations historiques ou structurelles entre groupes sociaux.	3	2	Accord fort : codage cohérent avec la ligne programmatique générale du parti sur social / société.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf
high	extreme_score_generic_justification	party	LFI	21	Immigration	L'immigration économique est globalement bénéfique pour l'économie française.	3	2	Accord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf
high	extreme_score_generic_justification	party	LFI	25	Immigration	Même lorsque l'immigration est économiquement bénéfique, elle peut être légitimement limitée pour préserver la cohésion culturelle du pays.	-3	2	Désaccord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf
high	extreme_score_generic_justification	party	LFI	28	Sécurité / justice	Il vaut mieux investir dans la prévention et la réinsertion que dans l'augmentation des sanctions.	3	2	Accord fort : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf
high	extreme_score_generic_justification	party	LFI	29	Sécurité / justice	La police devrait disposer de pouvoirs plus importants pour lutter contre la criminalité, quitte à accepter davantage de contrôles sur certaines libertés individuelles.	-3	2	Désaccord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf
high	extreme_score_generic_justification	party	LFI	32	Écologie	La lutte contre le changement climatique doit rester prioritaire même lorsqu'elle réduit la croissance économique à court terme.	3	2	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf
high	extreme_score_generic_justification	party	LFI	36	Écologie	Il est justifié d'interdire certains produits ou comportements très polluants même lorsque les consommateurs les souhaitent.	3	2	Accord fort : codage cohérent avec la ligne programmatique générale du parti sur écologie.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf
high	extreme_score_generic_justification	party	LFI	37	Écologie	Les pays riches devraient supporter une part prépondérante du coût de la transition écologique mondiale.	3	2	Accord fort : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf
medium	neutral_score_generic_justification	party	LFI	40	Europe	L'euro est globalement bénéfique pour la France malgré la perte de certains instruments de politique économique.	0	2	Position équilibrée ou non tranchée : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.	https://lafranceinsoumise.fr/wp-content/uploads/2024/05/PROGRAMME-UNION-POPULAIRE_EURO-2024.pdf
