qid	theme	question	score	confidence	source	justification	fetch_paragraphs	best_score	evidence_1	evidence_2	evidence_3
1	Économie	Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques.	2	3	https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970	Accord net : L’accord CDU/CSU–SPD combine compétitivité, allègement administratif, investissement public et maintien de l’État social. Position directement documentée.	15	0			
2	Économie	Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque.	1	2	https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970	Accord modéré : L’accord CDU/CSU–SPD combine compétitivité, allègement administratif, investissement public et maintien de l’État social. Pour Allemagne, sur Q2 (« Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque. »), elle incline dans ce sens sans adopter toute la proposition : +1.	15	0			
3	Économie	L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités.	-1	2	https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970	Réserve modérée : L’accord CDU/CSU–SPD combine compétitivité, allègement administratif, investissement public et maintien de l’État social. Pour Allemagne, sur Q3 (« L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	15	0			
5	Économie	Le salaire minimum devrait être augmenté significativement.	1	3	https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970	Accord modéré : L’accord CDU/CSU–SPD combine compétitivité, allègement administratif, investissement public et maintien de l’État social. Position directement documentée.	15	0			
6	Économie	Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels.	1	2	https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970	Accord modéré : L’accord CDU/CSU–SPD combine compétitivité, allègement administratif, investissement public et maintien de l’État social. Pour Allemagne, sur Q6 (« Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels. »), elle incline dans ce sens sans adopter toute la proposition : +1.	15	0			
8	Économie	La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation.	2	2	https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970	Accord net : L’accord CDU/CSU–SPD combine compétitivité, allègement administratif, investissement public et maintien de l’État social. Pour Allemagne, sur Q8 (« La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	15	0			
9	État	La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire.	2	3	https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970	Accord net : L’accord CDU/CSU–SPD combine compétitivité, allègement administratif, investissement public et maintien de l’État social. Position directement documentée.	15	0			
10	État	L'État devrait garantir un niveau élevé de protection sociale, même si cela implique une fiscalité importante.	1	3	https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970	Accord modéré : L’accord CDU/CSU–SPD combine compétitivité, allègement administratif, investissement public et maintien de l’État social. Position directement documentée.	15	0			
12	État	L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables.	1	2	https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970	Accord modéré : L’accord CDU/CSU–SPD combine compétitivité, allègement administratif, investissement public et maintien de l’État social. Pour Allemagne, sur Q12 (« L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables. »), elle incline dans ce sens sans adopter toute la proposition : +1.	15	0			
13	État	Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics obligatoires.	1	2	https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970	Accord modéré : L’accord CDU/CSU–SPD combine compétitivité, allègement administratif, investissement public et maintien de l’État social. Pour Allemagne, sur Q13 (« Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics… »), elle incline dans ce sens sans adopter toute la proposition : +1.	15	0			
