qid	theme	question	score	confidence	source	justification
1	Économie	Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques.	-1	2	https://www.lamoncloa.gob.es/Documents/2025/appendix-II-map-of-commitments-december.pdf	Réserve : La coalition PSOE–Sumar défend un État social renforcé, la redistribution, les droits du travail et une intervention publique active. Transposition ou inférence prudente.
2	Économie	Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque.	-1	2	https://www.lamoncloa.gob.es/Documents/2025/appendix-II-map-of-commitments-december.pdf	Réserve : La coalition PSOE–Sumar défend un État social renforcé, la redistribution, les droits du travail et une intervention publique active. Transposition ou inférence prudente.
6	Économie	Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels.	-1	2	https://www.lamoncloa.gob.es/Documents/2025/appendix-II-map-of-commitments-december.pdf	Réserve : La coalition PSOE–Sumar défend un État social renforcé, la redistribution, les droits du travail et une intervention publique active. Transposition ou inférence prudente.
7	Économie	L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays.	1	2	https://www.lamoncloa.gob.es/Documents/2025/appendix-II-map-of-commitments-december.pdf	Accord modéré : La coalition PSOE–Sumar défend un État social renforcé, la redistribution, les droits du travail et une intervention publique active. Transposition ou inférence prudente.
8	Économie	La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation.	-1	2	https://www.lamoncloa.gob.es/Documents/2025/appendix-II-map-of-commitments-december.pdf	Réserve : La coalition PSOE–Sumar défend un État social renforcé, la redistribution, les droits du travail et une intervention publique active. Transposition ou inférence prudente.
9	État	La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire.	-1	2	https://www.lamoncloa.gob.es/Documents/2025/appendix-II-map-of-commitments-december.pdf	Réserve : La coalition PSOE–Sumar défend un État social renforcé, la redistribution, les droits du travail et une intervention publique active. Transposition ou inférence prudente.
13	État	Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics obligatoires.	-2	2	https://www.lamoncloa.gob.es/Documents/2025/appendix-II-map-of-commitments-december.pdf	Désaccord net : La coalition PSOE–Sumar défend un État social renforcé, la redistribution, les droits du travail et une intervention publique active. Transposition ou inférence prudente.
19	Social / société	Certaines traditions et valeurs culturelles méritent d'être préservées même si elles évoluent moins vite que la société.	-1	2	https://www.lamoncloa.gob.es/Documents/2025/appendix-II-map-of-commitments-december.pdf	Réserve : Le gouvernement est progressiste sur l’égalité, les modes de vie et la lutte contre les discriminations. Transposition ou inférence prudente.
20	Immigration	La France devrait réduire le nombre d'immigrants qu'elle accueille chaque année.	-2	2	https://www.lamoncloa.gob.es/Documents/2025/appendix-II-map-of-commitments-december.pdf	Désaccord net : La ligne est relativement ouverte et fondée sur les droits, avec maintien des expulsions en cas de criminalité grave. Transposition ou inférence prudente.
23	Immigration	L'accès à la nationalité française devrait être rendu plus exigeant.	-1	2	https://www.lamoncloa.gob.es/Documents/2025/appendix-II-map-of-commitments-december.pdf	Réserve : La ligne est relativement ouverte et fondée sur les droits, avec maintien des expulsions en cas de criminalité grave. Transposition ou inférence prudente.
