qid	theme	question	score	confidence	source	justification	fetch_paragraphs	best_score	evidence_1	evidence_2	evidence_3
1	Économie	Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques.	-3	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Désaccord très fort : Les Écologistes veulent une fiscalité plus progressive, des rémunérations plus égalitaires et une économie dans laquelle les besoins essentiels et la justice sociale priment sur l’accumulation et la seule croissance du PIB. Pour Les Écologistes, sur Q1 (« Il faut réduire les impôts sur le travail et le capital, même si cela implique de réduire certaines dépenses publiques. »), elle contredit presque entièrement le choix proposé : -3.	0	0			
2	Économie	Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque.	-1	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Réserve modérée : Les Écologistes veulent une fiscalité plus progressive, des rémunérations plus égalitaires et une économie dans laquelle les besoins essentiels et la justice sociale priment sur l’accumulation et la seule croissance du PIB. Pour Les Écologistes, sur Q2 (« Les inégalités économiques sont acceptables tant qu'elles résultent principalement du travail ou de la prise de risque. »), elle incline plutôt en sens inverse sans constituer un rejet complet : -1.	0	0			
3	Économie	L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités.	3	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Accord très fort : Les Écologistes veulent une fiscalité plus progressive, des rémunérations plus égalitaires et une économie dans laquelle les besoins essentiels et la justice sociale priment sur l’accumulation et la seule croissance du PIB. Pour Les Écologistes, sur Q3 (« L'État devrait davantage taxer les hauts revenus et les gros patrimoines afin de réduire les inégalités. »), cette orientation reprend presque entièrement le choix proposé : +3.	0	0			
5	Économie	Le salaire minimum devrait être augmenté significativement.	3	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Accord très fort : Les Écologistes veulent une fiscalité plus progressive, des rémunérations plus égalitaires et une économie dans laquelle les besoins essentiels et la justice sociale priment sur l’accumulation et la seule croissance du PIB. Pour Les Écologistes, sur Q5 (« Le salaire minimum devrait être augmenté significativement. »), cette orientation reprend presque entièrement le choix proposé : +3.	0	0			
6	Économie	Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels.	-2	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Désaccord net : Les Écologistes défendent une économie mixte avec des services publics essentiels, des communs renforcés et des marchés encadrés par des seuils, calendriers et incitations décidés démocratiquement. Pour Les Écologistes, sur Q6 (« Les entreprises privées sont généralement plus efficaces que l'État pour fournir des biens et services, même dans certains secteurs essentiels. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.	0	0			
7	Économie	L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays.	2	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Accord net : Les Écologistes défendent une économie mixte avec des services publics essentiels, des communs renforcés et des marchés encadrés par des seuils, calendriers et incitations décidés démocratiquement. Pour Les Écologistes, sur Q7 (« L'État devrait pouvoir nationaliser temporairement ou durablement une entreprise privée lorsqu'elle contrôle une activité stratégique pour le pays. »), elle va clairement dans ce sens sans établir nécessairement chaque condition ou conséquence de l’énoncé : +2.	0	0			
8	Économie	La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation.	-2	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Désaccord net : Les Écologistes défendent une économie mixte avec des services publics essentiels, des communs renforcés et des marchés encadrés par des seuils, calendriers et incitations décidés démocratiquement. Pour Les Écologistes, sur Q8 (« La concurrence est généralement préférable à la réglementation pour améliorer les prix, la qualité et l'innovation. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.	0	0			
9	État	La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire.	-2	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Désaccord net : Les Écologistes veulent une fiscalité plus progressive, des rémunérations plus égalitaires et une économie dans laquelle les besoins essentiels et la justice sociale priment sur l’accumulation et la seule croissance du PIB. Pour Les Écologistes, sur Q9 (« La France dépense trop d'argent public et devrait accepter de réduire certaines politiques sociales pour revenir à l'équilibre budgétaire. »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.	0	0			
10	État	L'État devrait garantir un niveau élevé de protection sociale, même si cela implique une fiscalité importante.	3	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Accord très fort : Les Écologistes veulent une fiscalité plus progressive, des rémunérations plus égalitaires et une économie dans laquelle les besoins essentiels et la justice sociale priment sur l’accumulation et la seule croissance du PIB. Pour Les Écologistes, sur Q10 (« L'État devrait garantir un niveau élevé de protection sociale, même si cela implique une fiscalité importante. »), cette orientation reprend presque entièrement le choix proposé : +3.	0	0			
12	État	L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables.	3	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Accord très fort : Les Écologistes défendent une économie mixte avec des services publics essentiels, des communs renforcés et des marchés encadrés par des seuils, calendriers et incitations décidés démocratiquement. Pour Les Écologistes, sur Q12 (« L'État devrait intervenir beaucoup plus fortement dans l'économie lorsque le marché produit des résultats jugés socialement indésirables. »), cette orientation reprend presque entièrement le choix proposé : +3.	0	0			
13	État	Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics obligatoires.	-2	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Désaccord net : Les Écologistes défendent une économie mixte avec des services publics essentiels, des communs renforcés et des marchés encadrés par des seuils, calendriers et incitations décidés démocratiquement. Pour Les Écologistes, sur Q13 (« Les citoyens devraient avoir davantage de liberté pour choisir eux-mêmes comment utiliser leur argent plutôt que de passer par des systèmes publics… »), elle va clairement en sens inverse sans nécessairement rejeter chaque détail : -2.	0	0			
14	Social / société	La société devrait accepter beaucoup plus largement les différents modes de vie, même lorsqu'ils s'éloignent des normes traditionnelles.	3	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Accord très fort : Les Écologistes placent les libertés, l’égalité des droits et la lutte contre les discriminations de genre, d’origine, de religion, de handicap ou d’orientation sexuelle au cœur de leur projet. Pour Les Écologistes, sur Q14 (« La société devrait accepter beaucoup plus largement les différents modes de vie, même lorsqu'ils s'éloignent des normes traditionnelles. »), cette orientation reprend presque entièrement le choix proposé : +3.	0	0			
16	Social / société	Réduire les inégalités peut parfois justifier de restreindre certaines libertés individuelles.	1	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Accord modéré : Les Écologistes placent les libertés, l’égalité des droits et la lutte contre les discriminations de genre, d’origine, de religion, de handicap ou d’orientation sexuelle au cœur de leur projet. Pour Les Écologistes, sur Q16 (« Réduire les inégalités peut parfois justifier de restreindre certaines libertés individuelles. »), elle incline dans ce sens sans adopter toute la proposition : +1.	0	0			
17	Social / société	Les politiques publiques devraient chercher à corriger activement les discriminations historiques ou structurelles entre groupes sociaux.	3	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Accord très fort : Les Écologistes placent les libertés, l’égalité des droits et la lutte contre les discriminations de genre, d’origine, de religion, de handicap ou d’orientation sexuelle au cœur de leur projet. Pour Les Écologistes, sur Q17 (« Les politiques publiques devraient chercher à corriger activement les discriminations historiques ou structurelles entre groupes sociaux. »), cette orientation reprend presque entièrement le choix proposé : +3.	0	0			
