bucket	category	entity_id	entity	qid	score	confidence	source	justification
ORI	party	lfi	LFI	1	-3	2	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/	Désaccord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
CONF	party	lfi	LFI	2	-1	2	https://lafranceinsoumise.fr/	Réserve : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
CONF	party	lfi	LFI	3	3	3	https://lafranceinsoumise.fr/	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
CONF	party	lfi	LFI	5	3	3	https://lafranceinsoumise.fr/	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
CONF	party	lfi	LFI	6	-3	2	https://lafranceinsoumise.fr/	Désaccord fort : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
CONF	party	lfi	LFI	7	3	3	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
CONF	party	lfi	LFI	8	-3	2	https://lafranceinsoumise.fr/	Désaccord fort : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
CONF	party	lfi	LFI	9	-3	3	https://lafranceinsoumise.fr/	Désaccord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
CONF	party	lfi	LFI	10	3	3	https://lafranceinsoumise.fr/	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
CONF	party	lfi	LFI	12	3	3	https://lafranceinsoumise.fr/	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
CONF	party	lfi	LFI	13	-3	2	https://lafranceinsoumise.fr/	Désaccord fort : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
CONF	party	lfi	LFI	16	2	2	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Accord modéré : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
CONF	party	lfi	LFI	20	-3	3	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Désaccord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
CONF	party	lfi	LFI	21	3	2	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Accord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
CONF	party	lfi	LFI	23	-3	3	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Désaccord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
ORI	party	lfi	LFI	25	-3	2	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Désaccord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
CONF	party	lfi	LFI	26	3	3	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
ORI	party	lfi	LFI	27	-2	2	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Désaccord net : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
CONF	party	lfi	LFI	28	3	2	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Accord fort : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
ORI	party	lfi	LFI	29	-3	2	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Désaccord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
ORI	party	lfi	LFI	32	3	2	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
CONF	party	lfi	LFI	37	3	2	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Accord fort : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
ORI	party	lfi	LFI	38	-1	2	https://lafranceinsoumise.fr/wp-content/uploads/2024/05/PROGRAMME-UNION-POPULAIRE_EURO-2024.pdf	Réserve : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
ORI	party	lfi	LFI	39	2	2	https://lafranceinsoumise.fr/wp-content/uploads/2024/05/PROGRAMME-UNION-POPULAIRE_EURO-2024.pdf	Accord net : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
ORI	party	lfi	LFI	40	0	2	https://lafranceinsoumise.fr/wp-content/uploads/2024/05/PROGRAMME-UNION-POPULAIRE_EURO-2024.pdf	Position équilibrée ou non tranchée : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
ORI	party	lfi	LFI	41	0	2	https://lafranceinsoumise.fr/wp-content/uploads/2024/05/PROGRAMME-UNION-POPULAIRE_EURO-2024.pdf	Position équilibrée ou non tranchée : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
ORI	party	lfi	LFI	42	3	2	https://lafranceinsoumise.fr/wp-content/uploads/2024/05/PROGRAMME-UNION-POPULAIRE_EURO-2024.pdf	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
CONF	party	lfi	LFI	43	-3	3	https://lafranceinsoumise.fr/	Désaccord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
ORI	party	lfi	LFI	44	2	2	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
ORI	party	lfi	LFI	45	2	2	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
ORI	party	lfi	LFI	46	-2	2	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/	Désaccord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
PRUD	party	lfi	LFI	48	-2	1	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/	Désaccord net : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.
ORI	party	lfi	LFI	49	-3	2	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/	Désaccord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
CONF	party	lfi	LFI	50	-3	2	https://lafranceinsoumise.fr/	Désaccord fort : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
ORI	party	lfi	LFI	51	-3	2	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/	Désaccord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
CONF	party	lfi	LFI	53	3	3	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
CONF	party	lfi	LFI	54	3	2	https://lafranceinsoumise.fr/	Accord fort : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
ORI	party	lfi	LFI	55	-3	2	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/	Désaccord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
ORI	party	lfi	LFI	57	-3	2	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Désaccord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
PRUD	party	lfi	LFI	58	-1	1	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Réserve : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.
ORI	party	lfi	LFI	59	3	2	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
ORI	party	lfi	LFI	60	-3	2	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Désaccord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
CONF	party	lfi	LFI	61	3	2	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Accord fort : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
ORI	party	lfi	LFI	63	-1	2	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Réserve : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
CONF	party	lfi	LFI	64	2	2	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Accord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
ORI	party	lfi	LFI	68	3	2	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
ORI	party	lfi	LFI	69	-3	2	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Désaccord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
PRUD	party	lfi	LFI	71	2	1	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Accord net : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.
PRUD	party	lfi	LFI	72	-2	2	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/	Désaccord net : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.
PRUD	party	lfi	LFI	73	0	1	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/	Position équilibrée ou non tranchée : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.
ORI	party	lfi	LFI	74	2	2	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/	Accord net : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
PRUD	party	lfi	LFI	75	-2	1	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/	Désaccord net : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.
ORI	party	lfi	LFI	77	3	2	https://lafranceinsoumise.fr/europeennes-2024/programme-de-lunion-populaire/chapitre-1-sortir-de-lausterite-et-partager-les-richesses/	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
ORI	party	lfi	LFI	78	0	2	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Position équilibrée ou non tranchée : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
ORI	party	lfi	LFI	79	3	2	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
CONF	party	lfi	LFI	93	1	2	https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf	Accord modéré : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
ORI	party	pcf	PCF	1	-3	2	https://www.pcf.fr/feuille_de_route_confnat_pcf	Désaccord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
CONF	party	pcf	PCF	2	-2	2	https://www.pcf.fr/feuille_de_route_confnat_pcf	Désaccord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
CONF	party	pcf	PCF	3	3	3	https://www.pcf.fr/contrat_de_legislature_projet_propos_par_le_pcf	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
CONF	party	pcf	PCF	5	3	3	https://www.pcf.fr/contrat_de_legislature_projet_propos_par_le_pcf	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
PRUD	party	pcf	PCF	6	-3	2	https://www.pcf.fr/feuille_de_route_confnat_pcf	Désaccord fort : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.
CONF	party	pcf	PCF	7	3	3	https://www.pcf.fr/contrat_de_legislature_projet_propos_par_le_pcf	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
PRUD	party	pcf	PCF	8	-3	2	https://www.pcf.fr/feuille_de_route_confnat_pcf	Désaccord fort : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.
CONF	party	pcf	PCF	9	-3	3	https://www.pcf.fr/contrat_de_legislature_projet_propos_par_le_pcf	Désaccord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
CONF	party	pcf	PCF	10	3	3	https://www.pcf.fr/contrat_de_legislature_projet_propos_par_le_pcf	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
CONF	party	pcf	PCF	12	3	3	https://www.pcf.fr/contrat_de_legislature_projet_propos_par_le_pcf	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
PRUD	party	pcf	PCF	13	-3	2	https://www.pcf.fr/feuille_de_route_confnat_pcf	Désaccord fort : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.
CONF	party	pcf	PCF	16	1	2	https://www.pcf.fr/immigration_est_un_enjeu_de_classe	Accord modéré : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
CONF	party	pcf	PCF	20	-3	3	https://www.pcf.fr/immigration_est_un_enjeu_de_classe	Désaccord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
ORI	party	pcf	PCF	23	-2	2	https://www.pcf.fr/immigration_est_un_enjeu_de_classe	Désaccord net : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
ORI	party	pcf	PCF	25	-2	2	https://www.pcf.fr/immigration_est_un_enjeu_de_classe	Désaccord net : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
CONF	party	pcf	PCF	26	3	3	https://www.pcf.fr/immigration_est_un_enjeu_de_classe	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
ORI	party	pcf	PCF	27	-1	2	https://www.pcf.fr/immigration_est_un_enjeu_de_classe	Réserve : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
PRUD	party	pcf	PCF	28	2	2	https://www.pcf.fr/immigration_est_un_enjeu_de_classe	Accord fort : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.
ORI	party	pcf	PCF	29	-2	2	https://www.pcf.fr/immigration_est_un_enjeu_de_classe	Désaccord net : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
ORI	party	pcf	PCF	32	2	2	https://www.pcf.fr/europe_le_programme_un_argumentaire_utile_aux_militants_et_un_outil_de_campagne_efficace	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
CONF	party	pcf	PCF	35	-2	2	https://www.pcf.fr/europe_le_programme_un_argumentaire_utile_aux_militants_et_un_outil_de_campagne_efficace	Désaccord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
CONF	party	pcf	PCF	37	3	2	https://www.pcf.fr/europe_le_programme_un_argumentaire_utile_aux_militants_et_un_outil_de_campagne_efficace	Accord fort : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
ORI	party	pcf	PCF	39	2	2	https://www.pcf.fr/europe_le_programme_un_argumentaire_utile_aux_militants_et_un_outil_de_campagne_efficace	Accord net : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
ORI	party	pcf	PCF	40	0	2	https://www.pcf.fr/europe_le_programme_un_argumentaire_utile_aux_militants_et_un_outil_de_campagne_efficace	Position équilibrée ou non tranchée : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
ORI	party	pcf	PCF	41	0	2	https://www.pcf.fr/europe_le_programme_un_argumentaire_utile_aux_militants_et_un_outil_de_campagne_efficace	Position équilibrée ou non tranchée : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
ORI	party	pcf	PCF	42	3	2	https://www.pcf.fr/europe_le_programme_un_argumentaire_utile_aux_militants_et_un_outil_de_campagne_efficace	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
CONF	party	pcf	PCF	43	-3	3	https://www.pcf.fr/contrat_de_legislature_projet_propos_par_le_pcf	Désaccord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
ORI	party	pcf	PCF	44	3	2	https://www.pcf.fr/feuille_de_route_confnat_pcf	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
ORI	party	pcf	PCF	45	2	2	https://www.pcf.fr/feuille_de_route_confnat_pcf	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
ORI	party	pcf	PCF	46	-3	2	https://www.pcf.fr/feuille_de_route_confnat_pcf	Désaccord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
PRUD	party	pcf	PCF	48	-2	1	https://www.pcf.fr/feuille_de_route_confnat_pcf	Réserve : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.
ORI	party	pcf	PCF	49	-3	2	https://www.pcf.fr/feuille_de_route_confnat_pcf	Désaccord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
CONF	party	pcf	PCF	50	-3	2	https://www.pcf.fr/feuille_de_route_confnat_pcf	Désaccord fort : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
ORI	party	pcf	PCF	51	-2	2	https://www.pcf.fr/feuille_de_route_confnat_pcf	Désaccord net : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
CONF	party	pcf	PCF	54	3	3	https://www.pcf.fr/contrat_de_legislature_projet_propos_par_le_pcf	Accord fort : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
ORI	party	pcf	PCF	55	-3	2	https://www.pcf.fr/feuille_de_route_confnat_pcf	Désaccord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
PRUD	party	pcf	PCF	58	-2	1	https://www.pcf.fr/immigration_est_un_enjeu_de_classe	Désaccord net : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.
CONF	party	pcf	PCF	61	3	2	https://www.pcf.fr/immigration_est_un_enjeu_de_classe	Accord fort : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
CONF	party	pcf	PCF	64	2	2	https://www.pcf.fr/immigration_est_un_enjeu_de_classe	Accord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
ORI	party	pcf	PCF	68	2	2	https://www.pcf.fr/europe_le_programme_un_argumentaire_utile_aux_militants_et_un_outil_de_campagne_efficace	Accord net : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
PRUD	party	pcf	PCF	71	2	2	https://www.pcf.fr/europe_le_programme_un_argumentaire_utile_aux_militants_et_un_outil_de_campagne_efficace	Accord fort : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.
PRUD	party	pcf	PCF	73	0	1	https://www.pcf.fr/feuille_de_route_confnat_pcf	Position équilibrée ou non tranchée : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.
ORI	party	pcf	PCF	74	3	2	https://www.pcf.fr/feuille_de_route_confnat_pcf	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
PRUD	party	pcf	PCF	75	-3	2	https://www.pcf.fr/feuille_de_route_confnat_pcf	Désaccord fort : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.
ORI	party	pcf	PCF	77	3	2	https://www.pcf.fr/feuille_de_route_confnat_pcf	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
ORI	party	pcf	PCF	78	-1	2	https://www.pcf.fr/immigration_est_un_enjeu_de_classe	Réserve : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
ORI	party	pcf	PCF	79	3	2	https://www.pcf.fr/immigration_est_un_enjeu_de_classe	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
CONF	party	pcf	PCF	86	2	3	https://www.pcf.fr/feuille_de_route_confnat_pcf	Accord net : preuve primaire directe ou proposition officielle très proche ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
CONF	party	pcf	PCF	93	2	2	https://www.pcf.fr/feuille_de_route_confnat_pcf	Accord net : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
ORI	party	les-ecologistes	Les Écologistes	1	-3	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Désaccord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
CONF	party	les-ecologistes	Les Écologistes	2	-1	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Réserve : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.
ORI	party	les-ecologistes	Les Écologistes	3	3	2	https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf	Accord fort : orientation cohérente avec le document officiel retenu, sans passage isolé directement équivalent à la question.
